reward_id,project_id,reward_amount,reward_tier,delivery_date,message
1,30,305240,슈퍼후원,2025-06-09 23:46:23.033576,Aut labore incidunt quia quo. Nobis facilis enim odit. Dolore molestiae doloribus.
2,11,160330,일반,2025-06-08 05:31:11.720814,Cum ducimus dolorum voluptatibus explicabo. Iusto numquam assumenda aut.
3,10,645877,일반,2025-06-07 15:36:23.992988,Alias eos blanditiis accusamus. Vitae ea possimus a voluptate consectetur.
4,28,985416,VIP,2025-06-11 17:28:40.379357,Similique ipsa quae ex maiores non perspiciatis. Minima dolor facilis.
5,6,838207,얼리버드,2025-06-07 00:29:39.604434,Numquam quo quidem tenetur facilis. Qui amet nulla praesentium natus at totam.
6,11,430460,슈퍼후원,2025-06-08 05:55:08.222482,Expedita corrupti accusantium. Corrupti ex vel fugiat.
7,3,630367,얼리버드,2025-06-09 02:18:56.336505,Iusto corrupti praesentium. Pariatur possimus quibusdam. Doloribus enim quam.
8,15,517786,일반,2025-06-08 06:28:30.483724,Voluptatibus aperiam pariatur impedit minima. Voluptas voluptatum aspernatur itaque.
9,10,711199,얼리버드,2025-06-08 23:27:22.946732,Delectus quam officia. Quod eum blanditiis nam enim iure.
10,2,295922,얼리버드,2025-06-11 01:48:55.012401,Beatae labore quaerat. Eaque a quod. Voluptates laboriosam eum minus vitae.
11,22,108791,VIP,2025-06-08 15:26:56.963835,"Saepe perferendis debitis assumenda repudiandae cupiditate qui.
Cum ipsum voluptate eaque."
12,17,569254,슈퍼후원,2025-06-09 14:32:27.924085,Atque minima modi quas. Corporis sint nam corrupti a.
13,29,382747,슈퍼후원,2025-06-10 03:57:45.138354,Autem iure animi velit aliquid. Praesentium ipsam eius occaecati fugiat harum.
14,26,737235,일반,2025-06-10 14:19:19.341445,Inventore corrupti ipsum repellendus optio dolores. Deserunt eum enim provident.
15,18,239013,일반,2025-06-10 13:49:00.538908,Alias distinctio veniam aspernatur eum. Nobis vel fugiat nulla eos odio rem.
16,22,109488,VIP,2025-06-09 19:47:42.759144,Laboriosam consequuntur qui atque sint sed. Praesentium odio aspernatur quod labore odit natus.
17,21,187664,얼리버드,2025-06-06 20:18:28.649239,Provident tempora eveniet voluptatem ea. Placeat quaerat odio nisi.
18,21,767621,슈퍼후원,2025-06-08 21:08:14.970994,Eum optio sunt ex.
19,20,997123,VIP,2025-06-06 22:37:06.039999,Distinctio accusantium iste accusamus nam cumque.
20,1,663682,슈퍼후원,2025-06-10 00:09:35.753053,Quia ea atque reiciendis saepe reiciendis dolorum. Sunt consectetur possimus earum.
21,7,408327,슈퍼후원,2025-06-07 09:31:47.524979,Odio molestias ducimus officia beatae nostrum cum in. Dicta consequuntur omnis.
22,10,828958,슈퍼후원,2025-06-10 01:45:53.807693,Dignissimos esse illum perferendis. Occaecati voluptatum ex repellendus.
23,24,311027,VIP,2025-06-11 18:26:17.304577,Sed fuga sed. Dolor praesentium sint.
24,26,723001,일반,2025-06-10 17:19:28.317290,Mollitia totam vero ad. Earum sit provident sequi earum doloremque.
25,2,810329,슈퍼후원,2025-06-10 23:55:48.293702,Facilis aperiam repellendus eum.
26,30,273703,얼리버드,2025-06-06 17:29:36.741728,Optio laboriosam fugiat nulla nostrum totam. Maxime officiis explicabo doloremque.
27,18,29366,VIP,2025-06-10 14:18:20.941556,Minus adipisci modi accusantium ipsa doloremque earum.
28,29,689575,VIP,2025-06-07 19:49:34.059733,Asperiores ipsam sint itaque temporibus vel quasi.
29,12,795847,일반,2025-06-12 02:14:27.108239,Placeat quasi sunt aperiam rem necessitatibus. Perspiciatis placeat ad repudiandae.
30,7,746459,VIP,2025-06-09 07:57:05.860502,Corporis non deserunt. Distinctio deserunt perspiciatis praesentium.
31,17,61884,일반,2025-06-08 14:07:55.258600,Distinctio reiciendis laudantium vel sequi dolorum.
32,11,81545,얼리버드,2025-06-08 01:24:50.767188,Rem libero quos tenetur. Ut quos vel. Facilis facilis eius ipsa occaecati iste molestiae.
33,9,950007,VIP,2025-06-12 03:45:00.609390,Nemo voluptatum qui enim. Assumenda ut autem culpa.
34,17,767987,VIP,2025-06-11 15:03:05.195642,Quo repellat odio et illo. Nihil atque voluptatibus voluptatibus quisquam.
35,11,848516,VIP,2025-06-12 01:59:26.962847,Amet veniam blanditiis id unde.
36,25,875949,일반,2025-06-09 18:14:04.238304,Minima enim incidunt. Libero aliquam voluptates optio perferendis ratione nulla.
37,7,635128,슈퍼후원,2025-06-10 16:55:17.333188,Odit quia ex vitae. Mollitia animi at unde in.
38,8,358729,일반,2025-06-10 12:06:34.592941,Voluptas minus recusandae sequi perferendis iusto. Vel unde voluptatibus sunt iusto voluptate.
39,19,862935,VIP,2025-06-07 04:28:38.976645,Eaque officia ratione sed laudantium. Modi blanditiis explicabo rerum odio est.
40,5,804614,VIP,2025-06-10 13:04:48.727791,Beatae iusto accusamus ut sit.
41,20,223511,VIP,2025-06-09 00:27:03.279397,Debitis unde magnam possimus. Eius illum architecto doloribus. Recusandae vel id consequatur eum.
