transaction_id,user_id,stock_code,stock_name,transaction_type,quantity,price,transaction_date
181,17,005930,삼성전자,매도,41,103823,2024-12-16 12:37:44.023924
179,48,005930,NAVER,매수,55,483003,2024-12-13 04:43:17.738583
186,18,005380,삼성바이오로직스,매도,94,100707,2025-02-07 00:58:18.128701
50,15,000660,삼성전자,매수,23,294823,2025-01-12 08:42:02.014420
81,25,005380,NAVER,매도,9,475639,2025-03-27 01:40:31.578956
35,42,005930,SK하이닉스,매수,16,48859,2025-01-03 22:52:37.759365
8,28,035420,NAVER,매도,20,126770,2025-02-15 03:16:32.083216
111,3,005930,NAVER,매수,74,57226,2025-03-23 06:40:52.359507
92,39,000660,삼성전자,매수,95,160228,2025-02-14 08:07:16.062940
84,13,005930,NAVER,매수,21,337265,2025-05-07 14:02:47.225364
177,19,035420,삼성바이오로직스,매도,50,85302,2025-02-21 00:23:47.811137
182,15,005380,삼성바이오로직스,매수,30,25579,2025-04-04 11:13:03.674191
90,21,000660,삼성전자,매수,46,314663,2025-02-18 02:26:38.445797
9,4,000660,현대차,매도,30,197373,2025-02-26 04:16:56.156330
14,5,035420,삼성바이오로직스,매도,82,402234,2025-05-31 02:34:45.779950
60,38,005380,삼성전자,매도,10,155866,2025-04-12 19:30:07.628496
172,9,000660,삼성바이오로직스,매수,54,36396,2025-04-21 20:17:36.565341
132,40,000660,SK하이닉스,매수,65,483714,2025-04-26 23:36:53.830484
18,18,005380,현대차,매수,86,485894,2025-04-19 04:23:00.551744
73,16,005930,삼성전자,매도,22,249469,2025-01-03 01:33:55.467122
176,9,207940,삼성바이오로직스,매도,78,461699,2025-01-20 16:03:45.545187
135,33,035420,현대차,매수,33,264124,2025-01-30 20:59:04.238983
168,30,207940,SK하이닉스,매수,60,209819,2025-04-15 17:36:57.705255
184,4,005380,NAVER,매도,98,28417,2025-03-20 21:31:01.711752
64,20,035420,NAVER,매수,11,281607,2025-01-21 18:13:25.141149
55,27,005930,NAVER,매도,10,218260,2025-02-17 23:39:54.691513
108,7,005930,현대차,매수,88,366687,2025-02-04 15:22:11.245312
51,20,005930,삼성전자,매수,74,149940,2024-12-02 09:28:13.979436
197,2,035420,삼성바이오로직스,매도,20,349909,2025-04-13 19:20:14.950961
59,49,005930,SK하이닉스,매도,71,312734,2025-03-29 08:56:52.246166
49,47,207940,현대차,매수,83,413913,2025-04-30 12:02:00.097816
89,7,000660,삼성바이오로직스,매도,14,96857,2024-12-16 04:20:02.730464
22,12,035420,삼성전자,매도,55,96354,2025-03-23 23:02:30.712585
58,37,000660,현대차,매수,77,49278,2024-12-19 14:42:15.249498
161,45,005380,삼성바이오로직스,매도,49,202814,2025-05-20 16:59:17.525532
193,13,035420,현대차,매도,22,14191,2025-04-23 23:27:05.606757
130,45,005380,NAVER,매도,66,312354,2025-05-19 23:10:33.386079
38,37,005380,삼성전자,매수,80,251246,2024-12-23 18:28:15.647848
158,23,000660,삼성전자,매도,63,126683,2025-05-16 03:36:59.446201
194,37,035420,삼성전자,매도,26,302294,2025-05-18 01:17:09.084762
2,49,005380,SK하이닉스,매도,84,388292,2025-01-17 10:24:59.686928
53,7,005380,삼성바이오로직스,매도,68,256265,2025-01-13 02:43:50.157882
150,30,207940,삼성전자,매도,32,203130,2025-05-10 17:35:50.904638
131,37,035420,현대차,매도,9,320832,2024-12-27 09:26:25.275891
152,9,000660,NAVER,매도,75,115376,2025-02-26 01:30:59.203696
104,1,207940,SK하이닉스,매도,34,151741,2025-05-05 02:15:09.435979
100,31,207940,NAVER,매수,25,308575,2025-04-15 04:12:54.298718
117,32,035420,현대차,매도,84,208488,2024-12-05 18:33:53.736203
88,44,207940,NAVER,매수,53,321015,2025-04-04 23:58:16.325090
75,2,005930,SK하이닉스,매수,56,304655,2025-03-05 00:13:47.346707
122,35,000660,NAVER,매도,63,347164,2025-03-26 00:36:47.530098
200,19,000660,SK하이닉스,매도,43,101784,2025-01-19 05:51:30.752722
21,39,207940,SK하이닉스,매수,37,278081,2025-02-05 12:24:14.115212
189,38,005930,SK하이닉스,매수,1,438358,2025-05-06 06:28:10.409338
72,17,035420,현대차,매수,75,151851,2025-01-22 08:42:37.282093
107,19,005930,SK하이닉스,매수,38,141571,2025-03-06 23:31:32.179069
15,27,035420,삼성바이오로직스,매수,13,244801,2025-04-12 16:20:05.034652
93,17,035420,현대차,매수,15,458890,2025-02-24 21:57:36.193522
180,29,000660,현대차,매도,57,172367,2025-03-28 02:34:45.789568
103,43,000660,삼성바이오로직스,매도,73,349603,2025-02-08 13:37:56.780231
