transaction_id,user_id,stock_code,transaction_type,price,stock_name
1,2,005930,매수,228166,삼성바이오로직스
2,49,005380,매도,388292,SK하이닉스
3,14,005930,매도,341670,현대차
4,18,000660,매도,117501,SK하이닉스
5,1,005930,매수,14037,삼성전자
6,21,005930,매수,254627,삼성바이오로직스
7,30,005930,매수,406171,SK하이닉스
8,28,035420,매도,126770,NAVER
9,4,000660,매도,197373,현대차
10,2,000660,매도,353301,현대차
11,37,207940,매수,114866,삼성전자
12,16,035420,매수,407842,삼성전자
13,8,005380,매수,198317,현대차
14,5,035420,매도,402234,삼성바이오로직스
15,27,035420,매수,244801,삼성바이오로직스
16,41,207940,매도,96812,삼성바이오로직스
17,19,207940,매수,336041,NAVER
18,18,005380,매수,485894,현대차
19,30,035420,매수,124430,현대차
20,45,005930,매도,105733,삼성바이오로직스
21,39,207940,매수,278081,SK하이닉스
22,12,035420,매도,96354,삼성전자
23,38,005380,매수,453861,삼성바이오로직스
24,36,207940,매도,42558,SK하이닉스
25,23,035420,매수,337311,현대차
26,39,000660,매도,291197,SK하이닉스
27,38,005930,매도,419415,삼성전자
28,5,005380,매수,276650,현대차
29,37,207940,매수,47616,삼성전자
30,41,035420,매도,43263,삼성바이오로직스
31,42,207940,매도,159372,NAVER
32,49,000660,매도,390618,삼성바이오로직스
33,12,005930,매도,442014,SK하이닉스
34,50,035420,매도,62118,NAVER
35,42,005930,매수,48859,SK하이닉스
36,1,035420,매도,443837,삼성바이오로직스
37,41,000660,매도,35718,삼성전자
38,37,005380,매수,251246,삼성전자
39,30,005930,매도,298885,NAVER
40,17,035420,매수,460138,삼성전자
41,4,207940,매도,140906,현대차
42,47,207940,매수,131902,삼성바이오로직스
43,16,005380,매도,268240,SK하이닉스
44,21,005930,매도,400421,NAVER
45,44,005380,매도,490304,SK하이닉스
46,6,207940,매수,144214,NAVER
47,41,035420,매도,303787,현대차
48,42,005380,매도,163981,현대차
49,47,207940,매수,413913,현대차
50,15,000660,매수,294823,삼성전자
51,20,005930,매수,149940,삼성전자
52,13,000660,매수,96057,삼성전자
53,7,005380,매도,256265,삼성바이오로직스
54,42,035420,매도,101545,삼성바이오로직스
55,27,005930,매도,218260,NAVER
56,17,035420,매도,333411,SK하이닉스
57,47,000660,매도,165037,SK하이닉스
58,37,000660,매수,49278,현대차
59,49,005930,매도,312734,SK하이닉스
60,38,005380,매도,155866,삼성전자
61,38,207940,매수,330782,SK하이닉스
62,35,207940,매도,260464,SK하이닉스
63,8,005380,매도,192036,현대차
64,20,035420,매수,281607,NAVER
65,2,207940,매수,272794,SK하이닉스
66,27,005380,매도,111867,삼성전자
67,46,035420,매수,450593,삼성전자
68,31,005380,매수,265204,현대차
69,33,000660,매도,401712,NAVER
70,23,005380,매수,258796,NAVER
71,46,005930,매도,254318,삼성바이오로직스
72,17,035420,매수,151851,현대차
73,16,005930,매도,249469,삼성전자
74,30,005930,매수,423879,현대차
75,2,005930,매수,304655,SK하이닉스
76,3,207940,매수,433028,NAVER
77,4,035420,매수,62015,NAVER
78,38,035420,매도,24028,SK하이닉스
79,3,035420,매수,478338,SK하이닉스
80,8,005380,매도,490951,삼성바이오로직스
81,25,005380,매도,475639,NAVER
82,18,035420,매수,23583,삼성전자
83,14,005380,매수,172837,삼성바이오로직스
84,13,005930,매수,337265,NAVER
85,12,035420,매도,71411,SK하이닉스
86,8,005380,매수,495122,삼성바이오로직스
87,14,000660,매도,415632,삼성전자
88,44,207940,매수,321015,NAVER
89,7,000660,매도,96857,삼성바이오로직스
90,21,000660,매수,314663,삼성전자
91,28,005930,매수,492641,현대차
92,39,000660,매수,160228,삼성전자
93,17,035420,매수,458890,현대차
94,24,035420,매수,480674,현대차
95,18,207940,매수,337705,SK하이닉스
96,21,000660,매수,337253,SK하이닉스
97,23,005930,매도,332516,현대차
98,4,207940,매도,27365,삼성바이오로직스
99,21,000660,매도,476692,SK하이닉스
100,31,207940,매수,308575,NAVER
101,8,000660,매도,164615,현대차
102,42,035420,매수,405880,삼성전자
103,43,000660,매도,349603,삼성바이오로직스
104,1,207940,매도,151741,SK하이닉스
105,4,005930,매도,36255,SK하이닉스
106,1,005380,매수,444393,삼성전자
107,19,005930,매수,141571,SK하이닉스
108,7,005930,매수,366687,현대차
109,48,207940,매수,488427,현대차
110,50,035420,매도,490664,SK하이닉스
111,3,005930,매수,57226,NAVER
112,30,000660,매수,194168,NAVER
113,25,000660,매수,98216,SK하이닉스
114,26,000660,매도,475497,NAVER
115,2,000660,매수,368087,NAVER
116,38,035420,매수,273616,현대차
117,32,035420,매도,208488,현대차
118,50,005930,매도,139815,현대차
119,32,005930,매수,482984,삼성바이오로직스
120,50,005380,매도,416767,삼성바이오로직스
121,37,035420,매도,272945,SK하이닉스
122,35,000660,매도,347164,NAVER
123,23,005380,매도,364304,삼성바이오로직스
124,3,005930,매수,391825,삼성전자
125,39,005380,매수,134332,현대차
126,25,035420,매수,336198,현대차
127,44,000660,매수,197263,SK하이닉스
128,48,005930,매도,45143,SK하이닉스
129,25,005380,매도,370249,삼성바이오로직스
130,45,005380,매도,312354,NAVER
131,37,035420,매도,320832,현대차
132,40,000660,매수,483714,SK하이닉스
133,30,035420,매도,335475,현대차
134,3,005930,매도,338520,SK하이닉스
135,33,035420,매수,264124,현대차
136,39,035420,매도,18588,SK하이닉스
137,38,005380,매수,218690,삼성전자
138,37,005380,매수,203024,NAVER
139,16,005380,매도,321595,SK하이닉스
140,1,005930,매도,220533,NAVER
141,34,005380,매수,57652,삼성전자
142,4,207940,매수,161014,SK하이닉스
143,38,005930,매수,377393,삼성바이오로직스
144,38,035420,매도,56622,NAVER
145,30,035420,매수,409596,NAVER
146,31,000660,매도,442635,현대차
147,43,005930,매수,348202,NAVER
148,34,005930,매도,409497,삼성바이오로직스
149,23,005930,매수,290093,SK하이닉스
150,30,207940,매도,203130,삼성전자
151,13,000660,매수,63612,NAVER
152,9,000660,매도,115376,NAVER
153,12,035420,매도,300165,삼성전자
154,18,035420,매도,479295,삼성전자
155,38,005380,매수,159359,삼성전자
156,32,000660,매수,26854,삼성바이오로직스
157,22,005380,매도,469286,삼성바이오로직스
158,23,000660,매도,126683,삼성전자
159,31,207940,매도,470120,삼성전자
160,16,005930,매도,32910,SK하이닉스
161,45,005380,매도,202814,삼성바이오로직스
162,14,000660,매도,440920,SK하이닉스
163,16,035420,매도,351146,현대차
164,27,000660,매수,165721,삼성전자
165,46,035420,매수,319805,SK하이닉스
166,20,005380,매도,261978,NAVER
167,8,035420,매도,356153,삼성전자
168,30,207940,매수,209819,SK하이닉스
169,38,035420,매도,145091,삼성전자
170,33,035420,매도,454312,삼성바이오로직스
171,1,035420,매수,104855,삼성전자
172,9,000660,매수,36396,삼성바이오로직스
173,23,005380,매수,90892,NAVER
174,5,000660,매도,374637,NAVER
175,41,005930,매도,453070,삼성전자
176,9,207940,매도,461699,삼성바이오로직스
177,19,035420,매도,85302,삼성바이오로직스
178,15,207940,매도,149683,SK하이닉스
