transaction_id,user_id,stock_code,transaction_type,price,quantity,transaction_date
1,2,005930,매수,228166,18,2025-02-21 07:24:06.857763
2,49,005380,매도,388292,84,2025-01-17 10:24:59.686928
3,14,005930,매도,341670,70,2024-12-17 07:41:10.768967
4,18,000660,매도,117501,90,2024-12-02 02:36:40.976274
5,1,005930,매수,14037,52,2024-12-05 09:41:38.417798
6,21,005930,매수,254627,78,2024-12-14 21:19:58.793726
7,30,005930,매수,406171,55,2025-05-15 01:50:48.008857
8,28,035420,매도,126770,20,2025-02-15 03:16:32.083216
9,4,000660,매도,197373,30,2025-02-26 04:16:56.156330
10,2,000660,매도,353301,20,2025-05-14 22:38:22.527454
11,37,207940,매수,114866,79,2025-05-15 00:22:08.202894
12,16,035420,매수,407842,88,2025-05-19 08:47:11.247634
13,8,005380,매수,198317,95,2024-12-14 14:04:56.611255
14,5,035420,매도,402234,82,2025-05-31 02:34:45.779950
15,27,035420,매수,244801,13,2025-04-12 16:20:05.034652
16,41,207940,매도,96812,10,2025-01-19 19:21:32.390102
17,19,207940,매수,336041,42,2025-05-25 06:07:29.539263
18,18,005380,매수,485894,86,2025-04-19 04:23:00.551744
19,30,035420,매수,124430,86,2025-04-07 02:44:12.095245
20,45,005930,매도,105733,90,2025-01-25 07:57:16.126724
21,39,207940,매수,278081,37,2025-02-05 12:24:14.115212
22,12,035420,매도,96354,55,2025-03-23 23:02:30.712585
23,38,005380,매수,453861,44,2025-05-20 06:17:15.030755
24,36,207940,매도,42558,66,2025-02-12 16:35:12.355951
25,23,035420,매수,337311,58,2025-01-19 01:10:47.623063
26,39,000660,매도,291197,61,2025-03-31 22:46:15.341320
27,38,005930,매도,419415,64,2025-03-13 10:38:30.458240
28,5,005380,매수,276650,19,2024-12-21 04:22:48.338627
29,37,207940,매수,47616,100,2025-04-08 12:24:33.855804
30,41,035420,매도,43263,41,2025-05-13 23:45:18.695100
31,42,207940,매도,159372,43,2025-05-01 01:23:25.372254
32,49,000660,매도,390618,23,2025-02-25 14:23:18.419309
33,12,005930,매도,442014,61,2025-03-23 15:49:23.883221
34,50,035420,매도,62118,40,2025-05-22 18:14:41.485515
35,42,005930,매수,48859,16,2025-01-03 22:52:37.759365
36,1,035420,매도,443837,93,2025-03-16 20:57:56.481527
37,41,000660,매도,35718,41,2025-05-06 23:35:47.979168
38,37,005380,매수,251246,80,2024-12-23 18:28:15.647848
39,30,005930,매도,298885,84,2025-03-23 14:52:08.738023
40,17,035420,매수,460138,92,2025-02-16 10:08:21.638764
41,4,207940,매도,140906,11,2025-01-20 08:12:25.469481
42,47,207940,매수,131902,75,2025-04-17 05:09:05.402716
43,16,005380,매도,268240,18,2025-05-12 19:54:24.154068
44,21,005930,매도,400421,62,2025-04-13 01:38:59.952430
45,44,005380,매도,490304,46,2025-04-17 23:30:40.200584
46,6,207940,매수,144214,58,2025-03-27 15:42:08.498358
47,41,035420,매도,303787,18,2024-12-25 17:04:25.447664
48,42,005380,매도,163981,38,2024-12-19 23:48:06.836482
49,47,207940,매수,413913,83,2025-04-30 12:02:00.097816
50,15,000660,매수,294823,23,2025-01-12 08:42:02.014420
51,20,005930,매수,149940,74,2024-12-02 09:28:13.979436
52,13,000660,매수,96057,73,2025-05-23 19:12:56.415824
53,7,005380,매도,256265,68,2025-01-13 02:43:50.157882
54,42,035420,매도,101545,60,2025-03-16 18:48:01.444576
55,27,005930,매도,218260,10,2025-02-17 23:39:54.691513
56,17,035420,매도,333411,83,2025-02-21 14:55:08.919224
57,47,000660,매도,165037,68,2025-01-29 21:48:37.015560
58,37,000660,매수,49278,77,2024-12-19 14:42:15.249498
59,49,005930,매도,312734,71,2025-03-29 08:56:52.246166
60,38,005380,매도,155866,10,2025-04-12 19:30:07.628496
61,38,207940,매수,330782,73,2024-12-08 08:56:09.301521
62,35,207940,매도,260464,2,2025-05-15 20:56:35.959927
63,8,005380,매도,192036,27,2025-03-04 14:43:05.036149
64,20,035420,매수,281607,11,2025-01-21 18:13:25.141149
65,2,207940,매수,272794,35,2025-02-16 05:42:32.517931
66,27,005380,매도,111867,57,2025-01-08 10:05:38.978890
67,46,035420,매수,450593,71,2025-01-01 08:36:11.431666
68,31,005380,매수,265204,7,2025-02-07 21:40:11.619760
69,33,000660,매도,401712,66,2024-12-14 09:04:43.367182
70,23,005380,매수,258796,50,2025-04-13 17:17:49.619857
71,46,005930,매도,254318,12,2025-01-19 21:58:33.664586
72,17,035420,매수,151851,75,2025-01-22 08:42:37.282093
73,16,005930,매도,249469,22,2025-01-03 01:33:55.467122
74,30,005930,매수,423879,74,2025-04-07 13:27:17.676163
75,2,005930,매수,304655,56,2025-03-05 00:13:47.346707
76,3,207940,매수,433028,45,2025-05-07 02:49:35.972015
77,4,035420,매수,62015,78,2024-12-29 07:37:20.451319
78,38,035420,매도,24028,76,2025-02-18 14:06:25.853420
79,3,035420,매수,478338,26,2025-03-01 18:40:56.430633
80,8,005380,매도,490951,92,2025-01-31 16:40:41.116784
81,25,005380,매도,475639,9,2025-03-27 01:40:31.578956
82,18,035420,매수,23583,55,2025-04-01 13:13:43.824851
83,14,005380,매수,172837,8,2025-03-02 10:22:36.654688
84,13,005930,매수,337265,21,2025-05-07 14:02:47.225364
85,12,035420,매도,71411,81,2025-05-17 14:29:25.179892
86,8,005380,매수,495122,51,2025-05-09 23:08:27.007132
87,14,000660,매도,415632,10,2024-12-31 22:37:51.882114
88,44,207940,매수,321015,53,2025-04-04 23:58:16.325090
89,7,000660,매도,96857,14,2024-12-16 04:20:02.730464
90,21,000660,매수,314663,46,2025-02-18 02:26:38.445797
91,28,005930,매수,492641,53,2025-04-20 15:37:19.427268
92,39,000660,매수,160228,95,2025-02-14 08:07:16.062940
93,17,035420,매수,458890,15,2025-02-24 21:57:36.193522
94,24,035420,매수,480674,33,2025-01-24 07:01:00.205240
95,18,207940,매수,337705,16,2024-12-06 16:41:13.383674
96,21,000660,매수,337253,57,2025-05-16 22:14:33.081100
97,23,005930,매도,332516,96,2025-01-18 15:18:11.133834
98,4,207940,매도,27365,32,2025-03-07 12:03:47.455860
99,21,000660,매도,476692,7,2025-02-26 08:29:25.591895
100,31,207940,매수,308575,25,2025-04-15 04:12:54.298718
101,8,000660,매도,164615,87,2025-03-13 14:14:44.388927
102,42,035420,매수,405880,45,2025-05-27 13:31:40.695655
103,43,000660,매도,349603,73,2025-02-08 13:37:56.780231
104,1,207940,매도,151741,34,2025-05-05 02:15:09.435979
105,4,005930,매도,36255,7,2025-01-26 10:08:39.592130
106,1,005380,매수,444393,64,2025-02-23 19:26:03.730102
107,19,005930,매수,141571,38,2025-03-06 23:31:32.179069
108,7,005930,매수,366687,88,2025-02-04 15:22:11.245312
109,48,207940,매수,488427,24,2024-12-26 05:02:28.710115
110,50,035420,매도,490664,82,2025-01-24 05:46:48.571858
111,3,005930,매수,57226,74,2025-03-23 06:40:52.359507
112,30,000660,매수,194168,51,2025-05-21 13:27:56.887480
113,25,000660,매수,98216,40,2024-12-09 16:22:13.563194
114,26,000660,매도,475497,34,2025-03-26 21:11:02.071970
115,2,000660,매수,368087,93,2025-05-19 11:13:29.720218
116,38,035420,매수,273616,43,2024-12-30 18:13:50.059323
117,32,035420,매도,208488,84,2024-12-05 18:33:53.736203
118,50,005930,매도,139815,83,2024-12-31 16:46:00.184045
119,32,005930,매수,482984,49,2025-03-23 05:54:15.818112
120,50,005380,매도,416767,42,2025-03-24 12:29:29.711305
121,37,035420,매도,272945,65,2025-05-10 03:46:48.953597
122,35,000660,매도,347164,63,2025-03-26 00:36:47.530098
123,23,005380,매도,364304,5,2025-03-29 16:28:55.906607
124,3,005930,매수,391825,79,2025-01-29 10:26:15.691069
125,39,005380,매수,134332,13,2025-05-08 09:37:01.390162
126,25,035420,매수,336198,94,2025-03-26 13:02:16.891391
127,44,000660,매수,197263,80,2025-05-27 09:02:51.921504
128,48,005930,매도,45143,56,2025-02-06 23:18:25.288792
129,25,005380,매도,370249,30,2025-03-08 16:19:51.396156
130,45,005380,매도,312354,66,2025-05-19 23:10:33.386079
131,37,035420,매도,320832,9,2024-12-27 09:26:25.275891
132,40,000660,매수,483714,65,2025-04-26 23:36:53.830484
133,30,035420,매도,335475,64,2025-06-01 11:39:01.306283
134,3,005930,매도,338520,44,2025-03-19 13:00:59.065774
135,33,035420,매수,264124,33,2025-01-30 20:59:04.238983
136,39,035420,매도,18588,22,2025-04-25 03:18:39.916713
137,38,005380,매수,218690,41,2024-12-08 19:39:41.899269
138,37,005380,매수,203024,94,2025-01-20 12:12:55.248723
139,16,005380,매도,321595,32,2025-04-22 20:33:16.724464
140,1,005930,매도,220533,56,2025-02-03 00:29:54.186609
141,34,005380,매수,57652,50,2025-04-19 22:40:42.943088
142,4,207940,매수,161014,99,2025-02-08 18:33:16.355208
143,38,005930,매수,377393,75,2024-12-29 18:19:27.165569
144,38,035420,매도,56622,24,2025-03-04 22:14:40.860598
145,30,035420,매수,409596,32,2025-01-02 15:12:58.804223
146,31,000660,매도,442635,44,2025-01-30 00:51:53.941525
147,43,005930,매수,348202,3,2025-02-07 19:38:33.481494
148,34,005930,매도,409497,31,2025-04-08 16:21:17.220698
149,23,005930,매수,290093,14,2025-04-11 07:28:54.278494
150,30,207940,매도,203130,32,2025-05-10 17:35:50.904638
151,13,000660,매수,63612,96,2024-12-13 00:26:24.914044
152,9,000660,매도,115376,75,2025-02-26 01:30:59.203696
153,12,035420,매도,300165,15,2025-01-18 11:19:15.205749
154,18,035420,매도,479295,8,2025-06-02 00:52:20.575783
155,38,005380,매수,159359,9,2025-05-06 07:41:11.381692
156,32,000660,매수,26854,37,2025-05-11 23:57:40.861967
157,22,005380,매도,469286,88,2024-12-22 10:52:34.477455
158,23,000660,매도,126683,63,2025-05-16 03:36:59.446201
159,31,207940,매도,470120,30,2025-05-06 13:48:54.172723
160,16,005930,매도,32910,91,2025-03-28 10:14:57.530842
161,45,005380,매도,202814,49,2025-05-20 16:59:17.525532
162,14,000660,매도,440920,63,2025-05-04 15:12:03.034295
163,16,035420,매도,351146,70,2025-01-14 08:18:27.563768
164,27,000660,매수,165721,98,2025-01-10 05:12:10.018504
165,46,035420,매수,319805,70,2025-05-28 18:53:14.824512
166,20,005380,매도,261978,21,2025-04-30 16:33:50.917037
167,8,035420,매도,356153,88,2025-05-02 16:25:42.623897
168,30,207940,매수,209819,60,2025-04-15 17:36:57.705255
169,38,035420,매도,145091,39,2025-04-16 21:39:29.935727
170,33,035420,매도,454312,33,2025-03-25 08:14:12.177085
171,1,035420,매수,104855,15,2025-01-04 13:15:39.194072
172,9,000660,매수,36396,54,2025-04-21 20:17:36.565341
173,23,005380,매수,90892,100,2025-04-02 12:03:11.154586
174,5,000660,매도,374637,34,2025-05-07 21:03:12.532608
175,41,005930,매도,453070,99,2024-12-14 22:27:14.072142
176,9,207940,매도,461699,78,2025-01-20 16:03:45.545187
177,19,035420,매도,85302,50,2025-02-21 00:23:47.811137
178,15,207940,매도,149683,61,2025-03-09 00:49:09.605125
179,48,005930,매수,483003,55,2024-12-13 04:43:17.738583
180,29,000660,매도,172367,57,2025-03-28 02:34:45.789568
181,17,005930,매도,103823,41,2024-12-16 12:37:44.023924
182,15,005380,매수,25579,30,2025-04-04 11:13:03.674191
183,37,000660,매도,120230,75,2025-04-19 18:45:02.620213
184,4,005380,매도,28417,98,2025-03-20 21:31:01.711752
185,48,035420,매수,494757,60,2025-01-22 17:00:09.294007
186,18,005380,매도,100707,94,2025-02-07 00:58:18.128701
187,6,207940,매도,215710,90,2025-04-30 23:55:38.285760
