certification_id,counselor,expertise,proficiency_level,certified_date,connection_date,match_score
1,38,19,고급,2025-04-21,2025-05-27 19:39:37.569602,0.35
2,16,13,전문가,2024-09-22,2024-06-09 14:27:39.501181,0.52
3,20,9,전문가,2024-03-28,2024-06-25 11:14:11.637957,0.06
4,35,3,전문가,2024-12-17,2024-09-25 10:40:05.692874,0.29
5,21,3,초급,2025-04-30,2024-08-16 09:16:01.704461,0.37
6,41,13,고급,2024-04-23,2024-12-10 11:33:54.214758,0.46
7,18,17,전문가,2024-04-22,2025-05-28 21:26:02.143917,0.76
8,28,12,고급,2025-04-02,2025-02-03 15:23:19.188432,0.87
9,31,20,전문가,2024-07-22,2025-02-08 13:07:45.266283,0.8
10,1,19,초급,2025-05-28,2025-05-03 14:10:15.914336,0.65
11,38,10,중급,2023-08-31,2024-08-27 00:38:55.671685,0.9
12,41,20,초급,2025-05-13,2024-08-20 03:40:49.643465,0.75
13,50,16,전문가,2024-01-04,2025-01-13 06:58:18.189906,0.88
14,48,12,고급,2024-05-06,2024-10-13 04:54:10.314661,0.1
15,26,8,고급,2025-03-14,2025-02-04 23:32:41.031153,0.12
16,45,5,중급,2024-04-30,2025-02-18 08:05:21.054433,0.19
17,33,3,초급,2025-05-03,2024-08-09 01:32:30.196906,0.05
18,12,17,중급,2023-09-23,2024-10-31 17:38:31.567262,0.6
19,49,12,전문가,2023-07-02,2024-07-17 08:01:05.894938,0.94
20,26,10,고급,2025-05-07,2025-05-13 14:49:55.297966,0.15
21,30,3,전문가,2024-10-16,2024-08-02 03:16:44.788034,0.37
22,4,19,전문가,2024-08-09,2024-12-27 17:07:17.583569,0.56
23,29,5,전문가,2024-06-14,2025-02-20 03:29:09.948372,0.46
24,49,9,고급,2024-02-17,2024-09-01 09:10:28.776884,0.06
25,12,2,중급,2024-04-20,2025-03-02 13:06:28.013082,0.94
26,39,15,중급,2024-08-17,2025-04-02 22:15:46.433599,0.25
27,19,15,고급,2024-07-20,2024-12-27 07:49:28.484002,0.76
28,45,2,중급,2025-01-06,2024-10-07 19:43:02.942534,0.8
29,14,1,고급,2024-02-26,2024-09-14 14:33:03.570719,0.58
30,15,3,전문가,2024-01-28,2025-02-15 21:51:49.638131,0.32
31,16,6,중급,2023-07-17,2025-04-20 20:14:23.332762,0.19
32,7,1,고급,2024-02-07,2024-06-12 12:11:10.293944,0.55
33,38,5,전문가,2025-03-21,2025-02-28 14:58:42.123569,0.74
34,36,17,중급,2024-03-26,2025-02-21 18:02:41.926458,0.8
35,32,4,전문가,2023-07-27,2025-05-03 07:03:53.186761,0.58
36,7,4,초급,2023-10-01,2024-11-27 14:12:02.955997,0.11
37,28,14,고급,2023-07-16,2024-11-22 04:51:47.481800,0.77
38,37,5,중급,2024-04-19,2025-05-15 22:32:29.203500,0.56
39,12,3,고급,2023-06-02,2024-07-11 09:56:50.533172,0.41
40,28,12,고급,2023-08-12,2024-10-02 10:14:35.446944,0.4
41,27,14,중급,2024-07-30,2025-04-27 20:56:37.311153,0.47
42,19,17,중급,2024-07-27,2025-05-31 07:24:45.202909,0.14
43,35,17,초급,2024-03-26,2025-02-26 17:20:56.606738,0.21
44,6,20,초급,2023-06-14,2025-06-01 04:04:25.645860,0.46
45,24,11,중급,2024-01-05,2024-10-03 04:07:35.452199,0.85
46,6,13,중급,2024-10-12,2024-11-10 19:35:00.770851,0.57
47,50,4,고급,2024-12-01,2024-09-18 02:24:11.508260,0.17
48,17,12,중급,2024-10-15,2025-03-26 18:27:52.447147,0.98
49,23,16,전문가,2024-01-24,2025-01-16 23:54:26.030427,0.59
50,23,9,초급,2024-07-03,2024-07-22 06:30:52.616179,0.33
51,15,5,고급,2024-04-27,2024-11-03 20:14:36.939454,0.53
52,39,14,전문가,2024-10-01,2024-07-31 03:48:58.212157,0.57
53,7,18,고급,2024-02-24,2024-09-02 08:24:52.553818,0.15
54,22,1,중급,2024-09-29,2025-05-12 08:49:53.456585,1.0
55,38,18,고급,2024-10-19,2024-12-22 23:25:00.048616,0.34
56,6,12,고급,2024-06-26,2024-08-18 18:44:30.277184,0.97
57,17,4,고급,2024-07-11,2024-08-03 12:41:12.478419,0.3
58,32,14,전문가,2024-01-04,2024-08-01 17:13:55.258885,0.48
59,16,16,초급,2024-07-08,2024-10-17 07:57:59.057819,0.2
60,29,6,중급,2024-10-31,2025-02-05 19:28:27.135709,0.76
61,40,8,중급,2023-12-23,2025-03-28 23:29:05.229347,0.25
62,20,4,초급,2025-04-27,2024-11-05 23:24:39.689867,0.66
63,39,20,전문가,2025-03-18,2024-10-15 05:41:13.648106,0.87
64,25,15,중급,2024-03-19,2025-03-20 20:48:33.448503,0.62
65,40,3,초급,2024-05-10,2025-02-12 12:13:00.946843,0.72
66,46,1,중급,2024-10-23,2025-01-05 12:30:24.512167,0.31
67,20,3,전문가,2023-06-17,2024-09-14 05:04:03.391589,0.52
68,39,12,초급,2024-03-21,2024-07-01 05:17:58.245343,0.06
69,13,20,고급,2024-11-18,2024-09-25 14:08:13.298185,0.14
70,38,15,초급,2024-03-18,2025-02-02 03:38:29.842001,0.52
71,14,14,전문가,2023-12-06,2025-01-25 12:14:14.482763,0.87
72,41,6,고급,2025-02-15,2024-12-13 16:17:56.372496,0.08
73,12,14,초급,2023-12-20,2024-07-04 21:20:56.183894,0.77
74,4,18,전문가,2024-03-19,2025-02-18 07:46:47.998751,0.7
75,35,7,고급,2024-06-20,2024-06-05 08:16:05.750053,0.06
76,11,10,고급,2025-01-28,2024-11-16 15:35:59.978971,0.76
77,32,7,중급,2024-03-17,2025-02-04 17:21:16.483192,0.21
78,23,14,초급,2023-06-13,2024-07-20 04:41:42.891971,0.83
79,30,11,초급,2025-05-18,2024-08-12 23:33:17.456605,0.68
80,23,7,전문가,2024-08-14,2025-05-01 20:39:15.738618,0.04
81,23,17,초급,2025-05-05,2025-05-20 12:16:25.718043,0.88
82,21,6,중급,2024-04-10,2025-03-25 23:05:15.984843,0.56
83,50,20,고급,2024-12-19,2025-01-20 16:15:30.835062,0.83
