assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type,confidence_level,interaction_count
1,48,7,2024-11-13,True,41,주간분석,0.96,10
2,50,8,2024-11-12,True,71,분기분석,0.72,24
3,14,15,2024-07-14,True,3,특별분석,0.54,25
4,45,22,2024-06-22,True,59,특별분석,0.57,41
5,14,6,2024-07-18,True,62,특별분석,0.86,4
6,33,9,2024-11-05,True,58,특별분석,0.66,16
7,36,4,2025-01-24,True,57,특별분석,0.52,49
8,48,18,2024-11-01,True,44,월간분석,0.67,32
9,45,30,2025-01-25,False,76,특별분석,0.7,49
10,30,24,2024-11-17,False,12,분기분석,0.94,18
11,35,30,2024-11-15,True,76,주간분석,0.78,5
12,5,11,2025-02-27,True,56,특별분석,0.62,25
13,16,9,2025-05-07,False,25,주간분석,0.82,44
14,22,4,2024-09-23,True,41,특별분석,0.82,3
15,23,16,2024-07-16,True,89,월간분석,0.54,3
16,29,24,2025-03-12,True,91,주간분석,0.89,46
17,45,14,2025-02-09,True,75,주간분석,0.97,16
18,12,3,2024-10-25,True,32,주간분석,0.69,40
19,50,19,2025-01-09,True,26,분기분석,0.56,30
20,21,3,2024-10-12,True,62,주간분석,0.8,44
21,6,19,2024-09-23,False,0,주간분석,0.86,48
22,31,6,2025-03-06,True,49,분기분석,0.53,34
23,43,1,2025-02-06,True,36,월간분석,0.53,14
24,13,9,2025-01-02,True,44,분기분석,0.66,2
25,17,8,2024-08-15,True,62,분기분석,0.83,28
26,9,14,2025-05-14,True,71,주간분석,0.86,49
27,10,11,2025-03-05,True,87,분기분석,0.72,3
28,13,24,2025-02-08,True,6,월간분석,0.81,47
29,42,19,2025-03-16,True,40,분기분석,0.7,23
30,3,8,2024-09-20,True,25,주간분석,0.63,38
31,7,16,2025-03-18,True,57,특별분석,0.85,1
32,17,18,2025-01-26,True,97,주간분석,0.56,35
33,49,2,2024-12-24,False,81,분기분석,0.84,40
34,8,15,2024-11-16,True,89,특별분석,0.97,1
35,38,8,2024-09-15,True,27,주간분석,0.67,27
36,42,13,2024-07-08,True,66,특별분석,0.75,43
37,23,12,2025-03-31,True,75,월간분석,0.53,25
38,11,25,2024-09-19,True,26,분기분석,0.8,38
39,1,6,2024-06-14,True,54,주간분석,0.87,20
40,15,1,2025-01-08,True,52,월간분석,0.52,32
41,30,7,2024-10-04,True,95,분기분석,0.67,25
42,9,26,2025-05-19,True,72,주간분석,0.96,47
43,7,18,2024-12-06,True,29,주간분석,0.68,21
44,11,8,2025-01-29,False,30,주간분석,0.98,28
45,32,25,2025-02-20,True,3,특별분석,0.74,9
46,42,30,2025-04-10,True,100,월간분석,0.84,34
47,21,21,2024-06-27,True,59,주간분석,0.8,45
48,43,11,2024-11-05,False,8,월간분석,0.54,31
49,5,29,2025-04-27,True,99,특별분석,0.76,3
50,18,4,2024-09-16,True,45,주간분석,0.56,50
51,37,6,2024-09-14,True,76,특별분석,0.89,42
52,50,9,2024-08-16,True,89,주간분석,0.57,27
53,30,30,2025-03-27,False,49,특별분석,0.65,38
54,36,9,2025-03-09,True,82,특별분석,0.58,21
55,32,18,2025-01-12,True,81,월간분석,0.92,8
56,48,22,2025-05-10,True,68,특별분석,0.69,22
57,25,12,2024-07-07,False,7,월간분석,0.76,21
58,34,7,2024-09-01,True,88,분기분석,0.53,29
59,22,10,2024-09-30,True,45,월간분석,0.91,50
60,9,10,2025-02-10,True,99,특별분석,0.85,2
61,16,2,2024-12-08,True,42,주간분석,0.99,17
62,29,14,2024-12-29,True,12,월간분석,0.94,1
63,37,18,2025-04-30,False,36,주간분석,0.93,5
64,35,15,2024-11-20,True,57,월간분석,0.68,13
65,6,21,2024-12-09,True,37,주간분석,0.72,44
66,43,9,2024-08-07,True,85,월간분석,0.87,14
67,29,27,2024-11-18,True,51,월간분석,0.58,48
68,19,7,2025-04-28,True,78,주간분석,0.95,3
69,40,1,2024-12-05,False,28,특별분석,0.7,49
70,45,16,2025-02-21,True,20,분기분석,0.86,46
71,36,9,2024-07-28,True,33,특별분석,0.91,27
72,22,3,2025-02-26,True,97,특별분석,0.93,38
73,24,9,2024-07-16,True,8,특별분석,0.81,23
74,22,18,2025-02-28,True,59,분기분석,0.67,17
75,14,16,2024-08-13,True,24,주간분석,0.95,50
76,18,19,2024-08-21,True,97,주간분석,0.64,5
77,9,12,2024-07-03,True,38,월간분석,0.63,19
78,28,21,2025-04-25,True,66,분기분석,0.92,8
79,44,29,2024-06-16,True,82,주간분석,0.99,50
80,15,30,2024-08-31,False,37,분기분석,0.86,35
81,24,1,2024-08-20,True,50,월간분석,0.56,38
82,34,23,2025-04-25,True,97,특별분석,0.95,11
83,32,30,2024-10-06,True,21,월간분석,0.82,33
84,23,20,2024-09-04,False,73,주간분석,0.74,41
85,15,26,2024-10-30,True,33,주간분석,0.78,17
86,42,3,2025-03-07,True,94,월간분석,0.89,1
87,47,2,2024-12-25,True,59,월간분석,0.6,36
88,40,25,2024-08-12,True,70,분기분석,0.71,14
89,25,19,2024-06-16,True,34,분기분석,0.8,41
90,36,26,2024-10-16,True,82,특별분석,0.72,26
91,23,10,2024-11-11,False,11,분기분석,0.9,46
