mapping_id,project_id,tag_id,relevance_score,added_by,priority_level,match_score
1,4,15,1,admin,높음,0.49
2,27,6,10,community,높음,0.88
3,20,6,10,creator,보통,0.8
4,16,3,6,admin,높음,0.88
5,4,12,7,creator,높음,0.98
6,13,4,6,admin,낮음,0.52
7,11,15,1,community,낮음,0.13
8,12,9,7,admin,높음,0.32
9,14,12,1,creator,높음,0.03
10,18,10,8,creator,높음,0.13
11,30,10,9,creator,높음,0.3
12,2,8,6,admin,낮음,0.9
13,7,15,2,admin,높음,0.08
14,26,5,10,community,낮음,0.41
15,14,14,7,community,보통,0.06
16,26,6,8,creator,낮음,0.2
17,28,7,1,community,보통,0.46
18,15,9,9,admin,보통,0.44
19,11,7,10,creator,높음,0.62
20,20,10,2,admin,보통,0.4
21,13,6,2,creator,높음,0.5
22,20,2,6,community,낮음,0.12
23,13,14,4,admin,낮음,0.27
24,12,4,1,creator,높음,0.72
25,13,14,10,community,보통,0.34
26,1,14,4,community,낮음,0.4
27,11,1,8,community,낮음,0.89
28,24,10,7,community,높음,0.26
29,29,3,6,admin,낮음,0.15
30,6,7,1,community,낮음,0.69
31,22,2,10,creator,낮음,0.41
32,25,13,2,admin,높음,0.71
33,21,14,8,community,높음,0.65
34,1,15,1,admin,낮음,0.04
35,12,8,2,community,낮음,0.76
36,11,12,9,admin,보통,0.62
37,7,15,6,community,보통,0.78
38,27,13,2,creator,높음,0.82
39,19,2,5,creator,높음,0.61
40,2,2,1,creator,낮음,0.33
41,27,1,2,admin,낮음,0.97
42,9,2,5,admin,낮음,0.67
43,3,14,5,creator,낮음,0.46
44,10,4,9,admin,낮음,0.24
45,7,9,8,creator,보통,0.72
46,4,3,8,admin,낮음,0.97
47,28,10,5,admin,높음,0.41
48,14,11,5,community,낮음,0.27
49,29,11,5,creator,높음,0.42
50,26,5,8,creator,높음,0.06
51,22,8,10,creator,높음,0.62
52,17,7,4,community,낮음,0.94
53,18,4,3,admin,높음,0.28
54,20,3,6,admin,높음,0.66
55,19,2,8,admin,보통,0.49
56,15,12,8,admin,높음,0.18
57,6,12,9,creator,낮음,0.38
58,17,9,3,creator,보통,0.78
59,11,12,2,admin,보통,0.54
60,12,8,5,creator,보통,0.83
61,16,1,9,community,보통,0.81
62,13,11,3,creator,낮음,0.77
63,27,10,8,community,보통,0.88
64,10,3,5,admin,높음,0.85
65,21,7,6,community,보통,0.63
66,19,15,7,creator,낮음,0.87
67,5,3,4,admin,낮음,0.4
68,21,1,4,creator,보통,0.99
69,11,14,7,community,보통,0.52
70,4,6,9,community,낮음,0.89
71,9,8,9,admin,보통,0.49
72,4,4,3,admin,보통,0.37
73,16,12,5,creator,보통,0.29
74,18,13,7,admin,보통,0.64
75,21,13,6,admin,보통,0.17
76,2,12,10,creator,보통,0.53
77,17,1,6,community,낮음,0.19
78,21,5,8,community,보통,0.03
79,15,13,10,creator,낮음,0.66
80,6,15,4,admin,높음,0.83
81,10,13,3,creator,보통,0.91
82,10,2,6,community,보통,0.35
83,20,6,3,admin,보통,0.97
84,20,5,9,creator,보통,0.3
85,12,3,10,admin,보통,0.16
86,15,5,9,creator,보통,0.29
87,24,5,6,creator,낮음,0.37
88,23,7,7,creator,보통,0.16
89,29,1,8,creator,높음,0.94
90,8,3,9,community,높음,0.46
91,2,3,2,community,보통,0.43
92,29,12,9,creator,낮음,0.26
93,3,9,3,creator,높음,0.1
94,27,5,5,admin,높음,0.1
95,8,15,3,admin,낮음,0.08
96,21,9,4,creator,보통,0.67
97,2,13,3,creator,높음,0.27
98,9,6,6,creator,높음,0.75
99,28,7,1,creator,높음,0.09
100,3,5,1,admin,보통,0.28
