stock_id,stock_code,stock_name,market,sector,popularity_score,external_ref
1,005930,삼성전자,KOSDAQ,바이오,48,REF####
2,000660,SK하이닉스,KOSPI,금융,71,REF####
3,035420,NAVER,KOSDAQ,화학,48,REF####
4,005380,현대차,KOSDAQ,IT,42,REF####
5,207940,삼성바이오로직스,KOSDAQ,화학,22,REF####
6,005490,POSCO홀딩스,KOSPI,제조업,10,REF####
7,051910,LG화학,KOSPI,바이오,37,REF####
8,006400,삼성SDI,KOSDAQ,금융,90,REF####
9,028260,삼성물산,KOSDAQ,화학,55,REF####
10,068270,셀트리온,KOSPI,금융,94,REF####
11,035720,카카오,KOSDAQ,제조업,14,REF####
12,003670,SK이노베이션,KOSDAQ,화학,26,REF####
13,096770,SK텔레콤,KOSPI,화학,34,REF####
14,015760,한국전력,KOSPI,바이오,92,REF####
15,018260,카카오뱅크,KOSDAQ,IT,39,REF####
16,323410,카카오페이,KOSDAQ,화학,71,REF####
17,000270,기아,KOSPI,IT,80,REF####
18,017670,SK바이오팜,KOSPI,금융,24,REF####
19,034220,LG생활건강,KOSDAQ,화학,18,REF####
20,003550,LG,KOSDAQ,IT,46,REF####
