preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency,is_active,connection_date
1,22,1985,15,2020,15,True,2024-06-04 04:12:53.307965
2,32,1995,14,2021,21,True,2025-02-01 12:01:36.626395
3,24,1989,10,2024,18,True,2024-10-29 23:17:11.387531
4,26,1997,15,2020,11,True,2024-11-26 15:18:52.175063
5,22,1985,10,2024,38,True,2024-07-03 21:24:26.195836
6,35,1990,2,2023,25,True,2025-05-13 19:10:06.873965
7,2,1987,2,2022,38,False,2024-11-28 06:52:59.626665
8,13,2003,11,2021,35,True,2024-11-03 03:08:39.945002
9,5,2004,6,2024,11,True,2025-01-09 02:27:39.285765
10,8,2003,10,2021,36,True,2025-04-22 18:04:01.996027
11,14,1999,11,2021,41,False,2024-08-10 04:19:45.953875
12,29,1998,4,2023,32,True,2025-03-31 19:00:12.922719
13,35,2004,8,2023,7,True,2025-05-20 12:48:39.762275
14,35,1987,11,2020,12,True,2025-04-09 01:07:23.458910
15,11,2002,12,2021,4,True,2025-04-28 12:02:27.134490
16,22,1995,7,2022,28,True,2025-01-26 18:23:36.837916
17,15,1991,10,2023,45,True,2025-03-07 04:26:38.997954
18,31,1980,15,2022,19,True,2025-05-10 18:31:08.387732
19,1,1996,11,2022,19,True,2024-10-20 02:34:33.199682
20,34,1992,9,2020,3,True,2024-06-18 17:17:22.512637
21,4,1996,11,2022,42,True,2024-12-24 16:24:11.329664
22,38,1995,5,2024,15,True,2025-04-10 00:46:18.116520
23,12,1987,13,2023,45,True,2025-05-22 04:14:03.492280
24,34,1997,6,2023,17,True,2024-06-15 00:01:22.751555
25,26,2000,11,2021,40,False,2025-04-29 14:24:03.762938
26,7,1999,14,2024,41,True,2024-08-01 17:19:52.554370
27,14,1982,5,2021,25,False,2024-08-18 07:38:06.062079
28,6,1996,12,2020,44,True,2024-10-02 21:32:58.724954
29,6,1996,2,2021,9,False,2025-06-02 01:33:40.102443
30,30,2001,11,2023,20,True,2024-10-12 02:32:21.721522
31,33,1991,9,2021,49,True,2024-06-06 06:04:05.609622
32,24,1989,12,2022,26,True,2025-05-29 19:15:29.143939
33,7,1993,15,2024,9,True,2025-04-13 07:29:17.273599
34,1,1999,3,2022,22,True,2025-02-01 02:01:32.425134
35,14,2003,5,2021,5,True,2025-04-23 06:45:12.097534
36,18,1993,4,2024,29,True,2025-02-05 07:26:09.981078
37,38,1993,1,2021,23,True,2024-06-07 16:32:37.006131
38,20,1991,8,2022,44,True,2025-04-26 19:31:31.163846
39,33,1997,8,2024,23,False,2024-11-21 13:12:10.639932
40,36,1984,5,2022,22,True,2024-08-27 22:49:26.662204
41,34,1990,15,2020,27,True,2024-06-29 03:07:06.617599
42,28,1994,14,2020,43,True,2024-09-14 00:29:34.021624
43,32,1983,6,2020,31,True,2025-02-05 12:12:03.055685
44,8,1989,15,2022,17,False,2025-03-09 20:16:15.850607
45,33,2001,10,2022,49,True,2025-01-30 06:36:45.811498
46,39,1994,5,2023,38,False,2024-06-03 20:57:45.161835
47,37,1999,1,2023,9,True,2024-09-03 22:47:32.229166
48,15,1994,14,2023,31,True,2025-01-08 12:45:00.820732
49,34,1990,13,2024,3,True,2024-12-01 20:52:34.237906
50,31,2003,5,2022,35,True,2025-05-27 01:21:51.278390
51,13,1996,8,2024,15,True,2025-01-10 19:02:55.385446
52,31,1981,14,2021,28,True,2025-04-02 08:28:14.778351
53,6,1996,8,2021,10,True,2025-04-25 18:26:12.348374
54,7,1985,7,2022,34,True,2025-05-18 16:09:18.673038
55,19,1996,7,2024,24,True,2024-11-18 13:51:43.381463
56,35,1987,8,2023,43,True,2025-04-29 18:37:17.643196
57,34,2001,15,2023,12,True,2025-04-13 22:31:39.132899
58,36,1982,5,2020,49,False,2024-07-12 18:17:12.260590
59,9,1994,10,2021,29,True,2024-12-28 20:10:22.943614
60,9,1988,3,2022,33,False,2025-04-08 08:18:15.220737
61,28,1981,7,2023,38,True,2025-04-24 23:14:09.378991
62,20,1987,15,2024,40,False,2024-09-12 10:33:05.492467
63,5,1999,15,2021,49,True,2024-09-24 10:40:27.859679
64,25,1987,11,2024,50,False,2024-07-05 00:52:11.907127
65,19,1997,7,2023,27,False,2024-09-29 14:06:55.311356
66,32,1985,10,2020,19,True,2024-09-13 02:27:21.241381
67,34,1997,1,2023,33,True,2025-03-27 06:32:46.060730
68,9,1980,11,2023,47,False,2025-02-01 13:29:35.484480
69,21,1988,13,2024,16,True,2024-06-25 09:09:26.227358
70,2,1995,1,2023,35,True,2024-07-09 01:24:47.637959
71,22,1983,15,2024,17,True,2024-07-17 18:01:45.584445
72,39,1998,7,2024,19,True,2024-08-17 14:56:40.269708
73,1,1993,10,2020,35,True,2025-05-23 23:56:38.448111
74,7,2001,3,2020,16,True,2024-10-05 07:50:07.273110
75,31,1983,9,2024,19,True,2024-09-26 02:11:23.193062
76,34,2003,1,2023,5,True,2025-01-02 02:07:56.489164
77,11,1996,4,2022,33,True,2025-01-09 21:31:41.894349
78,15,2001,5,2020,15,True,2024-11-28 00:27:46.011802
79,7,2004,1,2024,33,True,2024-12-17 18:11:23.082278
80,1,2005,10,2024,35,True,2024-11-25 15:15:12.756738
81,10,1998,14,2022,33,True,2024-06-14 10:31:02.535043
