certification_id,counselor,expertise,proficiency_level,certified_date
1,38,19,고급,2025-04-21
2,16,13,전문가,2024-09-22
3,20,9,전문가,2024-03-28
4,35,3,전문가,2024-12-17
5,21,3,초급,2025-04-30
6,41,13,고급,2024-04-23
7,18,17,전문가,2024-04-22
8,28,12,고급,2025-04-02
9,31,20,전문가,2024-07-22
10,1,19,초급,2025-05-28
11,38,10,중급,2023-08-31
12,41,20,초급,2025-05-13
13,50,16,전문가,2024-01-04
14,48,12,고급,2024-05-06
15,26,8,고급,2025-03-14
16,45,5,중급,2024-04-30
17,33,3,초급,2025-05-03
18,12,17,중급,2023-09-23
19,49,12,전문가,2023-07-02
20,26,10,고급,2025-05-07
21,30,3,전문가,2024-10-16
22,4,19,전문가,2024-08-09
23,29,5,전문가,2024-06-14
24,49,9,고급,2024-02-17
25,12,2,중급,2024-04-20
26,39,15,중급,2024-08-17
27,19,15,고급,2024-07-20
28,45,2,중급,2025-01-06
29,14,1,고급,2024-02-26
30,15,3,전문가,2024-01-28
31,16,6,중급,2023-07-17
32,7,1,고급,2024-02-07
33,38,5,전문가,2025-03-21
34,36,17,중급,2024-03-26
35,32,4,전문가,2023-07-27
36,7,4,초급,2023-10-01
37,28,14,고급,2023-07-16
38,37,5,중급,2024-04-19
39,12,3,고급,2023-06-02
40,28,12,고급,2023-08-12
41,27,14,중급,2024-07-30
42,19,17,중급,2024-07-27
43,35,17,초급,2024-03-26
44,6,20,초급,2023-06-14
45,24,11,중급,2024-01-05
46,6,13,중급,2024-10-12
47,50,4,고급,2024-12-01
48,17,12,중급,2024-10-15
49,23,16,전문가,2024-01-24
50,23,9,초급,2024-07-03
51,15,5,고급,2024-04-27
52,39,14,전문가,2024-10-01
53,7,18,고급,2024-02-24
54,22,1,중급,2024-09-29
55,38,18,고급,2024-10-19
56,6,12,고급,2024-06-26
57,17,4,고급,2024-07-11
58,32,14,전문가,2024-01-04
59,16,16,초급,2024-07-08
60,29,6,중급,2024-10-31
61,40,8,중급,2023-12-23
62,20,4,초급,2025-04-27
63,39,20,전문가,2025-03-18
64,25,15,중급,2024-03-19
65,40,3,초급,2024-05-10
66,46,1,중급,2024-10-23
67,20,3,전문가,2023-06-17
68,39,12,초급,2024-03-21
69,13,20,고급,2024-11-18
70,38,15,초급,2024-03-18
71,14,14,전문가,2023-12-06
72,41,6,고급,2025-02-15
73,12,14,초급,2023-12-20
74,4,18,전문가,2024-03-19
75,35,7,고급,2024-06-20
76,11,10,고급,2025-01-28
77,32,7,중급,2024-03-17
78,23,14,초급,2023-06-13
79,30,11,초급,2025-05-18
80,23,7,전문가,2024-08-14
81,23,17,초급,2025-05-05
82,21,6,중급,2024-04-10
83,50,20,고급,2024-12-19
84,28,13,고급,2023-08-15
85,41,2,고급,2024-09-04
86,12,15,중급,2024-11-30
87,38,18,전문가,2024-03-22
88,40,1,고급,2023-12-27
89,9,9,초급,2023-09-28
90,30,14,초급,2024-01-21
91,22,10,전문가,2024-08-23
92,36,9,중급,2024-02-22
93,15,12,중급,2023-11-16
94,42,9,중급,2024-12-13
95,42,16,중급,2024-04-29
96,22,9,중급,2024-03-12
97,47,4,전문가,2025-01-22
98,23,17,중급,2023-09-19
99,39,11,전문가,2024-04-02
100,47,10,초급,2023-12-07
101,41,3,고급,2023-06-29
102,17,1,전문가,2023-08-20
103,46,11,중급,2025-03-08
104,19,1,고급,2023-09-19
105,37,15,초급,2025-05-08
106,19,4,전문가,2024-11-06
107,24,12,고급,2023-09-13
108,19,12,고급,2025-01-30
109,43,14,중급,2023-12-04
110,34,10,고급,2023-08-14
111,47,11,전문가,2025-05-22
112,35,2,전문가,2023-07-27
113,29,19,중급,2023-07-11
114,50,5,고급,2025-04-15
115,37,2,초급,2025-03-06
116,19,5,중급,2025-02-11
117,48,16,중급,2025-06-01
118,11,12,고급,2024-05-26
119,22,19,초급,2024-06-24
120,38,20,전문가,2024-05-13
121,36,5,고급,2024-02-16
122,6,18,고급,2025-05-29
123,17,19,고급,2023-08-17
124,48,19,초급,2023-12-14
125,42,6,중급,2025-01-06
126,11,6,중급,2025-04-19
127,2,16,중급,2024-09-29
128,33,4,중급,2024-06-03
129,6,12,전문가,2024-06-01
130,42,4,고급,2024-05-10
131,24,17,중급,2024-01-02
132,34,16,고급,2024-12-30
133,41,1,초급,2023-07-27
134,50,11,초급,2024-10-08
135,35,5,전문가,2023-09-13
136,25,8,고급,2024-04-25
137,21,6,전문가,2024-11-08
138,40,7,전문가,2025-04-25
139,11,10,전문가,2025-05-06
140,16,17,전문가,2023-12-18
141,36,7,중급,2024-12-02
142,5,2,고급,2025-03-22
143,30,17,초급,2023-10-15
144,14,8,고급,2024-11-05
145,43,9,전문가,2024-04-06
146,41,8,고급,2025-01-23
147,43,8,중급,2023-06-15
148,10,4,중급,2024-02-03
149,29,2,중급,2024-06-13
150,30,16,중급,2024-08-15
