certification_id,counselor,expertise,proficiency_level,certified_date
7,18,17,전문가,2024-04-22
113,29,19,중급,2023-07-11
101,41,3,고급,2023-06-29
3,20,9,전문가,2024-03-28
64,25,15,중급,2024-03-19
55,38,18,고급,2024-10-19
127,2,16,중급,2024-09-29
51,15,5,고급,2024-04-27
116,19,5,중급,2025-02-11
47,50,4,고급,2024-12-01
140,16,17,전문가,2023-12-18
62,20,4,초급,2025-04-27
148,10,4,중급,2024-02-03
80,23,7,전문가,2024-08-14
60,29,6,중급,2024-10-31
92,36,9,중급,2024-02-22
42,19,17,중급,2024-07-27
59,16,16,초급,2024-07-08
91,22,10,전문가,2024-08-23
49,23,16,전문가,2024-01-24
89,9,9,초급,2023-09-28
108,19,12,고급,2025-01-30
125,42,6,중급,2025-01-06
22,4,19,전문가,2024-08-09
58,32,14,전문가,2024-01-04
145,43,9,전문가,2024-04-06
130,42,4,고급,2024-05-10
38,37,5,중급,2024-04-19
141,36,7,중급,2024-12-02
2,16,13,전문가,2024-09-22
53,7,18,고급,2024-02-24
131,24,17,중급,2024-01-02
104,19,1,고급,2023-09-19
100,47,10,초급,2023-12-07
117,48,16,중급,2025-06-01
88,40,1,고급,2023-12-27
75,35,7,고급,2024-06-20
122,6,18,고급,2025-05-29
150,30,16,중급,2024-08-15
21,30,3,전문가,2024-10-16
72,41,6,고급,2025-02-15
107,24,12,고급,2023-09-13
15,26,8,고급,2025-03-14
93,15,12,중급,2023-11-16
103,46,11,중급,2025-03-08
