certification_id,counselor,expertise,proficiency_level,certified_date
1,38,19,고급,2025-04-21
2,16,13,전문가,2024-09-22
3,20,9,전문가,2024-03-28
4,35,3,전문가,2024-12-17
7,18,17,전문가,2024-04-22
8,28,12,고급,2025-04-02
9,31,20,전문가,2024-07-22
10,1,19,초급,2025-05-28
11,38,10,중급,2023-08-31
14,48,12,고급,2024-05-06
15,26,8,고급,2025-03-14
16,45,5,중급,2024-04-30
17,33,3,초급,2025-05-03
19,49,12,전문가,2023-07-02
20,26,10,고급,2025-05-07
22,4,19,전문가,2024-08-09
24,49,9,고급,2024-02-17
28,45,2,중급,2025-01-06
29,14,1,고급,2024-02-26
31,16,6,중급,2023-07-17
32,7,1,고급,2024-02-07
33,38,5,전문가,2025-03-21
35,32,4,전문가,2023-07-27
36,7,4,초급,2023-10-01
37,28,14,고급,2023-07-16
40,28,12,고급,2023-08-12
41,27,14,중급,2024-07-30
43,35,17,초급,2024-03-26
44,6,20,초급,2023-06-14
46,6,13,중급,2024-10-12
48,17,12,중급,2024-10-15
53,7,18,고급,2024-02-24
55,38,18,고급,2024-10-19
56,6,12,고급,2024-06-26
57,17,4,고급,2024-07-11
58,32,14,전문가,2024-01-04
59,16,16,초급,2024-07-08
61,40,8,중급,2023-12-23
62,20,4,초급,2025-04-27
64,25,15,중급,2024-03-19
65,40,3,초급,2024-05-10
66,46,1,중급,2024-10-23
67,20,3,전문가,2023-06-17
69,13,20,고급,2024-11-18
70,38,15,초급,2024-03-18
71,14,14,전문가,2023-12-06
74,4,18,전문가,2024-03-19
75,35,7,고급,2024-06-20
77,32,7,중급,2024-03-17
84,28,13,고급,2023-08-15
87,38,18,전문가,2024-03-22
88,40,1,고급,2023-12-27
89,9,9,초급,2023-09-28
94,42,9,중급,2024-12-13
95,42,16,중급,2024-04-29
97,47,4,전문가,2025-01-22
100,47,10,초급,2023-12-07
102,17,1,전문가,2023-08-20
103,46,11,중급,2025-03-08
110,34,10,고급,2023-08-14
111,47,11,전문가,2025-05-22
112,35,2,전문가,2023-07-27
117,48,16,중급,2025-06-01
120,38,20,전문가,2024-05-13
122,6,18,고급,2025-05-29
123,17,19,고급,2023-08-17
124,48,19,초급,2023-12-14
125,42,6,중급,2025-01-06
128,33,4,중급,2024-06-03
129,6,12,전문가,2024-06-01
130,42,4,고급,2024-05-10
132,34,16,고급,2024-12-30
135,35,5,전문가,2023-09-13
136,25,8,고급,2024-04-25
138,40,7,전문가,2025-04-25
140,16,17,전문가,2023-12-18
142,5,2,고급,2025-03-22
144,14,8,고급,2024-11-05
148,10,4,중급,2024-02-03
