certification_id,counselor,expertise,proficiency_level,certified_date
74,4,18,전문가,2024-03-19
19,49,12,전문가,2023-07-02
119,22,19,초급,2024-06-24
79,30,11,초급,2025-05-18
77,32,7,중급,2024-03-17
32,7,1,고급,2024-02-07
65,40,3,초급,2024-05-10
142,5,2,고급,2025-03-22
69,13,20,고급,2024-11-18
83,50,20,고급,2024-12-19
111,47,11,전문가,2025-05-22
13,50,16,전문가,2024-01-04
37,28,14,고급,2023-07-16
10,1,19,초급,2025-05-28
20,26,10,고급,2025-05-07
57,17,4,고급,2024-07-11
105,37,15,초급,2025-05-08
70,38,15,초급,2024-03-18
56,6,12,고급,2024-06-26
133,41,1,초급,2023-07-27
30,15,3,전문가,2024-01-28
128,33,4,중급,2024-06-03
27,19,15,고급,2024-07-20
129,6,12,전문가,2024-06-01
132,34,16,고급,2024-12-30
146,41,8,고급,2025-01-23
109,43,14,중급,2023-12-04
144,14,8,고급,2024-11-05
46,6,13,중급,2024-10-12
31,16,6,중급,2023-07-17
23,29,5,전문가,2024-06-14
16,45,5,중급,2024-04-30
66,46,1,중급,2024-10-23
12,41,20,초급,2025-05-13
43,35,17,초급,2024-03-26
147,43,8,중급,2023-06-15
52,39,14,전문가,2024-10-01
28,45,2,중급,2025-01-06
5,21,3,초급,2025-04-30
33,38,5,전문가,2025-03-21
143,30,17,초급,2023-10-15
86,12,15,중급,2024-11-30
87,38,18,전문가,2024-03-22
17,33,3,초급,2025-05-03
11,38,10,중급,2023-08-31
82,21,6,중급,2024-04-10
134,50,11,초급,2024-10-08
138,40,7,전문가,2025-04-25
76,11,10,고급,2025-01-28
110,34,10,고급,2023-08-14
97,47,4,전문가,2025-01-22
106,19,4,전문가,2024-11-06
67,20,3,전문가,2023-06-17
1,38,19,고급,2025-04-21
123,17,19,고급,2023-08-17
68,39,12,초급,2024-03-21
29,14,1,고급,2024-02-26
41,27,14,중급,2024-07-30
45,24,11,중급,2024-01-05
61,40,8,중급,2023-12-23
124,48,19,초급,2023-12-14
25,12,2,중급,2024-04-20
26,39,15,중급,2024-08-17
24,49,9,고급,2024-02-17
95,42,16,중급,2024-04-29
40,28,12,고급,2023-08-12
96,22,9,중급,2024-03-12
118,11,12,고급,2024-05-26
48,17,12,중급,2024-10-15
98,23,17,중급,2023-09-19
114,50,5,고급,2025-04-15
34,36,17,중급,2024-03-26
139,11,10,전문가,2025-05-06
102,17,1,전문가,2023-08-20
63,39,20,전문가,2025-03-18
85,41,2,고급,2024-09-04
149,29,2,중급,2024-06-13
54,22,1,중급,2024-09-29
6,41,13,고급,2024-04-23
94,42,9,중급,2024-12-13
112,35,2,전문가,2023-07-27
50,23,9,초급,2024-07-03
36,7,4,초급,2023-10-01
81,23,17,초급,2025-05-05
78,23,14,초급,2023-06-13
35,32,4,전문가,2023-07-27
115,37,2,초급,2025-03-06
8,28,12,고급,2025-04-02
44,6,20,초급,2023-06-14
71,14,14,전문가,2023-12-06
99,39,11,전문가,2024-04-02
121,36,5,고급,2024-02-16
84,28,13,고급,2023-08-15
135,35,5,전문가,2023-09-13
136,25,8,고급,2024-04-25
90,30,14,초급,2024-01-21
9,31,20,전문가,2024-07-22
14,48,12,고급,2024-05-06
120,38,20,전문가,2024-05-13
126,11,6,중급,2025-04-19
4,35,3,전문가,2024-12-17
18,12,17,중급,2023-09-23
39,12,3,고급,2023-06-02
73,12,14,초급,2023-12-20
137,21,6,전문가,2024-11-08
