membership_id,contact_id,group_id,joined_date,role
181,49,1,2024-11-04,리더
179,63,10,2023-07-31,일반
186,68,7,2025-04-23,리더
50,64,6,2023-08-31,리더
81,119,5,2023-07-31,관리자
35,40,3,2024-10-08,일반
8,85,7,2024-08-11,관리자
111,14,10,2025-02-15,일반
92,24,10,2023-12-23,관리자
84,43,9,2024-05-20,관리자
177,6,1,2025-02-08,관리자
182,104,4,2023-10-02,일반
90,26,7,2023-07-13,일반
9,37,4,2025-02-04,일반
14,58,8,2024-03-03,리더
60,113,8,2025-01-25,관리자
172,106,8,2024-03-16,관리자
132,86,5,2024-11-30,리더
18,2,1,2023-12-12,일반
73,72,7,2025-01-19,관리자
176,15,6,2024-12-23,관리자
135,3,2,2023-11-06,일반
168,70,1,2025-03-29,리더
184,48,3,2025-01-18,일반
64,102,9,2023-06-12,관리자
55,5,10,2024-07-30,일반
108,53,3,2024-02-23,관리자
51,87,5,2023-10-23,관리자
197,39,9,2024-04-24,일반
59,71,7,2023-06-28,리더
49,39,9,2024-12-13,리더
89,33,4,2025-03-24,리더
22,24,2,2025-04-07,일반
58,70,3,2025-05-01,리더
161,83,2,2024-11-01,일반
193,113,3,2023-10-07,관리자
130,81,9,2023-09-13,리더
38,112,8,2025-05-01,일반
158,83,5,2025-03-07,관리자
194,106,9,2023-06-12,일반
2,54,5,2024-09-29,리더
53,86,10,2024-03-08,관리자
150,68,3,2024-11-26,일반
131,97,8,2023-06-04,일반
152,53,5,2023-11-20,일반
104,67,1,2024-05-11,일반
100,19,8,2024-06-11,관리자
117,40,4,2024-09-12,관리자
88,65,2,2024-09-27,리더
75,116,1,2024-12-06,관리자
122,103,3,2024-12-21,관리자
200,92,1,2024-06-15,일반
21,26,8,2024-09-07,일반
189,60,6,2024-06-15,일반
72,20,1,2024-11-20,리더
107,40,7,2023-06-11,관리자
15,81,3,2023-10-10,리더
93,41,5,2023-10-02,일반
180,51,5,2023-10-06,리더
103,75,6,2024-12-13,리더
