membership_id,contact_id,group_id,joined_date,role
1,48,2,2023-09-21,관리자
3,36,8,2024-12-08,관리자
4,19,2,2024-12-24,일반
5,120,8,2024-11-10,리더
6,22,1,2024-01-20,관리자
7,114,9,2024-07-05,리더
11,47,3,2024-01-10,일반
12,36,6,2023-07-25,관리자
13,71,8,2025-02-11,일반
14,58,8,2024-03-03,리더
15,81,3,2023-10-10,리더
16,105,8,2024-09-22,관리자
17,100,1,2023-08-14,일반
18,2,1,2023-12-12,일반
20,108,6,2025-05-12,관리자
21,26,8,2024-09-07,일반
22,24,2,2025-04-07,일반
23,48,8,2024-06-17,리더
24,13,2,2023-09-16,리더
26,106,9,2023-07-03,리더
28,26,8,2024-02-11,일반
29,69,2,2025-03-17,관리자
32,80,1,2024-03-21,일반
34,92,3,2024-01-28,리더
35,40,3,2024-10-08,일반
38,112,8,2025-05-01,일반
39,99,3,2023-06-08,관리자
40,28,1,2025-03-25,리더
43,6,8,2024-09-02,리더
44,37,3,2025-04-10,일반
45,94,3,2024-05-11,리더
46,118,6,2023-09-29,관리자
49,39,9,2024-12-13,리더
50,64,6,2023-08-31,리더
52,2,9,2023-12-31,일반
54,46,9,2025-05-29,관리자
56,15,9,2024-12-02,관리자
57,87,3,2025-01-30,일반
58,70,3,2025-05-01,리더
60,113,8,2025-01-25,관리자
63,42,9,2023-07-20,관리자
64,102,9,2023-06-12,관리자
69,63,6,2024-09-20,리더
70,78,9,2025-01-07,관리자
71,103,6,2024-09-11,관리자
72,20,1,2024-11-20,리더
74,104,2,2024-01-31,리더
75,116,1,2024-12-06,관리자
80,118,9,2024-03-03,리더
82,64,1,2024-11-22,리더
84,43,9,2024-05-20,관리자
85,24,6,2024-01-02,리더
88,65,2,2024-09-27,리더
91,45,1,2025-02-05,리더
95,88,2,2024-05-16,리더
99,50,8,2024-04-30,일반
100,19,8,2024-06-11,관리자
102,83,3,2023-08-21,리더
103,75,6,2024-12-13,리더
104,67,1,2024-05-11,일반
105,80,3,2024-10-11,리더
106,33,1,2023-11-06,일반
108,53,3,2024-02-23,관리자
109,94,1,2023-07-05,일반
110,9,3,2024-08-20,리더
112,107,2,2024-06-23,관리자
114,78,6,2024-03-07,일반
118,91,1,2023-12-04,리더
122,103,3,2024-12-21,관리자
124,55,8,2023-11-13,관리자
125,108,3,2023-09-10,관리자
126,109,6,2025-01-07,일반
127,60,6,2024-11-01,관리자
129,93,8,2024-05-14,일반
130,81,9,2023-09-13,리더
131,97,8,2023-06-04,일반
133,10,6,2024-03-20,일반
134,31,1,2024-07-15,리더
135,3,2,2023-11-06,일반
136,43,8,2024-12-05,일반
140,114,6,2024-11-22,관리자
142,99,1,2024-12-26,일반
143,7,9,2024-05-24,관리자
144,12,3,2023-09-05,일반
145,26,9,2024-07-01,일반
146,30,9,2023-12-28,관리자
148,8,1,2023-12-26,일반
150,68,3,2024-11-26,일반
151,91,3,2024-07-10,관리자
153,72,3,2023-11-14,리더
155,27,9,2025-03-27,관리자
156,37,3,2023-10-09,일반
157,35,2,2025-03-02,리더
159,13,8,2024-10-10,관리자
161,83,2,2024-11-01,일반
164,90,9,2025-05-20,일반
167,15,9,2024-10-16,관리자
168,70,1,2025-03-29,리더
169,60,8,2025-03-28,리더
172,106,8,2024-03-16,관리자
173,11,3,2023-07-13,리더
176,15,6,2024-12-23,관리자
177,6,1,2025-02-08,관리자
178,120,9,2023-10-05,관리자
181,49,1,2024-11-04,리더
183,113,1,2024-03-02,일반
184,48,3,2025-01-18,일반
185,102,6,2024-11-02,관리자
188,35,9,2025-05-06,리더
189,60,6,2024-06-15,일반
190,87,1,2025-04-05,일반
191,120,8,2024-09-20,리더
193,113,3,2023-10-07,관리자
194,106,9,2023-06-12,일반
195,53,8,2025-02-25,리더
196,80,6,2025-02-04,관리자
197,39,9,2024-04-24,일반
198,30,9,2025-02-15,리더
199,52,2,2025-03-21,일반
200,92,1,2024-06-15,일반
