membership_id,contact_id,group_id,joined_date,role
96,117,4,2025-02-08,일반
16,105,8,2024-09-22,관리자
31,32,7,2024-02-10,일반
159,13,8,2024-10-10,관리자
129,93,8,2024-05-14,일반
116,41,10,2024-10-30,관리자
70,78,9,2025-01-07,관리자
171,34,7,2023-10-09,리더
175,96,5,2024-08-05,리더
46,118,6,2023-09-29,관리자
67,63,10,2024-04-17,리더
183,113,1,2024-03-02,일반
166,84,7,2023-08-24,관리자
79,2,4,2025-05-14,관리자
187,62,7,2023-11-26,일반
178,120,9,2023-10-05,관리자
57,87,3,2025-01-30,일반
153,72,3,2023-11-14,리더
83,111,10,2024-08-11,일반
69,63,6,2024-09-20,리더
125,108,3,2023-09-10,관리자
17,100,1,2023-08-14,일반
149,56,10,2023-08-31,리더
94,101,5,2023-06-06,리더
66,100,7,2023-12-08,리더
61,96,10,2025-01-05,리더
85,24,6,2024-01-02,리더
68,80,5,2024-05-03,관리자
126,109,6,2025-01-07,일반
133,10,6,2024-03-20,일반
10,15,7,2025-05-23,관리자
19,32,4,2024-08-31,관리자
56,15,9,2024-12-02,관리자
76,68,7,2024-07-22,관리자
151,91,3,2024-07-10,관리자
105,80,3,2024-10-11,리더
136,43,8,2024-12-05,일반
138,40,10,2024-11-18,일반
165,26,7,2023-07-20,리더
77,100,4,2025-04-05,리더
80,118,9,2024-03-03,리더
198,30,9,2025-02-15,리더
39,99,3,2023-06-08,관리자
25,70,10,2023-10-18,일반
123,120,7,2023-10-22,일반
196,80,6,2025-02-04,관리자
30,59,4,2024-12-30,리더
20,108,6,2025-05-12,관리자
144,12,3,2023-09-05,일반
87,40,10,2023-07-02,관리자
115,111,5,2023-10-09,관리자
174,99,10,2023-09-16,리더
6,22,1,2024-01-20,관리자
127,60,6,2024-11-01,관리자
118,91,1,2023-12-04,리더
74,104,2,2024-01-31,리더
141,56,10,2024-10-07,일반
99,50,8,2024-04-30,일반
173,11,3,2023-07-13,리더
97,94,10,2024-07-02,일반
170,81,7,2024-10-26,일반
98,60,4,2023-08-19,일반
32,80,1,2024-03-21,일반
13,71,8,2025-02-11,일반
36,16,10,2024-02-09,리더
120,29,7,2025-02-02,관리자
43,6,8,2024-09-02,리더
190,87,1,2025-04-05,일반
91,45,1,2025-02-05,리더
137,40,7,2024-01-11,일반
52,2,9,2023-12-31,일반
128,86,4,2023-11-21,리더
163,97,7,2024-08-22,리더
42,27,5,2025-03-21,일반
119,61,7,2024-03-23,관리자
114,78,6,2024-03-07,일반
27,97,7,2025-02-21,일반
140,114,6,2024-11-22,관리자
101,110,7,2024-04-11,리더
112,107,2,2024-06-23,관리자
3,36,8,2024-12-08,관리자
78,29,5,2024-09-19,리더
47,10,7,2023-07-20,관리자
188,35,9,2025-05-06,리더
192,96,10,2025-04-18,리더
86,30,4,2023-12-22,리더
162,12,10,2024-03-07,관리자
37,57,10,2024-09-23,관리자
191,120,8,2024-09-20,리더
62,77,7,2025-05-28,관리자
23,48,8,2024-06-17,리더
142,99,1,2024-12-26,일반
102,83,3,2023-08-21,리더
34,92,3,2024-01-28,리더
12,36,6,2023-07-25,관리자
195,53,8,2025-02-25,리더
160,95,5,2024-10-18,관리자
7,114,9,2024-07-05,리더
28,26,8,2024-02-11,일반
121,111,5,2023-11-22,일반
5,120,8,2024-11-10,리더
33,95,5,2023-10-25,리더
143,7,9,2024-05-24,관리자
146,30,9,2023-12-28,관리자
110,9,3,2024-08-20,리더
145,26,9,2024-07-01,일반
11,47,3,2024-01-10,일반
63,42,9,2023-07-20,관리자
113,23,10,2024-05-22,리더
147,57,10,2024-12-12,관리자
167,15,9,2024-10-16,관리자
1,48,2,2023-09-21,관리자
199,52,2,2025-03-21,일반
154,49,5,2023-10-17,리더
71,103,6,2024-09-11,관리자
124,55,8,2023-11-13,관리자
65,62,4,2025-03-28,리더
45,94,3,2024-05-11,리더
164,90,9,2025-05-20,일반
29,69,2,2025-03-17,관리자
41,75,10,2023-06-07,관리자
109,94,1,2023-07-05,일반
156,37,3,2023-10-09,일반
157,35,2,2025-03-02,리더
26,106,9,2023-07-03,리더
24,13,2,2023-09-16,리더
185,102,6,2024-11-02,관리자
148,8,1,2023-12-26,일반
82,64,1,2024-11-22,리더
40,28,1,2025-03-25,리더
169,60,8,2025-03-28,리더
48,117,7,2024-06-20,일반
95,88,2,2024-05-16,리더
155,27,9,2025-03-27,관리자
44,37,3,2025-04-10,일반
139,99,10,2023-06-27,리더
4,19,2,2024-12-24,일반
106,33,1,2023-11-06,일반
54,46,9,2025-05-29,관리자
134,31,1,2024-07-15,리더
