market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification
3,단양군 축산시장,충청남도 삼척시 봉은사로 244,소매시장,매일,전북,2018,중형,016-290-4304,True
44,태안군 축산시장,세종특별자치시 남구 백제고분로 539-88,도매시장,평일만,전남,2019,대형,053-143-3796,False
36,동해시 축산시장,세종특별자치시 용산구 석촌호수6길 482 (재호김이읍),소매시장,매일,경남,1960,대형,033-823-2690,True
24,하남시 축산시장,충청북도 예산군 테헤란691로 760,직거래장,주3회,경기,2013,중형,010-1902-5594,True
41,의정부시 축산시장,인천광역시 성북구 언주가 125,소매시장,평일만,경남,1994,중형,031-559-8850,True
11,용인시 기흥구 축산시장,울산광역시 동작구 압구정로 780 (수민지동),소매시장,주3회,서울,2007,대형,055-915-6433,True
23,용인시 축산시장,제주특별자치도 괴산군 서초대7로 827,도매시장,주3회,경기,2000,소형,064-786-7910,True
19,서산시 축산시장,경기도 횡성군 삼성로 73,소매시장,주말만,경북,1967,대형,064-789-5266,False
50,부천시 소사구 축산시장,전라남도 수원시 권선구 선릉358거리 976 (옥순오조면),소매시장,주말만,강원,1987,중형,019-640-5492,True
21,동두천시 축산시장,인천광역시 강서구 테헤란195길 400-47 (준서김마을),소매시장,주3회,전남,1950,소형,033-755-5900,False
8,고양시 일산서구 축산시장,광주광역시 종로구 영동대399길 295-22,도매시장,평일만,충남,1971,중형,064-702-5696,True
43,안양시 축산시장,경상남도 양구군 강남대9거리 103-30,도매시장,주말만,강원,1969,소형,033-044-6041,False
15,천안시 동남구 축산시장,충청북도 예산군 도산대04로 182 (상호조최동),도매시장,평일만,경남,1960,대형,011-471-8611,True
29,보은군 축산시장,충청남도 충주시 가락6로 713 (지우손면),도매시장,주3회,강원,2006,대형,017-258-1417,True
39,연천군 축산시장,인천광역시 관악구 언주길 142-96,직거래장,매일,전북,2010,중형,051-230-8302,True
