market_id,market_name,region,location,market_type,operating_days
1,태안군 축산시장,전북,충청북도 계룡시 선릉766길 513-91,소매시장,주3회
2,속초시 축산시장,경기,제주특별자치도 안산시 상록구 봉은사로 83-35,직거래장,주말만
3,단양군 축산시장,전북,충청남도 삼척시 봉은사로 244,소매시장,매일
4,남양주시 축산시장,경기,대전광역시 동구 논현8가 680-44,직거래장,주3회
5,수원시 팔달구 축산시장,강원,광주광역시 종로구 학동길 205 (미경이이마을),직거래장,매일
6,부천시 축산시장,전남,대전광역시 용산구 서초중앙가 462 (춘자김동),도매시장,주3회
7,안산시 단원구 축산시장,경기,인천광역시 동구 백제고분길 712 (수진황리),소매시장,평일만
8,고양시 일산서구 축산시장,충남,광주광역시 종로구 영동대399길 295-22,도매시장,평일만
9,용인시 수지구 축산시장,경기,경기도 고양시 덕양구 서초중앙로 621-17,소매시장,매일
10,안산시 축산시장,강원,인천광역시 성북구 논현28가 675 (영호엄김리),직거래장,주말만
11,용인시 기흥구 축산시장,서울,울산광역시 동작구 압구정로 780 (수민지동),소매시장,주3회
12,안양시 만안구 축산시장,제주,세종특별자치시 성북구 반포대로 536,소매시장,매일
13,용인시 기흥구 축산시장,전북,충청북도 용인시 백제고분891거리 613 (순옥이최동),도매시장,매일
14,화성시 축산시장,충북,세종특별자치시 양천구 역삼205가 629-23,도매시장,주3회
15,천안시 동남구 축산시장,경남,충청북도 예산군 도산대04로 182 (상호조최동),도매시장,평일만
16,단양군 축산시장,제주,경기도 안양시 만안구 강남대85로 506 (보람박오동),소매시장,주3회
17,금산군 축산시장,전북,충청북도 강릉시 언주가 248-71 (민서백이마을),소매시장,평일만
18,청주시 상당구 축산시장,경기,인천광역시 광진구 삼성1가 123-14 (미영이오마을),도매시장,매일
19,서산시 축산시장,경북,경기도 횡성군 삼성로 73,소매시장,주말만
20,오산시 축산시장,충남,충청남도 부여군 잠실로 지하710 (정수이면),소매시장,주말만
21,동두천시 축산시장,전남,인천광역시 강서구 테헤란195길 400-47 (준서김마을),소매시장,주3회
22,화천군 축산시장,제주,서울특별시 서구 서초대7거리 881,소매시장,주말만
23,용인시 축산시장,경기,제주특별자치도 괴산군 서초대7로 827,도매시장,주3회
24,하남시 축산시장,경기,충청북도 예산군 테헤란691로 760,직거래장,주3회
25,파주시 축산시장,충북,충청남도 부천시 소사구 선릉034길 267,소매시장,매일
26,가평군 축산시장,전남,대구광역시 성북구 오금22로 337-65,직거래장,주말만
27,양구군 축산시장,전북,경상북도 삼척시 학동606거리 589-93,도매시장,매일
28,금산군 축산시장,서울,대구광역시 서구 압구정길 137,소매시장,주말만
29,보은군 축산시장,강원,충청남도 충주시 가락6로 713 (지우손면),도매시장,주3회
30,양평군 축산시장,서울,울산광역시 구로구 역삼7길 768-93,직거래장,주3회
31,청주시 서원구 축산시장,강원,충청남도 용인시 기흥구 서초중앙로 지하23,도매시장,주말만
32,영동군 축산시장,제주,경기도 논산시 가락로 953-24,도매시장,매일
33,홍천군 축산시장,경기,강원도 군포시 삼성293로 651 (현주이박읍),도매시장,평일만
34,광주시 축산시장,경북,경상북도 안양시 개포거리 94,소매시장,주말만
35,수원시 축산시장,서울,전라북도 춘천시 학동로 900-76,도매시장,주말만
36,동해시 축산시장,경남,세종특별자치시 용산구 석촌호수6길 482 (재호김이읍),소매시장,매일
37,증평군 축산시장,전남,부산광역시 영등포구 테헤란60가 192,도매시장,주말만
38,이천시 축산시장,충남,전라북도 용인시 기흥구 백제고분32로 431-36,소매시장,주말만
39,연천군 축산시장,전북,인천광역시 관악구 언주길 142-96,직거래장,매일
40,고양시 덕양구 축산시장,충남,경상북도 계룡시 언주50가 166 (은지김김동),직거래장,주3회
41,의정부시 축산시장,경남,인천광역시 성북구 언주가 125,소매시장,평일만
42,용인시 처인구 축산시장,전남,강원도 부천시 소사구 학동길 지하929 (상현홍배리),도매시장,평일만
43,안양시 축산시장,강원,경상남도 양구군 강남대9거리 103-30,도매시장,주말만
44,태안군 축산시장,전남,세종특별자치시 남구 백제고분로 539-88,도매시장,평일만
45,용인시 처인구 축산시장,제주,광주광역시 용산구 오금24길 551,소매시장,주3회
46,부천시 오정구 축산시장,전북,부산광역시 종로구 학동60로 210 (아름오읍),직거래장,평일만
47,천안시 동남구 축산시장,경북,광주광역시 마포구 반포대길 487 (지민황마을),직거래장,매일
48,부천시 오정구 축산시장,전북,강원도 강릉시 백제고분로 956-52,소매시장,주3회
49,안산시 단원구 축산시장,전남,전라북도 홍천군 언주로 279-46 (정자강오마을),도매시장,평일만
50,부천시 소사구 축산시장,강원,전라남도 수원시 권선구 선릉358거리 976 (옥순오조면),소매시장,주말만
