market_id,market_name,region,established_year,market_size,contact_phone,certification
1,태안군 축산시장,전북,1961,대형,063-061-4308,True
2,속초시 축산시장,경기,1978,소형,055-204-4790,True
3,단양군 축산시장,전북,2018,중형,016-290-4304,True
4,남양주시 축산시장,경기,1993,대형,041-886-0872,True
5,수원시 팔달구 축산시장,강원,1991,대형,043-248-9933,True
6,부천시 축산시장,전남,1964,대형,051-660-4851,True
7,안산시 단원구 축산시장,경기,1980,소형,064-702-2547,True
8,고양시 일산서구 축산시장,충남,1971,중형,064-702-5696,True
9,용인시 수지구 축산시장,경기,1972,중형,053-509-6277,True
10,안산시 축산시장,강원,1999,중형,018-896-3348,True
11,용인시 기흥구 축산시장,서울,2007,대형,055-915-6433,True
12,안양시 만안구 축산시장,제주,1991,대형,044-255-9915,True
13,용인시 기흥구 축산시장,전북,1959,중형,061-721-4670,True
14,화성시 축산시장,충북,2016,대형,031-275-8733,False
15,천안시 동남구 축산시장,경남,1960,대형,011-471-8611,True
16,단양군 축산시장,제주,1967,중형,052-037-0888,True
17,금산군 축산시장,전북,1989,중형,019-197-5651,True
18,청주시 상당구 축산시장,경기,1989,대형,043-621-6135,True
19,서산시 축산시장,경북,1967,대형,064-789-5266,False
20,오산시 축산시장,충남,1989,대형,016-103-8012,True
21,동두천시 축산시장,전남,1950,소형,033-755-5900,False
22,화천군 축산시장,제주,1965,대형,063-228-6197,True
23,용인시 축산시장,경기,2000,소형,064-786-7910,True
24,하남시 축산시장,경기,2013,중형,010-1902-5594,True
25,파주시 축산시장,충북,1973,대형,010-2773-8803,False
26,가평군 축산시장,전남,2015,대형,017-799-5535,True
27,양구군 축산시장,전북,1969,중형,043-715-4309,True
28,금산군 축산시장,서울,2002,중형,051-815-4428,True
29,보은군 축산시장,강원,2006,대형,017-258-1417,True
30,양평군 축산시장,서울,1971,중형,043-988-1393,False
31,청주시 서원구 축산시장,강원,1973,중형,044-552-2563,True
32,영동군 축산시장,제주,2006,소형,031-142-2280,True
33,홍천군 축산시장,경기,2012,중형,042-066-4078,True
34,광주시 축산시장,경북,1950,중형,043-879-5881,False
35,수원시 축산시장,서울,1993,중형,054-699-8774,True
36,동해시 축산시장,경남,1960,대형,033-823-2690,True
37,증평군 축산시장,전남,2007,대형,063-837-9170,False
38,이천시 축산시장,충남,1985,소형,054-235-4337,True
39,연천군 축산시장,전북,2010,중형,051-230-8302,True
40,고양시 덕양구 축산시장,충남,2001,소형,062-029-5162,True
41,의정부시 축산시장,경남,1994,중형,031-559-8850,True
42,용인시 처인구 축산시장,전남,1984,대형,063-956-5490,True
43,안양시 축산시장,강원,1969,소형,033-044-6041,False
44,태안군 축산시장,전남,2019,대형,053-143-3796,False
45,용인시 처인구 축산시장,제주,1965,소형,043-695-8562,True
46,부천시 오정구 축산시장,전북,1965,대형,011-938-3574,True
47,천안시 동남구 축산시장,경북,1989,중형,064-765-9946,False
48,부천시 오정구 축산시장,전북,2010,중형,055-533-2912,True
49,안산시 단원구 축산시장,전남,1997,중형,055-347-7819,True
50,부천시 소사구 축산시장,강원,1987,중형,019-640-5492,True
