assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type
94,11,3,2025-05-16,True,15,특별분석
42,9,26,2025-05-19,True,72,주간분석
59,22,10,2024-09-30,True,45,월간분석
49,5,29,2025-04-27,True,99,특별분석
102,5,24,2024-09-21,True,0,월간분석
58,34,7,2024-09-01,True,88,분기분석
76,18,19,2024-08-21,True,97,주간분석
33,49,2,2024-12-24,False,81,분기분석
113,37,14,2025-03-17,True,38,분기분석
60,9,10,2025-02-10,True,99,특별분석
64,35,15,2024-11-20,True,57,월간분석
106,44,4,2025-03-25,False,62,월간분석
38,11,25,2024-09-19,True,26,분기분석
30,3,8,2024-09-20,True,25,주간분석
116,34,9,2025-01-19,True,45,월간분석
2,50,8,2024-11-12,True,71,분기분석
53,30,30,2025-03-27,False,49,특별분석
22,31,6,2025-03-06,True,49,분기분석
3,14,15,2024-07-14,True,3,특별분석
24,13,9,2025-01-02,True,44,분기분석
104,37,6,2025-02-02,True,84,분기분석
100,22,16,2024-06-10,True,87,특별분석
88,40,25,2024-08-12,True,70,분기분석
109,8,28,2024-12-13,True,0,특별분석
75,14,16,2024-08-13,True,24,주간분석
87,47,2,2024-12-25,True,59,월간분석
83,32,30,2024-10-06,True,21,월간분석
120,50,20,2025-04-22,True,52,월간분석
21,6,19,2024-09-23,False,0,주간분석
61,16,2,2024-12-08,True,42,주간분석
72,22,3,2025-02-26,True,97,특별분석
107,32,11,2024-12-31,True,78,주간분석
15,23,16,2024-07-16,True,89,월간분석
93,28,6,2025-03-22,False,5,월간분석
52,50,9,2024-08-16,True,89,주간분석
103,42,21,2024-08-16,True,66,주간분석
