assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type
1,48,7,2024-11-13,True,41,주간분석
3,14,15,2024-07-14,True,3,특별분석
4,45,22,2024-06-22,True,59,특별분석
5,14,6,2024-07-18,True,62,특별분석
6,33,9,2024-11-05,True,58,특별분석
8,48,18,2024-11-01,True,44,월간분석
9,45,30,2025-01-25,False,76,특별분석
11,35,30,2024-11-15,True,76,주간분석
12,5,11,2025-02-27,True,56,특별분석
13,16,9,2025-05-07,False,25,주간분석
17,45,14,2025-02-09,True,75,주간분석
21,6,19,2024-09-23,False,0,주간분석
22,31,6,2025-03-06,True,49,분기분석
24,13,9,2025-01-02,True,44,분기분석
25,17,8,2024-08-15,True,62,분기분석
26,9,14,2025-05-14,True,71,주간분석
27,10,11,2025-03-05,True,87,분기분석
28,13,24,2025-02-08,True,6,월간분석
29,42,19,2025-03-16,True,40,분기분석
31,7,16,2025-03-18,True,57,특별분석
32,17,18,2025-01-26,True,97,주간분석
33,49,2,2024-12-24,False,81,분기분석
35,38,8,2024-09-15,True,27,주간분석
36,42,13,2024-07-08,True,66,특별분석
39,1,6,2024-06-14,True,54,주간분석
42,9,26,2025-05-19,True,72,주간분석
43,7,18,2024-12-06,True,29,주간분석
45,32,25,2025-02-20,True,3,특별분석
46,42,30,2025-04-10,True,100,월간분석
49,5,29,2025-04-27,True,99,특별분석
50,18,4,2024-09-16,True,45,주간분석
55,32,18,2025-01-12,True,81,월간분석
56,48,22,2025-05-10,True,68,특별분석
57,25,12,2024-07-07,False,7,월간분석
58,34,7,2024-09-01,True,88,분기분석
60,9,10,2025-02-10,True,99,특별분석
61,16,2,2024-12-08,True,42,주간분석
64,35,15,2024-11-20,True,57,월간분석
65,6,21,2024-12-09,True,37,주간분석
69,40,1,2024-12-05,False,28,특별분석
70,45,16,2025-02-21,True,20,분기분석
75,14,16,2024-08-13,True,24,주간분석
76,18,19,2024-08-21,True,97,주간분석
77,9,12,2024-07-03,True,38,월간분석
78,28,21,2025-04-25,True,66,분기분석
82,34,23,2025-04-25,True,97,특별분석
83,32,30,2024-10-06,True,21,월간분석
86,42,3,2025-03-07,True,94,월간분석
87,47,2,2024-12-25,True,59,월간분석
88,40,25,2024-08-12,True,70,분기분석
89,25,19,2024-06-16,True,34,분기분석
93,28,6,2025-03-22,False,5,월간분석
95,28,28,2024-12-09,True,46,분기분석
96,40,13,2024-09-04,True,35,주간분석
98,32,10,2024-10-12,True,3,월간분석
101,13,19,2024-09-20,True,18,주간분석
102,5,24,2024-09-21,True,0,월간분석
103,42,21,2024-08-16,True,66,주간분석
105,5,15,2025-03-23,True,73,분기분석
107,32,11,2024-12-31,True,78,주간분석
108,4,5,2024-12-13,False,31,특별분석
112,28,10,2024-10-04,False,31,분기분석
115,38,29,2025-02-03,True,3,분기분석
116,34,9,2025-01-19,True,45,월간분석
117,18,3,2024-09-18,False,6,분기분석
118,4,21,2024-10-27,True,6,특별분석
119,18,21,2024-10-03,True,25,주간분석
