assignment_id,livestock_mkt,analysts_anal,prediction_accuracy,assignment_date
1,48,7,41,2024-11-13
2,50,8,71,2024-11-12
3,14,15,3,2024-07-14
4,45,22,59,2024-06-22
5,14,6,62,2024-07-18
6,33,9,58,2024-11-05
7,36,4,57,2025-01-24
8,48,18,44,2024-11-01
9,45,30,76,2025-01-25
10,30,24,12,2024-11-17
11,35,30,76,2024-11-15
12,5,11,56,2025-02-27
13,16,9,25,2025-05-07
14,22,4,41,2024-09-23
15,23,16,89,2024-07-16
16,29,24,91,2025-03-12
17,45,14,75,2025-02-09
18,12,3,32,2024-10-25
19,50,19,26,2025-01-09
20,21,3,62,2024-10-12
21,6,19,0,2024-09-23
22,31,6,49,2025-03-06
23,43,1,36,2025-02-06
24,13,9,44,2025-01-02
25,17,8,62,2024-08-15
26,9,14,71,2025-05-14
27,10,11,87,2025-03-05
28,13,24,6,2025-02-08
29,42,19,40,2025-03-16
30,3,8,25,2024-09-20
31,7,16,57,2025-03-18
32,17,18,97,2025-01-26
33,49,2,81,2024-12-24
34,8,15,89,2024-11-16
35,38,8,27,2024-09-15
36,42,13,66,2024-07-08
37,23,12,75,2025-03-31
38,11,25,26,2024-09-19
39,1,6,54,2024-06-14
40,15,1,52,2025-01-08
41,30,7,95,2024-10-04
42,9,26,72,2025-05-19
43,7,18,29,2024-12-06
44,11,8,30,2025-01-29
45,32,25,3,2025-02-20
46,42,30,100,2025-04-10
47,21,21,59,2024-06-27
48,43,11,8,2024-11-05
49,5,29,99,2025-04-27
50,18,4,45,2024-09-16
51,37,6,76,2024-09-14
52,50,9,89,2024-08-16
53,30,30,49,2025-03-27
54,36,9,82,2025-03-09
55,32,18,81,2025-01-12
56,48,22,68,2025-05-10
57,25,12,7,2024-07-07
58,34,7,88,2024-09-01
59,22,10,45,2024-09-30
60,9,10,99,2025-02-10
61,16,2,42,2024-12-08
62,29,14,12,2024-12-29
63,37,18,36,2025-04-30
64,35,15,57,2024-11-20
65,6,21,37,2024-12-09
66,43,9,85,2024-08-07
67,29,27,51,2024-11-18
68,19,7,78,2025-04-28
69,40,1,28,2024-12-05
70,45,16,20,2025-02-21
71,36,9,33,2024-07-28
72,22,3,97,2025-02-26
73,24,9,8,2024-07-16
74,22,18,59,2025-02-28
75,14,16,24,2024-08-13
76,18,19,97,2024-08-21
77,9,12,38,2024-07-03
78,28,21,66,2025-04-25
79,44,29,82,2024-06-16
80,15,30,37,2024-08-31
81,24,1,50,2024-08-20
82,34,23,97,2025-04-25
83,32,30,21,2024-10-06
84,23,20,73,2024-09-04
85,15,26,33,2024-10-30
86,42,3,94,2025-03-07
87,47,2,59,2024-12-25
88,40,25,70,2024-08-12
89,25,19,34,2024-06-16
90,36,26,82,2024-10-16
91,23,10,11,2024-11-11
92,3,8,91,2025-01-04
93,28,6,5,2025-03-22
94,11,3,15,2025-05-16
95,28,28,46,2024-12-09
96,40,13,35,2024-09-04
97,39,16,77,2025-05-05
98,32,10,3,2024-10-12
99,12,15,85,2025-03-15
100,22,16,87,2024-06-10
101,13,19,18,2024-09-20
102,5,24,0,2024-09-21
103,42,21,66,2024-08-16
104,37,6,84,2025-02-02
105,5,15,73,2025-03-23
106,44,4,62,2025-03-25
107,32,11,78,2024-12-31
108,4,5,31,2024-12-13
109,8,28,0,2024-12-13
110,30,28,65,2024-06-21
111,3,13,15,2024-10-04
112,28,10,31,2024-10-04
113,37,14,38,2025-03-17
114,15,13,94,2025-01-03
115,38,29,3,2025-02-03
116,34,9,45,2025-01-19
117,18,3,6,2024-09-18
118,4,21,6,2024-10-27
119,18,21,25,2024-10-03
120,50,20,52,2025-04-22
