assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type
45,32,25,2025-02-20,True,3,특별분석
48,43,11,2024-11-05,False,8,월간분석
5,14,6,2024-07-18,True,62,특별분석
56,48,22,2025-05-10,True,68,특별분석
27,10,11,2025-03-05,True,87,분기분석
65,6,21,2024-12-09,True,37,주간분석
74,22,18,2025-02-28,True,59,분기분석
11,35,30,2024-11-15,True,76,주간분석
41,30,7,2024-10-04,True,95,분기분석
108,4,5,2024-12-13,False,31,특별분석
19,50,19,2025-01-09,True,26,분기분석
63,37,18,2025-04-30,False,36,주간분석
12,5,11,2025-02-27,True,56,특별분석
37,23,12,2025-03-31,True,75,월간분석
90,36,26,2024-10-16,True,82,특별분석
92,3,8,2025-01-04,True,91,주간분석
110,30,28,2024-06-21,False,65,월간분석
1,48,7,2024-11-13,True,41,주간분석
89,25,19,2024-06-16,True,34,분기분석
105,5,15,2025-03-23,True,73,분기분석
66,43,9,2024-08-07,True,85,월간분석
46,42,30,2025-04-10,True,100,월간분석
32,17,18,2025-01-26,True,97,주간분석
71,36,9,2024-07-28,True,33,특별분석
43,7,18,2024-12-06,True,29,주간분석
13,16,9,2025-05-07,False,25,주간분석
16,29,24,2025-03-12,True,91,주간분석
115,38,29,2025-02-03,True,3,분기분석
77,9,12,2024-07-03,True,38,월간분석
98,32,10,2024-10-12,True,3,월간분석
25,17,8,2024-08-15,True,62,분기분석
79,44,29,2024-06-16,True,82,주간분석
23,43,1,2025-02-06,True,36,월간분석
97,39,16,2025-05-05,True,77,주간분석
57,25,12,2024-07-07,False,7,월간분석
111,3,13,2024-10-04,True,15,특별분석
31,7,16,2025-03-18,True,57,특별분석
54,36,9,2025-03-09,True,82,특별분석
119,18,21,2024-10-03,True,25,주간분석
10,30,24,2024-11-17,False,12,분기분석
34,8,15,2024-11-16,True,89,특별분석
26,9,14,2025-05-14,True,71,주간분석
70,45,16,2025-02-21,True,20,분기분석
29,42,19,2025-03-16,True,40,분기분석
99,12,15,2025-03-15,True,85,주간분석
86,42,3,2025-03-07,True,94,월간분석
6,33,9,2024-11-05,True,58,특별분석
91,23,10,2024-11-11,False,11,분기분석
