membership_id,contact_id,group_id,joined_date,role
1,48,2,2023-09-21,관리자
2,54,5,2024-09-29,리더
3,36,8,2024-12-08,관리자
4,19,2,2024-12-24,일반
5,120,8,2024-11-10,리더
6,22,1,2024-01-20,관리자
7,114,9,2024-07-05,리더
8,85,7,2024-08-11,관리자
9,37,4,2025-02-04,일반
10,15,7,2025-05-23,관리자
11,47,3,2024-01-10,일반
12,36,6,2023-07-25,관리자
13,71,8,2025-02-11,일반
14,58,8,2024-03-03,리더
15,81,3,2023-10-10,리더
16,105,8,2024-09-22,관리자
17,100,1,2023-08-14,일반
18,2,1,2023-12-12,일반
19,32,4,2024-08-31,관리자
20,108,6,2025-05-12,관리자
21,26,8,2024-09-07,일반
22,24,2,2025-04-07,일반
23,48,8,2024-06-17,리더
24,13,2,2023-09-16,리더
25,70,10,2023-10-18,일반
26,106,9,2023-07-03,리더
27,97,7,2025-02-21,일반
28,26,8,2024-02-11,일반
29,69,2,2025-03-17,관리자
30,59,4,2024-12-30,리더
31,32,7,2024-02-10,일반
32,80,1,2024-03-21,일반
33,95,5,2023-10-25,리더
34,92,3,2024-01-28,리더
35,40,3,2024-10-08,일반
36,16,10,2024-02-09,리더
37,57,10,2024-09-23,관리자
38,112,8,2025-05-01,일반
39,99,3,2023-06-08,관리자
40,28,1,2025-03-25,리더
41,75,10,2023-06-07,관리자
42,27,5,2025-03-21,일반
43,6,8,2024-09-02,리더
44,37,3,2025-04-10,일반
45,94,3,2024-05-11,리더
46,118,6,2023-09-29,관리자
47,10,7,2023-07-20,관리자
48,117,7,2024-06-20,일반
49,39,9,2024-12-13,리더
50,64,6,2023-08-31,리더
51,87,5,2023-10-23,관리자
52,2,9,2023-12-31,일반
53,86,10,2024-03-08,관리자
54,46,9,2025-05-29,관리자
55,5,10,2024-07-30,일반
56,15,9,2024-12-02,관리자
57,87,3,2025-01-30,일반
58,70,3,2025-05-01,리더
59,71,7,2023-06-28,리더
60,113,8,2025-01-25,관리자
61,96,10,2025-01-05,리더
62,77,7,2025-05-28,관리자
63,42,9,2023-07-20,관리자
64,102,9,2023-06-12,관리자
65,62,4,2025-03-28,리더
66,100,7,2023-12-08,리더
67,63,10,2024-04-17,리더
68,80,5,2024-05-03,관리자
69,63,6,2024-09-20,리더
70,78,9,2025-01-07,관리자
71,103,6,2024-09-11,관리자
72,20,1,2024-11-20,리더
73,72,7,2025-01-19,관리자
74,104,2,2024-01-31,리더
75,116,1,2024-12-06,관리자
76,68,7,2024-07-22,관리자
77,100,4,2025-04-05,리더
78,29,5,2024-09-19,리더
79,2,4,2025-05-14,관리자
80,118,9,2024-03-03,리더
81,119,5,2023-07-31,관리자
82,64,1,2024-11-22,리더
83,111,10,2024-08-11,일반
84,43,9,2024-05-20,관리자
85,24,6,2024-01-02,리더
86,30,4,2023-12-22,리더
87,40,10,2023-07-02,관리자
88,65,2,2024-09-27,리더
89,33,4,2025-03-24,리더
90,26,7,2023-07-13,일반
91,45,1,2025-02-05,리더
92,24,10,2023-12-23,관리자
93,41,5,2023-10-02,일반
94,101,5,2023-06-06,리더
95,88,2,2024-05-16,리더
96,117,4,2025-02-08,일반
97,94,10,2024-07-02,일반
98,60,4,2023-08-19,일반
99,50,8,2024-04-30,일반
100,19,8,2024-06-11,관리자
101,110,7,2024-04-11,리더
102,83,3,2023-08-21,리더
103,75,6,2024-12-13,리더
104,67,1,2024-05-11,일반
105,80,3,2024-10-11,리더
106,33,1,2023-11-06,일반
107,40,7,2023-06-11,관리자
108,53,3,2024-02-23,관리자
109,94,1,2023-07-05,일반
110,9,3,2024-08-20,리더
111,14,10,2025-02-15,일반
112,107,2,2024-06-23,관리자
113,23,10,2024-05-22,리더
114,78,6,2024-03-07,일반
115,111,5,2023-10-09,관리자
116,41,10,2024-10-30,관리자
117,40,4,2024-09-12,관리자
118,91,1,2023-12-04,리더
119,61,7,2024-03-23,관리자
120,29,7,2025-02-02,관리자
121,111,5,2023-11-22,일반
122,103,3,2024-12-21,관리자
