group_id,group_name,description,created_at,is_favorite
1,헬스장,Facilis a nemo eveniet. Sint aliquam molestiae.,2025-01-18,0
2,헬스장,Cupiditate error ducimus dolores ut ipsum autem.,2024-09-29,0
3,동네이웃,Repudiandae adipisci ipsam beatae doloribus.,2025-03-22,0
4,헬스장,Enim porro aut ducimus. Saepe id id quasi maxime laudantium accusantium. Nemo dolor atque nulla.,2023-08-28,0
5,고등학교,Asperiores atque repellendus consequatur amet vel incidunt. Iste voluptatum impedit officiis.,2025-02-11,0
6,고등학교,At soluta in voluptatibus ratione delectus rem. Ipsam soluta iure impedit.,2024-07-04,0
7,헬스장,Tenetur officia totam sunt harum corporis. Delectus blanditiis facilis ad illo dignissimos.,2025-03-18,0
8,고등학교,Perferendis at alias numquam ea. Nesciunt veritatis nisi animi illum.,2023-10-29,0
9,헬스장,Dolorum veritatis assumenda numquam doloremque eos nesciunt. Deleniti tempora omnis ex sed.,2025-04-26,0
10,직장동료,Soluta blanditiis quisquam ut suscipit illo consequuntur. Dolorum aperiam corrupti quam soluta.,2024-12-07,1
