market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification
1,태안군 축산시장,충청북도 계룡시 선릉766길 513-91,소매시장,주3회,전북,1900-1999,대형,063-061-4308,True
2,속초시 축산시장,제주특별자치도 안산시 상록구 봉은사로 83-35,직거래장,주말만,경기,1900-1999,소형,055-204-4790,True
3,단양군 축산시장,충청남도 삼척시 봉은사로 244,소매시장,매일,전북,2000-2099,중형,016-290-4304,True
4,남양주시 축산시장,대전광역시 동구 논현8가 680-44,직거래장,주3회,경기,1900-1999,대형,041-886-0872,True
5,수원시 팔달구 축산시장,광주광역시 종로구 학동길 205 (미경이이마을),직거래장,매일,강원,1900-1999,대형,043-248-9933,True
6,부천시 축산시장,대전광역시 용산구 서초중앙가 462 (춘자김동),도매시장,주3회,전남,1900-1999,대형,051-660-4851,True
7,안산시 단원구 축산시장,인천광역시 동구 백제고분길 712 (수진황리),소매시장,평일만,경기,1900-1999,소형,064-702-2547,True
8,고양시 일산서구 축산시장,광주광역시 종로구 영동대399길 295-22,도매시장,평일만,충남,1900-1999,중형,064-702-5696,True
9,용인시 수지구 축산시장,경기도 고양시 덕양구 서초중앙로 621-17,소매시장,매일,경기,1900-1999,중형,053-509-6277,True
10,안산시 축산시장,인천광역시 성북구 논현28가 675 (영호엄김리),직거래장,주말만,강원,1900-1999,중형,018-896-3348,True
11,용인시 기흥구 축산시장,울산광역시 동작구 압구정로 780 (수민지동),소매시장,주3회,서울,2000-2099,대형,055-915-6433,True
12,안양시 만안구 축산시장,세종특별자치시 성북구 반포대로 536,소매시장,매일,제주,1900-1999,대형,044-255-9915,True
13,용인시 기흥구 축산시장,충청북도 용인시 백제고분891거리 613 (순옥이최동),도매시장,매일,전북,1900-1999,중형,061-721-4670,True
14,화성시 축산시장,세종특별자치시 양천구 역삼205가 629-23,도매시장,주3회,충북,2000-2099,대형,031-275-8733,False
15,천안시 동남구 축산시장,충청북도 예산군 도산대04로 182 (상호조최동),도매시장,평일만,경남,1900-1999,대형,011-471-8611,True
16,단양군 축산시장,경기도 안양시 만안구 강남대85로 506 (보람박오동),소매시장,주3회,제주,1900-1999,중형,052-037-0888,True
17,금산군 축산시장,충청북도 강릉시 언주가 248-71 (민서백이마을),소매시장,평일만,전북,1900-1999,중형,019-197-5651,True
18,청주시 상당구 축산시장,인천광역시 광진구 삼성1가 123-14 (미영이오마을),도매시장,매일,경기,1900-1999,대형,043-621-6135,True
19,서산시 축산시장,경기도 횡성군 삼성로 73,소매시장,주말만,경북,1900-1999,대형,064-789-5266,False
20,오산시 축산시장,충청남도 부여군 잠실로 지하710 (정수이면),소매시장,주말만,충남,1900-1999,대형,016-103-8012,True
21,동두천시 축산시장,인천광역시 강서구 테헤란195길 400-47 (준서김마을),소매시장,주3회,전남,1900-1999,소형,033-755-5900,False
22,화천군 축산시장,서울특별시 서구 서초대7거리 881,소매시장,주말만,제주,1900-1999,대형,063-228-6197,True
23,용인시 축산시장,제주특별자치도 괴산군 서초대7로 827,도매시장,주3회,경기,2000-2099,소형,064-786-7910,True
24,하남시 축산시장,충청북도 예산군 테헤란691로 760,직거래장,주3회,경기,2000-2099,중형,010-1902-5594,True
25,파주시 축산시장,충청남도 부천시 소사구 선릉034길 267,소매시장,매일,충북,1900-1999,대형,010-2773-8803,False
26,가평군 축산시장,대구광역시 성북구 오금22로 337-65,직거래장,주말만,전남,2000-2099,대형,017-799-5535,True
27,양구군 축산시장,경상북도 삼척시 학동606거리 589-93,도매시장,매일,전북,1900-1999,중형,043-715-4309,True
28,금산군 축산시장,대구광역시 서구 압구정길 137,소매시장,주말만,서울,2000-2099,중형,051-815-4428,True
29,보은군 축산시장,충청남도 충주시 가락6로 713 (지우손면),도매시장,주3회,강원,2000-2099,대형,017-258-1417,True
30,양평군 축산시장,울산광역시 구로구 역삼7길 768-93,직거래장,주3회,서울,1900-1999,중형,043-988-1393,False
31,청주시 서원구 축산시장,충청남도 용인시 기흥구 서초중앙로 지하23,도매시장,주말만,강원,1900-1999,중형,044-552-2563,True
32,영동군 축산시장,경기도 논산시 가락로 953-24,도매시장,매일,제주,2000-2099,소형,031-142-2280,True
33,홍천군 축산시장,강원도 군포시 삼성293로 651 (현주이박읍),도매시장,평일만,경기,2000-2099,중형,042-066-4078,True
34,광주시 축산시장,경상북도 안양시 개포거리 94,소매시장,주말만,경북,1900-1999,중형,043-879-5881,False
35,수원시 축산시장,전라북도 춘천시 학동로 900-76,도매시장,주말만,서울,1900-1999,중형,054-699-8774,True
36,동해시 축산시장,세종특별자치시 용산구 석촌호수6길 482 (재호김이읍),소매시장,매일,경남,1900-1999,대형,033-823-2690,True
37,증평군 축산시장,부산광역시 영등포구 테헤란60가 192,도매시장,주말만,전남,2000-2099,대형,063-837-9170,False
38,이천시 축산시장,전라북도 용인시 기흥구 백제고분32로 431-36,소매시장,주말만,충남,1900-1999,소형,054-235-4337,True
39,연천군 축산시장,인천광역시 관악구 언주길 142-96,직거래장,매일,전북,2000-2099,중형,051-230-8302,True
40,고양시 덕양구 축산시장,경상북도 계룡시 언주50가 166 (은지김김동),직거래장,주3회,충남,2000-2099,소형,062-029-5162,True
41,의정부시 축산시장,인천광역시 성북구 언주가 125,소매시장,평일만,경남,1900-1999,중형,031-559-8850,True
42,용인시 처인구 축산시장,강원도 부천시 소사구 학동길 지하929 (상현홍배리),도매시장,평일만,전남,1900-1999,대형,063-956-5490,True
43,안양시 축산시장,경상남도 양구군 강남대9거리 103-30,도매시장,주말만,강원,1900-1999,소형,033-044-6041,False
44,태안군 축산시장,세종특별자치시 남구 백제고분로 539-88,도매시장,평일만,전남,2000-2099,대형,053-143-3796,False
45,용인시 처인구 축산시장,광주광역시 용산구 오금24길 551,소매시장,주3회,제주,1900-1999,소형,043-695-8562,True
46,부천시 오정구 축산시장,부산광역시 종로구 학동60로 210 (아름오읍),직거래장,평일만,전북,1900-1999,대형,011-938-3574,True
47,천안시 동남구 축산시장,광주광역시 마포구 반포대길 487 (지민황마을),직거래장,매일,경북,1900-1999,중형,064-765-9946,False
48,부천시 오정구 축산시장,강원도 강릉시 백제고분로 956-52,소매시장,주3회,전북,2000-2099,중형,055-533-2912,True
49,안산시 단원구 축산시장,전라북도 홍천군 언주로 279-46 (정자강오마을),도매시장,평일만,전남,1900-1999,중형,055-347-7819,True
50,부천시 소사구 축산시장,전라남도 수원시 권선구 선릉358거리 976 (옥순오조면),소매시장,주말만,강원,1900-1999,중형,019-640-5492,True
