interest_id,user_id,hobby_id,proficiency_level,interest_score
1,58,9,고급,5
2,8,4,전문가,5
3,21,16,고급,9
4,7,8,고급,3
5,11,9,중급,2
6,57,8,초보,4
7,30,2,고급,8
8,25,8,중급,6
9,60,12,고급,1
10,53,3,고급,7
11,58,4,중급,1
12,2,17,고급,1
13,16,18,전문가,9
14,14,5,고급,5
15,20,4,초보,2
16,56,18,중급,2
17,13,3,중급,3
18,57,17,초보,2
19,11,16,초보,5
20,19,9,전문가,7
21,13,1,고급,8
22,30,12,고급,6
23,8,11,중급,3
24,5,12,고급,10
25,31,9,전문가,7
26,18,11,중급,8
27,27,7,중급,6
28,58,16,중급,3
29,2,10,초보,5
30,12,2,초보,10
31,25,10,고급,5
32,51,10,전문가,8
33,55,16,전문가,3
34,27,13,중급,6
35,50,8,전문가,5
36,53,1,중급,4
37,43,12,중급,1
38,7,12,고급,10
39,14,11,전문가,8
40,4,1,중급,5
41,40,14,전문가,6
42,49,6,전문가,4
43,37,13,고급,3
44,17,15,고급,5
45,52,9,초보,5
46,12,8,고급,6
47,5,7,고급,8
48,6,14,고급,9
49,14,7,중급,8
50,12,10,고급,1
51,45,11,고급,2
52,50,5,고급,4
53,58,18,고급,10
54,13,2,전문가,2
55,1,9,전문가,5
56,10,16,중급,9
57,15,9,초보,7
58,13,16,초보,8
59,8,16,초보,9
60,44,9,고급,8
61,35,2,중급,8
62,38,17,고급,5
63,33,2,고급,7
64,7,10,고급,1
65,51,2,전문가,9
66,38,4,중급,1
67,17,11,고급,10
68,29,14,중급,2
69,25,13,중급,1
70,16,15,전문가,10
71,49,1,고급,2
72,44,14,중급,10
73,48,7,중급,8
74,56,15,전문가,3
75,13,18,초보,6
76,12,11,중급,2
77,40,15,초보,9
78,41,12,고급,8
79,21,15,고급,2
80,22,4,초보,9
81,45,8,중급,10
82,18,17,고급,2
83,24,2,중급,5
84,27,17,중급,9
85,9,18,초보,3
86,51,14,초보,8
87,4,2,초보,1
88,47,9,고급,10
89,23,17,초보,7
90,9,3,전문가,8
91,10,2,초보,6
92,33,10,중급,4
93,4,7,초보,5
94,32,1,고급,1
95,19,13,고급,1
96,20,6,전문가,2
97,2,4,중급,9
98,37,18,초보,9
99,20,18,전문가,4
100,28,14,전문가,5
101,60,11,초보,6
102,36,14,전문가,1
103,43,15,전문가,1
104,34,18,중급,1
105,17,13,중급,6
106,53,15,중급,6
107,17,11,고급,5
108,50,16,초보,7
109,3,16,중급,1
110,25,1,중급,3
111,10,14,중급,5
112,41,8,전문가,4
113,25,2,전문가,3
114,40,17,초보,10
115,39,5,초보,4
116,51,14,고급,9
117,60,4,전문가,10
118,24,17,초보,9
119,39,11,중급,4
120,39,9,전문가,1
121,8,8,중급,5
122,55,10,고급,5
123,29,14,중급,7
124,5,11,고급,7
125,48,18,전문가,3
126,41,14,전문가,9
127,58,17,초보,8
128,13,14,전문가,3
129,47,6,초보,4
130,26,18,중급,6
131,6,12,고급,6
132,23,5,고급,6
133,24,8,전문가,2
134,25,17,초보,2
135,13,7,고급,5
136,14,15,고급,9
137,17,17,고급,1
138,38,2,중급,6
139,2,10,고급,5
140,19,5,고급,3
141,57,7,고급,6
142,32,8,고급,5
143,48,12,초보,1
144,58,6,전문가,2
145,41,5,초보,2
146,29,13,초보,2
147,47,15,고급,10
148,30,10,중급,3
149,6,5,전문가,9
150,41,18,전문가,2
151,6,15,고급,10
152,20,9,중급,6
153,35,1,전문가,6
154,7,5,고급,5
155,15,8,고급,6
156,6,16,초보,1
157,38,14,전문가,3
158,3,8,초보,10
159,13,17,고급,7
160,42,2,초보,2
161,47,13,초보,10
162,22,5,전문가,6
163,8,3,초보,3
164,6,13,중급,4
165,52,4,초보,7
166,51,6,중급,9
167,13,17,고급,6
168,7,11,중급,2
169,4,16,초보,6
170,12,3,중급,3
171,26,14,전문가,6
172,17,6,고급,3
173,37,15,중급,9
174,16,12,중급,6
175,21,7,중급,4
176,26,7,고급,10
177,34,2,중급,6
178,37,18,전문가,1
179,19,14,고급,7
180,43,15,고급,3
