assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type
1,48,7,2024-11-13,True,41,주간분석
2,50,8,2024-11-12,True,71,분기분석
3,14,15,2024-07-14,True,3,특별분석
4,45,22,2024-06-22,True,59,특별분석
5,14,6,2024-07-18,True,62,특별분석
6,33,9,2024-11-05,True,58,특별분석
7,36,4,2025-01-24,True,57,특별분석
8,48,18,2024-11-01,True,44,월간분석
9,45,30,2025-01-25,False,76,특별분석
10,30,24,2024-11-17,False,12,분기분석
11,35,30,2024-11-15,True,76,주간분석
12,5,11,2025-02-27,True,56,특별분석
13,16,9,2025-05-07,False,25,주간분석
14,22,4,2024-09-23,True,41,특별분석
15,23,16,2024-07-16,True,89,월간분석
16,29,24,2025-03-12,True,91,주간분석
17,45,14,2025-02-09,True,75,주간분석
18,12,3,2024-10-25,True,32,주간분석
19,50,19,2025-01-09,True,26,분기분석
20,21,3,2024-10-12,True,62,주간분석
21,6,19,2024-09-23,False,0,주간분석
22,31,6,2025-03-06,True,49,분기분석
23,43,1,2025-02-06,True,36,월간분석
24,13,9,2025-01-02,True,44,분기분석
25,17,8,2024-08-15,True,62,분기분석
26,9,14,2025-05-14,True,71,주간분석
27,10,11,2025-03-05,True,87,분기분석
28,13,24,2025-02-08,True,6,월간분석
29,42,19,2025-03-16,True,40,분기분석
30,3,8,2024-09-20,True,25,주간분석
31,7,16,2025-03-18,True,57,특별분석
32,17,18,2025-01-26,True,97,주간분석
33,49,2,2024-12-24,False,81,분기분석
34,8,15,2024-11-16,True,89,특별분석
35,38,8,2024-09-15,True,27,주간분석
36,42,13,2024-07-08,True,66,특별분석
37,23,12,2025-03-31,True,75,월간분석
38,11,25,2024-09-19,True,26,분기분석
39,1,6,2024-06-14,True,54,주간분석
40,15,1,2025-01-08,True,52,월간분석
41,30,7,2024-10-04,True,95,분기분석
42,9,26,2025-05-19,True,72,주간분석
43,7,18,2024-12-06,True,29,주간분석
44,11,8,2025-01-29,False,30,주간분석
45,32,25,2025-02-20,True,3,특별분석
46,42,30,2025-04-10,True,100,월간분석
47,21,21,2024-06-27,True,59,주간분석
48,43,11,2024-11-05,False,8,월간분석
49,5,29,2025-04-27,True,99,특별분석
50,18,4,2024-09-16,True,45,주간분석
51,37,6,2024-09-14,True,76,특별분석
52,50,9,2024-08-16,True,89,주간분석
53,30,30,2025-03-27,False,49,특별분석
54,36,9,2025-03-09,True,82,특별분석
55,32,18,2025-01-12,True,81,월간분석
56,48,22,2025-05-10,True,68,특별분석
57,25,12,2024-07-07,False,7,월간분석
58,34,7,2024-09-01,True,88,분기분석
59,22,10,2024-09-30,True,45,월간분석
60,9,10,2025-02-10,True,99,특별분석
61,16,2,2024-12-08,True,42,주간분석
62,29,14,2024-12-29,True,12,월간분석
63,37,18,2025-04-30,False,36,주간분석
64,35,15,2024-11-20,True,57,월간분석
65,6,21,2024-12-09,True,37,주간분석
66,43,9,2024-08-07,True,85,월간분석
67,29,27,2024-11-18,True,51,월간분석
68,19,7,2025-04-28,True,78,주간분석
69,40,1,2024-12-05,False,28,특별분석
70,45,16,2025-02-21,True,20,분기분석
71,36,9,2024-07-28,True,33,특별분석
72,22,3,2025-02-26,True,97,특별분석
73,24,9,2024-07-16,True,8,특별분석
74,22,18,2025-02-28,True,59,분기분석
75,14,16,2024-08-13,True,24,주간분석
76,18,19,2024-08-21,True,97,주간분석
77,9,12,2024-07-03,True,38,월간분석
78,28,21,2025-04-25,True,66,분기분석
79,44,29,2024-06-16,True,82,주간분석
80,15,30,2024-08-31,False,37,분기분석
81,24,1,2024-08-20,True,50,월간분석
82,34,23,2025-04-25,True,97,특별분석
83,32,30,2024-10-06,True,21,월간분석
84,23,20,2024-09-04,False,73,주간분석
85,15,26,2024-10-30,True,33,주간분석
86,42,3,2025-03-07,True,94,월간분석
87,47,2,2024-12-25,True,59,월간분석
88,40,25,2024-08-12,True,70,분기분석
89,25,19,2024-06-16,True,34,분기분석
90,36,26,2024-10-16,True,82,특별분석
91,23,10,2024-11-11,False,11,분기분석
92,3,8,2025-01-04,True,91,주간분석
93,28,6,2025-03-22,False,5,월간분석
94,11,3,2025-05-16,True,15,특별분석
95,28,28,2024-12-09,True,46,분기분석
96,40,13,2024-09-04,True,35,주간분석
97,39,16,2025-05-05,True,77,주간분석
98,32,10,2024-10-12,True,3,월간분석
99,12,15,2025-03-15,True,85,주간분석
100,22,16,2024-06-10,True,87,특별분석
101,13,19,2024-09-20,True,18,주간분석
102,5,24,2024-09-21,True,0,월간분석
103,42,21,2024-08-16,True,66,주간분석
104,37,6,2025-02-02,True,84,분기분석
105,5,15,2025-03-23,True,73,분기분석
106,44,4,2025-03-25,False,62,월간분석
107,32,11,2024-12-31,True,78,주간분석
108,4,5,2024-12-13,False,31,특별분석
109,8,28,2024-12-13,True,0,특별분석
110,30,28,2024-06-21,False,65,월간분석
111,3,13,2024-10-04,True,15,특별분석
112,28,10,2024-10-04,False,31,분기분석
113,37,14,2025-03-17,True,38,분기분석
114,15,13,2025-01-03,True,94,월간분석
115,38,29,2025-02-03,True,3,분기분석
116,34,9,2025-01-19,True,45,월간분석
117,18,3,2024-09-18,False,6,분기분석
118,4,21,2024-10-27,True,6,특별분석
119,18,21,2024-10-03,True,25,주간분석
120,50,20,2025-04-22,True,52,월간분석
