mapping_id,project_id,tag_id,relevance_score,added_by
1,4,15,1,admin
2,27,6,10,community
3,20,6,10,creator
4,16,3,6,admin
5,4,12,7,creator
6,13,4,6,admin
7,11,15,1,community
8,12,9,7,admin
9,14,12,1,creator
10,18,10,8,creator
11,30,10,9,creator
12,2,8,6,admin
13,7,15,2,admin
14,26,5,10,community
15,14,14,7,community
16,26,6,8,creator
17,28,7,1,community
18,15,9,9,admin
19,11,7,10,creator
20,20,10,2,admin
21,13,6,2,creator
22,20,2,6,community
23,13,14,4,admin
24,12,4,1,creator
25,13,14,10,community
26,1,14,4,community
27,11,1,8,community
28,24,10,7,community
29,29,3,6,admin
30,6,7,1,community
31,22,2,10,creator
32,25,13,2,admin
33,21,14,8,community
34,1,15,1,admin
35,12,8,2,community
36,11,12,9,admin
37,7,15,6,community
38,27,13,2,creator
39,19,2,5,creator
40,2,2,1,creator
41,27,1,2,admin
42,9,2,5,admin
43,3,14,5,creator
44,10,4,9,admin
45,7,9,8,creator
46,4,3,8,admin
47,28,10,5,admin
48,14,11,5,community
49,29,11,5,creator
50,26,5,8,creator
51,22,8,10,creator
52,17,7,4,community
53,18,4,3,admin
54,20,3,6,admin
55,19,2,8,admin
56,15,12,8,admin
57,6,12,9,creator
58,17,9,3,creator
59,11,12,2,admin
60,12,8,5,creator
61,16,1,9,community
62,13,11,3,creator
63,27,10,8,community
64,10,3,5,admin
65,21,7,6,community
66,19,15,7,creator
67,5,3,4,admin
68,21,1,4,creator
69,11,14,7,community
70,4,6,9,community
71,9,8,9,admin
72,4,4,3,admin
73,16,12,5,creator
74,18,13,7,admin
75,21,13,6,admin
76,2,12,10,creator
77,17,1,6,community
78,21,5,8,community
79,15,13,10,creator
80,6,15,4,admin
81,10,13,3,creator
82,10,2,6,community
83,20,6,3,admin
84,20,5,9,creator
85,12,3,10,admin
86,15,5,9,creator
87,24,5,6,creator
88,23,7,7,creator
89,29,1,8,creator
90,8,3,9,community
91,2,3,2,community
92,29,12,9,creator
93,3,9,3,creator
94,27,5,5,admin
95,8,15,3,admin
96,21,9,4,creator
97,2,13,3,creator
98,9,6,6,creator
99,28,7,1,creator
100,3,5,1,admin
