mapping_id,project_id,tag_id,relevance_score,added_by
80,6,15,4,admin
42,9,2,5,admin
59,11,12,2,admin
49,29,11,5,creator
99,28,7,1,creator
58,17,9,3,creator
76,2,12,10,creator
33,21,14,8,community
95,8,15,3,admin
60,12,8,5,creator
64,10,3,5,admin
85,12,3,10,admin
38,27,13,2,creator
30,6,7,1,community
2,27,6,10,community
53,18,4,3,admin
22,20,2,6,community
3,20,6,10,creator
24,12,4,1,creator
88,23,7,7,creator
92,29,12,9,creator
75,21,13,6,admin
87,24,5,6,creator
83,20,6,3,admin
21,13,6,2,creator
61,16,1,9,community
72,4,4,3,admin
15,14,14,7,community
93,3,9,3,creator
52,17,7,4,community
