mapping_id,project_id,tag_id,relevance_score,added_by
84,20,5,9,creator
54,20,3,6,admin
71,9,8,9,admin
46,4,3,8,admin
45,7,9,8,creator
40,2,2,1,creator
23,13,14,4,admin
81,10,13,3,creator
11,30,10,9,creator
1,4,15,1,admin
19,11,7,10,creator
31,22,2,10,creator
74,18,13,7,admin
34,1,15,1,admin
91,2,3,2,community
5,4,12,7,creator
77,17,1,6,community
78,21,5,8,community
13,7,15,2,admin
32,25,13,2,admin
56,15,12,8,admin
89,29,1,8,creator
27,11,1,8,community
43,3,14,5,creator
70,4,6,9,community
16,26,6,8,creator
41,27,1,2,admin
97,2,13,3,creator
10,18,10,8,creator
73,16,12,5,creator
12,2,8,6,admin
48,14,11,5,community
86,15,5,9,creator
29,29,3,6,admin
94,27,5,5,admin
6,13,4,6,admin
67,5,3,4,admin
66,19,15,7,creator
36,11,12,9,admin
17,28,7,1,community
