assignment_id,q1,exp1,assigned_date,answer_provided
5,210,61,2025-03-08 09:24:56.974757,True
257,99,4,2025-02-05 08:17:55.477327,True
359,182,8,2024-10-08 02:13:33.326583,True
101,75,69,2025-01-15 02:57:24.298529,False
227,43,76,2024-10-18 12:14:08.483278,True
342,179,80,2025-04-26 20:07:57.438221,True
214,81,59,2025-01-19 11:10:44.597252,False
172,92,29,2024-09-07 21:58:39.846418,False
99,288,14,2024-10-12 02:39:18.335288,False
216,297,20,2025-04-09 12:30:16.967396,True
62,146,5,2025-05-29 19:50:35.660160,True
48,120,78,2024-12-23 15:00:28.844483,True
33,217,34,2024-06-12 10:38:13.129709,False
268,282,9,2025-05-01 06:55:14.450411,True
201,201,68,2025-04-27 22:35:47.403041,False
357,191,60,2024-10-16 05:37:18.836707,False
28,1,58,2024-07-31 00:37:32.486903,True
313,77,24,2024-09-03 14:26:06.194003,False
231,187,3,2025-03-21 15:28:27.349900,False
261,277,4,2024-12-20 09:50:06.337302,False
289,205,40,2024-08-25 04:34:30.910648,True
163,200,39,2024-07-27 09:27:44.994171,True
371,114,72,2024-06-09 00:39:39.478633,True
139,45,18,2024-08-05 21:49:22.832893,True
63,247,80,2024-11-18 05:07:21.683247,True
136,172,29,2025-05-31 04:40:18.126516,False
129,35,8,2024-07-14 16:11:10.004058,True
9,69,62,2024-09-08 06:46:32.955284,False
65,284,25,2024-11-17 15:44:33.371741,False
301,110,69,2025-01-26 02:07:06.828234,True
15,12,26,2024-09-27 01:49:56.424624,False
157,70,51,2025-04-04 07:30:36.431337,False
41,175,75,2024-06-04 22:54:58.561246,True
367,125,59,2024-07-13 21:06:56.849864,False
324,59,78,2024-10-18 11:05:18.320885,False
217,115,19,2024-10-11 06:18:51.769412,True
280,144,76,2025-04-23 13:47:35.435060,True
347,50,23,2024-11-08 20:05:25.752843,True
237,293,48,2024-12-13 15:29:27.640712,True
208,66,17,2024-06-11 17:30:33.868477,True
213,105,41,2024-08-31 18:19:45.800478,True
296,243,69,2024-09-21 22:32:57.686640,True
365,270,19,2025-02-07 21:02:52.650812,True
252,174,58,2024-06-16 09:47:46.682112,True
391,179,31,2025-01-24 04:25:02.745466,True
366,282,54,2025-04-04 08:22:53.463453,True
304,150,32,2024-12-26 13:39:06.648462,True
270,32,56,2025-05-13 07:36:18.410977,False
202,281,33,2024-09-25 09:23:35.480777,True
