assignment_id,q1,exp1,assigned_date,answer_provided
3,249,7,2025-01-14 06:18:58.905459,False
4,120,57,2024-06-23 19:10:10.537692,True
8,43,14,2025-02-02 17:56:28.860648,True
9,69,62,2024-09-08 06:46:32.955284,False
13,212,68,2024-10-21 23:34:36.609942,True
14,245,72,2025-01-02 00:25:53.179374,True
17,140,4,2025-04-21 14:30:06.440491,True
19,25,78,2024-07-10 14:14:14.642597,False
21,137,71,2024-07-22 21:53:14.738097,True
22,68,51,2024-06-16 13:35:40.943273,False
23,66,50,2024-08-10 01:49:09.888481,True
24,58,22,2025-01-06 00:51:22.404956,True
25,30,63,2024-12-21 02:15:06.976094,True
26,142,12,2025-01-10 14:42:52.413295,False
27,105,26,2025-03-15 20:38:35.850678,True
29,219,34,2024-11-12 08:47:23.987862,True
35,207,21,2024-07-11 02:58:51.442099,False
36,109,28,2025-03-14 23:23:37.527866,False
38,75,3,2024-08-28 00:23:46.370840,True
39,284,12,2024-12-28 20:41:53.121581,True
40,194,48,2024-10-14 18:39:40.270050,True
42,87,79,2024-07-06 16:15:25.213284,False
43,250,20,2025-01-07 23:37:37.500398,True
44,143,46,2024-12-03 23:50:00.492081,False
45,160,40,2025-02-14 12:49:46.691419,True
46,18,45,2024-09-07 22:18:20.514395,True
48,120,78,2024-12-23 15:00:28.844483,True
50,13,71,2024-09-11 00:04:11.032967,True
52,97,27,2025-04-06 22:20:47.194502,True
53,204,42,2024-11-30 07:27:18.382097,True
54,214,70,2025-03-25 12:00:05.655460,True
55,166,29,2024-11-23 21:33:25.171940,True
59,32,80,2024-12-16 02:45:23.117333,False
60,70,43,2024-08-03 21:20:53.508296,True
63,247,80,2024-11-18 05:07:21.683247,True
64,137,23,2025-05-09 13:06:03.192667,True
65,284,25,2024-11-17 15:44:33.371741,False
66,30,57,2024-08-25 16:48:06.502461,False
67,233,53,2024-12-30 05:59:35.281405,True
68,85,62,2025-02-21 11:40:42.904506,True
70,58,71,2025-02-28 21:57:19.715308,False
71,42,75,2024-11-27 23:28:24.560254,True
72,36,7,2024-07-22 16:25:34.161520,True
73,245,75,2025-03-05 14:11:12.245675,False
74,266,80,2025-04-18 08:28:29.282765,True
76,232,80,2024-08-01 12:50:25.313424,False
77,116,45,2025-05-23 21:39:54.132102,True
78,75,72,2025-02-12 18:47:19.917312,True
79,194,13,2025-03-05 09:21:47.550604,True
82,231,70,2025-05-24 06:14:32.534201,True
83,224,20,2025-03-11 08:31:58.923800,True
84,294,19,2024-11-14 00:08:06.360278,True
85,214,37,2025-05-04 08:28:05.441905,True
86,128,39,2024-10-18 14:35:47.402856,False
91,182,24,2024-10-14 08:27:07.130066,True
92,145,8,2024-09-19 18:16:39.930572,True
93,239,35,2025-04-08 09:14:43.082003,False
94,284,38,2024-06-02 04:48:05.232601,True
95,294,1,2025-02-01 03:28:13.345847,False
101,75,69,2025-01-15 02:57:24.298529,False
102,211,17,2024-10-09 19:02:54.519817,False
105,232,20,2024-12-07 17:30:12.955042,True
106,27,20,2024-08-14 20:50:17.880899,True
107,148,23,2024-09-03 00:53:29.376425,True
108,143,52,2024-10-13 18:14:10.279476,False
109,57,13,2024-06-24 04:50:11.622331,True
110,285,16,2024-11-02 16:59:42.002419,True
111,117,3,2025-04-01 08:42:46.826275,False
112,155,66,2024-09-05 00:36:16.622833,True
113,156,30,2024-07-31 17:48:44.632624,True
114,232,7,2024-12-14 03:51:53.866222,True
116,282,48,2024-08-23 10:33:35.004256,True
117,229,49,2024-08-29 07:09:07.500371,False
119,239,77,2024-09-06 13:41:35.079769,False
120,113,56,2025-05-23 09:25:46.080810,True
121,249,41,2025-01-26 10:29:43.308516,True
122,13,8,2024-10-11 20:20:37.699521,True
125,173,48,2025-06-01 04:42:21.420998,True
126,16,10,2025-04-11 07:34:24.694075,True
127,120,18,2024-11-26 06:20:26.653323,True
130,173,29,2024-09-30 12:54:48.772764,True
131,230,71,2024-07-21 14:55:31.397403,False
132,144,10,2024-10-07 01:32:11.452552,True
134,168,50,2025-01-22 09:36:22.959739,True
135,19,45,2024-07-01 19:28:26.713142,True
140,98,48,2024-08-14 15:03:12.928233,True
141,267,65,2024-06-26 04:27:04.505130,True
143,32,77,2025-01-18 14:38:14.944845,True
144,118,50,2024-08-06 03:07:26.025464,True
145,266,14,2025-04-21 01:46:35.082028,True
147,229,55,2024-10-09 12:36:25.557635,False
150,96,46,2024-06-04 17:40:25.772145,True
154,180,67,2024-09-12 04:05:07.705386,False
155,61,67,2024-08-12 03:08:07.506227,True
156,182,53,2024-09-05 18:27:57.899803,True
157,70,51,2025-04-04 07:30:36.431337,False
158,114,27,2025-04-09 19:27:56.361371,True
160,125,53,2024-06-12 08:01:13.994891,True
161,125,66,2025-01-17 05:07:34.597424,True
162,93,43,2024-12-22 16:14:37.158918,True
166,94,76,2025-05-27 04:39:39.121439,True
168,138,33,2025-01-13 00:48:21.030937,True
169,284,47,2024-07-19 12:29:00.468900,False
171,251,12,2025-04-06 14:52:11.691569,True
173,193,73,2024-08-02 12:09:37.069076,False
174,140,15,2025-02-09 05:57:50.196135,False
175,159,68,2024-08-19 10:11:11.060127,False
177,159,59,2025-01-19 18:25:53.260027,False
180,279,54,2025-04-10 11:23:32.549729,True
181,250,39,2024-09-03 23:41:04.801190,True
182,281,77,2024-10-22 15:14:32.767963,True
185,143,65,2024-09-07 19:28:46.764228,False
186,251,12,2024-09-02 12:43:44.089854,True
187,19,71,2025-05-24 23:06:20.702743,False
189,79,43,2025-02-15 12:38:03.142378,True
192,76,4,2024-11-12 12:54:41.687145,False
193,138,8,2024-11-29 17:41:17.412664,False
195,76,7,2025-03-22 01:52:03.792827,True
196,130,12,2024-12-02 20:20:26.081557,False
200,31,71,2024-07-20 04:01:48.483963,True
202,281,33,2024-09-25 09:23:35.480777,True
203,196,40,2024-07-14 14:55:07.535104,True
205,78,56,2025-01-25 11:34:14.394485,True
206,282,57,2025-04-02 19:15:30.210300,True
207,70,5,2024-12-15 04:46:38.926089,True
208,66,17,2024-06-11 17:30:33.868477,True
210,285,69,2024-09-08 04:28:42.405674,False
212,248,29,2024-07-10 01:21:50.635345,False
213,105,41,2024-08-31 18:19:45.800478,True
215,137,66,2024-10-08 14:41:19.682605,True
217,115,19,2024-10-11 06:18:51.769412,True
219,117,68,2024-08-05 19:14:01.000834,False
220,278,11,2025-01-16 20:01:50.244100,True
221,267,20,2025-04-12 11:30:23.892316,True
222,110,77,2024-07-31 22:57:29.781394,True
223,181,18,2024-12-06 01:30:41.575355,True
224,43,47,2024-10-09 12:49:27.244223,True
226,32,46,2024-12-16 17:50:19.156620,True
227,43,76,2024-10-18 12:14:08.483278,True
229,140,59,2024-07-28 22:19:49.104882,False
230,255,11,2025-06-01 12:17:42.679226,True
231,187,3,2025-03-21 15:28:27.349900,False
233,183,40,2024-07-31 16:40:44.951221,True
235,171,71,2024-08-14 16:30:32.804207,True
236,43,55,2025-05-06 01:12:34.682791,True
237,293,48,2024-12-13 15:29:27.640712,True
238,166,63,2025-05-16 08:16:58.124336,False
239,266,59,2024-09-23 16:41:10.250692,True
240,133,45,2025-01-10 02:18:00.541961,False
241,34,53,2024-06-09 16:26:07.279370,False
242,282,25,2025-03-26 13:28:23.335360,True
243,80,23,2024-10-03 07:40:47.218824,True
245,137,6,2024-08-17 21:31:58.736531,True
246,109,5,2025-02-03 06:25:09.762627,True
247,216,56,2024-07-02 13:13:46.573555,False
249,83,21,2024-10-11 06:33:14.297685,True
250,43,38,2024-07-24 09:39:56.545734,True
252,174,58,2024-06-16 09:47:46.682112,True
253,38,5,2024-11-23 15:25:01.075542,True
256,127,41,2024-06-22 16:30:44.032096,False
258,158,60,2025-03-18 00:14:07.866017,True
259,141,70,2024-11-24 05:01:18.896140,True
262,231,70,2024-06-08 11:56:12.279161,False
263,178,65,2024-08-13 19:12:52.583537,True
264,29,66,2024-06-09 01:53:56.807565,False
265,238,58,2024-12-03 18:32:44.352344,True
268,282,9,2025-05-01 06:55:14.450411,True
269,32,50,2024-08-22 12:44:33.184530,True
270,32,56,2025-05-13 07:36:18.410977,False
271,266,5,2024-09-03 08:37:23.439696,True
272,18,8,2024-07-03 04:20:09.097316,True
274,267,55,2025-04-20 21:38:06.466145,True
275,57,44,2024-10-07 16:22:43.419180,True
278,219,71,2024-08-03 14:38:20.922907,True
279,60,48,2024-12-31 11:45:48.273050,True
280,144,76,2025-04-23 13:47:35.435060,True
282,140,45,2024-12-03 14:43:28.440096,False
283,270,10,2024-12-25 00:36:00.931369,True
286,257,3,2024-11-20 12:02:39.518566,True
287,290,65,2024-12-25 22:46:40.212830,True
292,140,24,2025-01-21 08:56:39.302833,True
293,298,71,2024-06-26 06:58:52.584531,False
294,130,2,2024-11-06 11:41:30.947909,True
298,270,76,2024-07-27 14:03:49.158383,True
301,110,69,2025-01-26 02:07:06.828234,True
302,34,19,2025-05-10 22:24:24.726762,True
303,141,2,2024-07-31 15:00:51.793410,True
306,212,69,2024-06-17 16:39:05.706460,True
307,285,12,2024-10-13 06:14:26.632649,True
308,195,37,2025-03-28 07:23:20.690244,True
309,224,29,2025-02-09 22:31:06.303622,True
311,245,76,2025-03-18 05:49:28.628630,True
313,77,24,2024-09-03 14:26:06.194003,False
314,281,23,2024-11-05 04:40:00.074759,True
316,197,22,2025-02-22 04:22:46.938854,False
317,91,69,2024-12-18 16:00:58.293441,True
318,149,23,2024-09-30 05:56:03.713216,True
319,267,55,2025-05-08 09:58:20.451580,False
320,181,74,2024-08-25 18:50:04.514656,True
322,68,79,2024-08-26 01:13:22.594209,True
323,133,15,2025-04-21 17:23:21.826782,True
327,16,56,2024-08-29 10:34:53.693103,True
328,240,14,2024-10-31 06:40:29.276175,True
329,230,49,2024-10-25 17:30:46.835241,True
330,174,35,2024-07-18 05:21:15.560719,True
331,180,56,2024-08-21 20:11:23.111074,True
332,148,64,2025-01-05 16:25:39.320611,False
333,250,11,2025-02-12 02:07:54.201136,True
335,223,59,2024-08-22 23:35:25.667948,True
