assignment_id,q1,exp1,assigned_date,answer_provided
210,285,69,2024-09-08 04:28:42.405674,False
281,262,58,2025-03-26 09:14:52.796159,True
34,162,19,2024-08-03 12:26:54.336279,True
211,9,28,2024-10-22 20:39:41.786189,True
94,284,38,2024-06-02 04:48:05.232601,True
85,214,37,2025-05-04 08:28:05.441905,True
330,174,35,2024-07-18 05:21:15.560719,True
95,294,1,2025-02-01 03:28:13.345847,False
267,104,59,2025-04-12 03:20:12.877790,False
127,120,18,2024-11-26 06:20:26.653323,True
10,107,39,2024-08-20 16:20:31.656370,False
362,95,15,2024-11-14 13:07:47.296848,True
57,175,65,2024-09-16 06:09:48.930315,True
73,245,75,2025-03-05 14:11:12.245675,False
133,300,22,2025-02-03 23:37:58.160584,True
43,250,20,2025-01-07 23:37:37.500398,True
279,60,48,2024-12-31 11:45:48.273050,True
377,18,13,2024-08-24 23:11:50.827552,True
232,295,2,2024-10-08 07:48:13.348385,True
386,208,50,2024-07-26 12:43:42.656250,True
78,75,72,2025-02-12 18:47:19.917312,True
16,150,63,2025-05-14 15:41:30.595294,True
392,247,53,2024-11-13 22:28:39.785336,True
272,18,8,2024-07-03 04:20:09.097316,True
1,12,14,2024-08-21 14:46:10.997983,False
397,67,23,2024-12-21 15:19:54.544514,True
115,260,57,2025-03-28 13:32:55.737489,True
226,32,46,2024-12-16 17:50:19.156620,True
263,178,65,2024-08-13 19:12:52.583537,True
105,232,20,2024-12-07 17:30:12.955042,True
396,276,2,2025-05-19 02:21:53.104844,True
194,53,73,2024-06-14 19:14:28.699485,True
262,231,70,2024-06-08 11:56:12.279161,False
58,188,75,2025-02-22 01:48:18.508596,False
233,183,40,2024-07-31 16:40:44.951221,True
117,229,49,2024-08-29 07:09:07.500371,False
114,232,7,2024-12-14 03:51:53.866222,True
343,172,63,2025-02-23 12:49:55.889865,True
159,243,23,2024-11-29 05:11:50.152478,True
142,273,2,2025-01-15 06:13:57.675903,True
382,125,55,2025-05-13 12:25:02.286951,True
56,268,77,2024-06-29 21:37:33.385894,True
77,116,45,2025-05-23 21:39:54.132102,True
26,142,12,2025-01-10 14:42:52.413295,False
83,224,20,2025-03-11 08:31:58.923800,True
383,263,70,2025-01-16 21:42:21.426872,True
149,35,58,2024-07-03 02:47:49.319736,False
182,281,77,2024-10-22 15:14:32.767963,True
23,66,50,2024-08-10 01:49:09.888481,True
174,140,15,2025-02-09 05:57:50.196135,False
47,50,71,2025-04-09 23:37:22.786355,False
322,68,79,2024-08-26 01:13:22.594209,True
339,218,63,2025-04-01 16:51:10.564654,False
71,42,75,2024-11-27 23:28:24.560254,True
375,282,28,2024-07-02 17:09:48.180485,False
40,194,48,2024-10-14 18:39:40.270050,True
224,43,47,2024-10-09 12:49:27.244223,True
173,193,73,2024-08-02 12:09:37.069076,False
31,82,64,2024-12-07 07:19:57.046883,False
153,205,7,2025-01-04 05:45:35.519993,True
125,173,48,2025-06-01 04:42:21.420998,True
295,264,59,2024-09-12 23:20:43.789196,True
256,127,41,2024-06-22 16:30:44.032096,False
79,194,13,2025-03-05 09:21:47.550604,True
102,211,17,2024-10-09 19:02:54.519817,False
32,243,14,2024-11-12 10:06:07.636812,False
353,211,42,2024-10-01 21:56:34.762057,True
269,32,50,2024-08-22 12:44:33.184530,True
395,172,14,2024-12-30 12:38:41.217888,True
74,266,80,2025-04-18 08:28:29.282765,True
321,206,1,2024-07-21 06:05:07.431224,True
141,267,65,2024-06-26 04:27:04.505130,True
6,162,44,2025-03-08 21:23:31.527802,True
46,18,45,2024-09-07 22:18:20.514395,True
389,179,27,2024-10-20 06:31:07.494249,False
247,216,56,2024-07-02 13:13:46.573555,False
228,217,8,2024-09-29 20:27:42.282147,True
370,297,62,2025-02-13 22:46:51.340916,False
177,159,59,2025-01-19 18:25:53.260027,False
290,123,73,2024-07-06 10:42:39.326126,True
4,120,57,2024-06-23 19:10:10.537692,True
19,25,78,2024-07-10 14:14:14.642597,False
203,196,40,2024-07-14 14:55:07.535104,True
251,292,71,2024-09-08 19:24:10.105893,False
275,57,44,2024-10-07 16:22:43.419180,True
64,137,23,2025-05-09 13:06:03.192667,True
249,83,21,2024-10-11 06:33:14.297685,True
302,34,19,2025-05-10 22:24:24.726762,True
109,57,13,2024-06-24 04:50:11.622331,True
91,182,24,2024-10-14 08:27:07.130066,True
234,237,69,2024-06-11 16:35:42.243404,True
336,246,50,2025-01-20 22:35:45.005662,True
119,239,77,2024-09-06 13:41:35.079769,False
221,267,20,2025-04-12 11:30:23.892316,True
181,250,39,2024-09-03 23:41:04.801190,True
315,135,78,2024-06-18 09:19:42.200132,True
374,4,27,2024-11-21 02:05:16.001893,True
