assignment_id,livestock_mkt,analysts_anal,report_submitted,prediction_accuracy,analysis_type
1,48,7,True,41,주간분석
2,50,8,True,71,분기분석
3,14,15,True,3,특별분석
4,45,22,True,59,특별분석
5,14,6,True,62,특별분석
6,33,9,True,58,특별분석
7,36,4,True,57,특별분석
8,48,18,True,44,월간분석
9,45,30,False,76,특별분석
10,30,24,False,12,분기분석
11,35,30,True,76,주간분석
12,5,11,True,56,특별분석
13,16,9,False,25,주간분석
14,22,4,True,41,특별분석
15,23,16,True,89,월간분석
16,29,24,True,91,주간분석
17,45,14,True,75,주간분석
18,12,3,True,32,주간분석
19,50,19,True,26,분기분석
20,21,3,True,62,주간분석
21,6,19,False,0,주간분석
22,31,6,True,49,분기분석
23,43,1,True,36,월간분석
24,13,9,True,44,분기분석
25,17,8,True,62,분기분석
26,9,14,True,71,주간분석
27,10,11,True,87,분기분석
28,13,24,True,6,월간분석
29,42,19,True,40,분기분석
30,3,8,True,25,주간분석
31,7,16,True,57,특별분석
32,17,18,True,97,주간분석
33,49,2,False,81,분기분석
34,8,15,True,89,특별분석
35,38,8,True,27,주간분석
36,42,13,True,66,특별분석
37,23,12,True,75,월간분석
38,11,25,True,26,분기분석
39,1,6,True,54,주간분석
40,15,1,True,52,월간분석
41,30,7,True,95,분기분석
42,9,26,True,72,주간분석
43,7,18,True,29,주간분석
44,11,8,False,30,주간분석
45,32,25,True,3,특별분석
46,42,30,True,100,월간분석
47,21,21,True,59,주간분석
48,43,11,False,8,월간분석
49,5,29,True,99,특별분석
50,18,4,True,45,주간분석
51,37,6,True,76,특별분석
52,50,9,True,89,주간분석
53,30,30,False,49,특별분석
54,36,9,True,82,특별분석
55,32,18,True,81,월간분석
56,48,22,True,68,특별분석
57,25,12,False,7,월간분석
58,34,7,True,88,분기분석
59,22,10,True,45,월간분석
60,9,10,True,99,특별분석
61,16,2,True,42,주간분석
62,29,14,True,12,월간분석
63,37,18,False,36,주간분석
64,35,15,True,57,월간분석
65,6,21,True,37,주간분석
66,43,9,True,85,월간분석
67,29,27,True,51,월간분석
68,19,7,True,78,주간분석
69,40,1,False,28,특별분석
70,45,16,True,20,분기분석
71,36,9,True,33,특별분석
72,22,3,True,97,특별분석
73,24,9,True,8,특별분석
74,22,18,True,59,분기분석
75,14,16,True,24,주간분석
76,18,19,True,97,주간분석
77,9,12,True,38,월간분석
78,28,21,True,66,분기분석
79,44,29,True,82,주간분석
80,15,30,False,37,분기분석
81,24,1,True,50,월간분석
82,34,23,True,97,특별분석
83,32,30,True,21,월간분석
84,23,20,False,73,주간분석
85,15,26,True,33,주간분석
86,42,3,True,94,월간분석
87,47,2,True,59,월간분석
88,40,25,True,70,분기분석
89,25,19,True,34,분기분석
90,36,26,True,82,특별분석
91,23,10,False,11,분기분석
92,3,8,True,91,주간분석
93,28,6,False,5,월간분석
94,11,3,True,15,특별분석
95,28,28,True,46,분기분석
96,40,13,True,35,주간분석
97,39,16,True,77,주간분석
98,32,10,True,3,월간분석
99,12,15,True,85,주간분석
100,22,16,True,87,특별분석
101,13,19,True,18,주간분석
102,5,24,True,0,월간분석
103,42,21,True,66,주간분석
104,37,6,True,84,분기분석
105,5,15,True,73,분기분석
106,44,4,False,62,월간분석
107,32,11,True,78,주간분석
108,4,5,False,31,특별분석
109,8,28,True,0,특별분석
110,30,28,False,65,월간분석
111,3,13,True,15,특별분석
112,28,10,False,31,분기분석
113,37,14,True,38,분기분석
114,15,13,True,94,월간분석
115,38,29,True,3,분기분석
116,34,9,True,45,월간분석
117,18,3,False,6,분기분석
118,4,21,True,6,특별분석
119,18,21,True,25,주간분석
120,50,20,True,52,월간분석
