stock_id,stock_code,stock_name,market,sector
1,005930,삼성전자,KOSDAQ,바이오
2,000660,SK하이닉스,KOSPI,금융
3,035420,NAVER,KOSDAQ,화학
4,005380,현대차,KOSDAQ,IT
5,207940,삼성바이오로직스,KOSDAQ,화학
6,005490,POSCO홀딩스,KOSPI,제조업
7,051910,LG화학,KOSPI,바이오
8,006400,삼성SDI,KOSDAQ,금융
9,028260,삼성물산,KOSDAQ,화학
10,068270,셀트리온,KOSPI,금융
11,035720,카카오,KOSDAQ,제조업
12,003670,SK이노베이션,KOSDAQ,화학
13,096770,SK텔레콤,KOSPI,화학
14,015760,한국전력,KOSPI,바이오
15,018260,카카오뱅크,KOSDAQ,IT
16,323410,카카오페이,KOSDAQ,화학
17,000270,기아,KOSPI,IT
18,017670,SK바이오팜,KOSPI,금융
19,034220,LG생활건강,KOSDAQ,화학
20,003550,LG,KOSDAQ,IT
