participation_id,gamer,event,registration_date,final_rank
5,222,20,2025-04-03 08:34:19.848133,117
257,161,20,2025-01-07 06:27:45.844312,48
359,23,10,2025-02-18 02:02:14.322335,105
101,124,17,2024-12-20 07:25:48.440485,99
227,295,4,2025-04-06 18:31:43.125443,128
342,287,12,2025-04-21 10:18:08.651957,70
214,91,13,2025-04-26 23:57:30.512069,48
172,28,13,2025-03-04 18:20:46.721009,108
99,128,18,2025-01-01 22:43:18.456228,26
216,125,20,2024-12-24 07:00:15.171221,89
62,17,7,2025-05-15 20:42:50.824690,91
48,19,18,2025-03-25 12:48:53.795625,24
33,229,24,2025-03-06 07:29:41.509207,112
268,164,6,2024-12-18 15:39:22.703937,124
201,139,17,2025-02-16 03:04:19.854110,95
357,26,7,2024-12-04 21:21:42.522335,21
28,177,2,2025-01-09 04:40:04.659928,103
313,227,13,2025-02-14 21:02:40.265699,31
231,245,14,2025-04-19 02:53:30.343503,35
261,42,8,2025-02-26 08:56:52.300418,1
289,203,11,2025-01-16 08:25:37.826051,104
163,214,9,2025-02-11 08:13:34.745088,99
371,70,4,2025-02-03 04:43:45.762225,67
139,249,5,2024-12-13 11:10:16.320145,23
63,265,13,2024-12-10 13:27:16.719552,31
136,99,16,2025-02-14 12:12:59.840202,2
129,1,14,2025-05-07 05:58:48.089825,106
9,289,3,2024-12-15 22:55:57.554831,121
65,69,5,2025-01-10 05:09:28.984386,102
301,1,17,2025-01-24 23:43:16.865812,50
15,176,9,2024-12-31 15:25:55.712819,121
157,208,24,2025-03-08 04:25:52.137856,27
41,116,4,2025-04-18 23:45:35.438174,104
367,115,20,2024-12-04 22:19:54.687454,57
324,94,13,2025-04-28 12:11:47.337659,41
217,163,17,2025-04-01 02:40:09.254087,69
280,241,8,2025-05-22 17:55:16.439054,105
347,141,17,2025-03-17 03:58:08.998660,46
237,40,19,2025-05-30 11:42:28.180142,5
208,99,11,2025-01-21 11:58:34.514063,24
213,285,6,2025-02-05 14:29:36.023115,70
296,111,10,2025-04-13 20:50:47.057560,13
365,210,15,2025-05-07 06:16:43.029714,74
252,175,23,2025-05-18 11:04:16.856861,31
391,286,9,2024-12-16 15:36:35.230805,121
366,133,12,2024-12-28 06:49:16.833420,54
304,66,25,2025-04-28 12:48:44.307288,38
270,213,11,2025-04-20 04:55:27.112204,118
202,200,10,2025-01-07 09:25:51.027234,108
162,66,22,2024-12-09 10:45:38.228219,29
44,188,24,2025-05-06 08:23:27.261538,116
218,102,25,2025-03-02 05:56:50.400858,85
191,216,15,2025-04-29 01:08:01.378277,80
310,140,9,2024-12-25 10:14:00.939197,16
260,186,22,2025-05-19 21:52:03.573383,26
106,71,18,2025-05-26 01:40:02.992347,92
54,63,20,2025-05-17 11:36:11.217235,28
2,185,5,2024-12-10 04:40:08.291865,54
50,200,15,2024-12-26 18:35:40.961762,88
81,131,12,2025-05-04 19:14:50.751137,94
206,136,1,2025-04-18 06:28:17.453132,51
35,241,2,2025-05-06 16:47:16.592262,48
264,32,17,2025-04-06 17:14:30.165929,108
92,177,2,2025-04-02 21:52:17.121013,78
340,193,10,2025-04-28 19:32:16.374833,14
53,36,9,2025-04-04 07:16:50.370616,75
346,173,10,2025-02-19 08:36:20.861310,18
265,21,8,2025-04-11 09:40:22.873559,116
242,287,22,2025-04-16 11:34:21.815135,102
14,158,23,2025-02-06 02:24:41.592091,19
316,19,3,2025-03-31 15:11:52.293415,8
89,94,6,2025-02-15 16:03:55.053113,127
274,78,9,2025-05-18 10:03:19.190520,125
167,184,11,2025-04-26 13:50:07.832345,85
329,142,2,2025-04-23 20:13:21.384649,23
394,257,1,2025-01-30 17:04:24.532612,57
135,274,17,2025-04-01 13:37:18.502204,30
307,1,23,2025-05-09 12:11:31.368366,85
384,259,3,2025-04-10 00:49:59.239382,62
320,238,4,2025-01-27 19:08:42.769369,59
244,133,23,2025-02-08 20:59:51.091106,67
55,292,19,2025-02-07 08:20:27.659579,123
51,126,19,2025-04-05 18:00:28.661475,28
175,270,21,2025-02-03 18:27:53.289814,120
190,148,19,2025-01-01 13:43:19.085266,46
398,17,23,2024-12-24 17:27:09.588577,110
188,141,9,2025-04-07 18:19:57.884538,35
170,238,16,2025-03-14 04:38:16.446540,52
59,153,19,2025-01-31 23:14:50.590507,56
