participation_id,gamer,event,registration_date,final_rank
210,96,1,2024-12-07 12:12:11.948697,34
281,65,18,2025-02-28 23:26:34.038233,28
34,188,3,2025-01-07 20:25:35.415414,93
211,221,8,2025-02-15 17:54:30.584424,76
94,109,25,2025-05-26 05:48:58.915633,123
85,77,6,2025-03-09 08:27:50.515364,96
330,299,24,2025-02-05 06:27:17.351981,44
95,74,23,2025-02-19 11:02:21.393100,93
267,145,8,2025-03-20 22:17:22.815867,126
127,34,9,2025-02-18 22:17:29.479468,47
10,49,25,2025-04-02 10:58:07.608296,74
362,214,10,2025-05-29 21:30:41.256109,109
57,14,18,2025-04-10 14:47:06.201627,29
73,105,20,2025-03-06 02:51:09.151525,65
133,88,12,2025-03-01 05:21:37.507523,82
43,20,15,2025-02-07 10:46:59.772237,53
279,57,23,2025-03-03 19:31:15.096656,66
377,234,22,2024-12-12 15:24:02.898794,59
232,291,17,2025-01-08 15:25:54.515400,95
386,80,7,2025-03-13 15:07:19.072097,112
78,126,4,2025-01-13 01:56:04.570501,91
16,148,17,2025-05-09 16:06:41.099591,54
392,171,18,2024-12-27 03:37:54.873773,1
272,175,22,2025-02-10 05:54:32.995598,54
1,196,23,2025-04-18 10:18:56.057803,36
397,68,10,2025-02-07 22:24:29.031935,62
115,216,24,2025-05-01 10:24:08.901813,34
226,204,22,2025-02-03 16:53:45.194594,92
263,286,9,2025-01-07 13:55:53.278124,70
105,185,3,2024-12-15 08:41:55.280967,19
396,250,1,2025-02-25 21:45:47.577744,41
194,267,3,2025-05-26 18:38:35.051817,57
262,234,16,2025-02-27 02:56:34.977401,44
58,103,17,2025-05-14 13:57:04.694624,83
233,229,3,2025-03-06 13:10:17.273610,52
117,94,25,2025-03-18 03:47:14.539856,82
114,48,6,2024-12-13 09:01:24.205568,97
343,140,12,2025-02-23 18:45:40.695029,74
159,33,22,2025-05-27 11:16:52.728523,113
142,89,16,2025-01-30 14:19:41.239186,98
382,104,23,2024-12-10 07:04:54.301335,72
56,32,19,2025-04-03 12:44:28.044918,12
77,112,7,2024-12-23 09:52:03.512583,105
26,11,25,2025-03-12 13:00:39.305451,26
83,208,23,2025-02-03 13:02:50.225840,122
383,95,25,2024-12-18 20:10:00.079966,53
149,105,11,2025-03-31 02:59:22.149282,34
182,284,2,2025-02-11 01:15:06.173691,21
23,98,24,2025-05-16 09:53:48.852874,18
174,94,15,2025-04-30 23:01:59.747424,73
47,72,14,2025-03-31 21:33:45.344781,10
322,170,21,2025-01-20 09:32:15.819505,32
339,87,12,2025-04-02 17:23:40.846190,119
71,259,15,2025-01-29 20:17:52.818038,4
375,288,2,2024-12-17 15:55:57.771590,4
40,159,20,2025-02-24 21:50:21.268273,26
224,19,10,2025-02-07 19:47:13.302191,31
173,116,5,2025-04-17 09:42:20.560621,89
31,284,10,2024-12-25 05:04:58.429121,20
153,249,20,2025-03-29 15:04:08.106447,117
125,188,1,2025-01-10 09:05:01.187006,126
295,138,7,2025-01-26 15:39:38.080764,61
256,201,19,2025-02-16 17:44:21.860942,113
79,21,19,2025-04-07 11:46:04.533047,56
102,50,3,2025-03-27 07:03:42.681833,40
32,107,10,2025-02-23 19:56:55.078221,69
353,4,8,2025-04-19 10:52:43.287604,36
269,283,2,2025-03-20 13:50:08.229228,72
395,44,2,2025-04-04 04:19:12.498250,22
74,108,19,2025-01-06 02:24:51.839817,114
321,122,3,2025-01-30 08:47:39.156285,18
141,129,19,2025-05-16 04:05:05.431944,42
6,276,12,2025-03-29 14:56:27.321749,95
46,269,4,2024-12-06 02:53:18.483775,46
389,101,22,2025-01-16 00:39:01.775467,99
247,297,10,2024-12-22 17:55:55.008686,73
228,123,21,2025-05-14 16:04:27.242378,31
370,290,22,2024-12-12 02:03:58.506705,11
177,18,10,2025-02-22 21:45:16.900329,55
290,221,19,2025-01-17 00:22:45.702712,58
4,243,25,2025-02-08 03:32:04.530975,110
19,80,22,2025-02-24 00:49:23.679660,77
203,35,3,2025-01-15 17:42:27.253923,25
251,30,25,2025-04-17 23:25:29.265131,102
275,214,4,2024-12-22 20:50:07.652234,20
64,90,17,2024-12-19 19:06:30.312086,48
249,149,12,2024-12-18 03:33:02.477068,84
302,130,18,2025-04-15 15:54:02.420855,12
109,228,13,2025-03-05 07:27:12.622619,71
91,9,17,2025-03-09 12:56:48.181546,3
234,258,14,2025-04-25 14:23:08.552138,89
336,184,24,2025-04-27 18:43:55.593801,20
119,207,4,2025-02-01 23:41:57.376506,87
221,269,10,2025-04-18 22:07:04.247106,59
181,30,24,2025-03-03 04:46:07.126002,47
315,176,8,2025-04-02 19:23:27.759248,71
374,283,7,2025-04-10 19:11:43.731213,90
381,275,24,2025-05-09 01:32:00.881331,29
240,67,8,2025-03-09 20:56:44.080045,110
76,124,25,2025-04-08 03:01:59.417552,101
248,176,15,2025-05-25 15:13:06.586431,8
111,55,6,2024-12-09 18:14:48.792843,81
17,188,13,2025-05-27 15:09:35.894907,37
67,47,4,2025-02-16 16:23:25.852684,50
154,263,15,2025-01-20 21:29:29.185946,112
8,118,9,2025-04-01 06:23:26.058371,6
20,89,3,2025-01-15 11:22:24.271343,58
138,115,12,2025-04-06 19:51:00.730425,21
356,177,14,2025-04-16 03:30:21.152827,61
350,210,16,2025-04-26 21:19:41.546169,36
132,297,24,2025-02-03 13:04:48.156206,97
388,174,3,2025-03-02 11:44:15.474959,128
293,287,4,2024-12-26 18:14:42.728579,112
387,138,13,2025-02-16 21:18:11.117174,109
298,85,24,2024-12-25 06:35:45.575128,29
61,216,25,2025-05-06 11:01:46.558792,92
80,57,6,2025-05-29 04:38:04.420949,122
286,101,13,2025-04-03 05:16:26.994001,34
306,142,24,2025-03-08 04:15:06.106594,30
282,77,3,2025-03-05 18:16:47.751856,113
158,140,8,2025-05-26 03:46:04.113158,3
110,162,6,2025-05-21 13:17:08.614060,25
18,12,18,2025-01-28 05:46:44.919100,60
348,135,4,2025-01-25 19:17:13.119482,55
25,211,12,2025-04-12 21:44:29.190565,42
176,43,20,2025-02-17 13:26:16.488997,71
352,222,17,2025-03-18 15:43:17.399647,74
333,165,2,2024-12-20 11:13:19.596647,125
168,74,6,2025-03-28 14:19:20.775415,35
246,236,17,2025-01-06 06:00:09.623925,60
312,279,8,2025-04-02 03:15:27.808540,85
146,222,1,2025-05-22 05:33:26.718577,84
