tournament_id,tournament_name,start_date,end_date,max_participants,prize_pool
9,크로스 플랫폼 주파수 탐지 가능 시너지 토너먼트,2025-08-20,2026-01-28,69,1225466
17,크로스 플랫폼 확장 알고리즘 토너먼트,2025-06-11,2025-10-29,53,7698228
1,출판된 근본적 엔진 토너먼트,2025-04-06,2026-06-01,46,3022965
24,비즈니스 중점적 인간자원 예보 토너먼트,2025-03-22,2025-08-19,109,7959141
12,멀티 레이어 최대화 아카이브 토너먼트,2025-05-27,2026-01-31,116,1533704
10,복제된 근본적 축적 토너먼트,2024-12-14,2025-08-12,103,7228275
14,공개 키 국가적 함수 토너먼트,2025-07-20,2025-12-03,107,315535
2,다양한 확장 회로 토너먼트,2025-06-25,2025-08-03,50,2834180
23,크로스 플랫폼 객체 지향적 분석 토너먼트,2025-02-27,2025-08-15,82,700067
6,최적화된 필수 인트라넷 토너먼트,2025-02-06,2026-03-02,9,4941021
3,올바른 사이즈의 고도 기반 분석 토너먼트,2025-03-19,2026-03-12,24,9186096
13,공개 아키텍쳐 해답 기반 관리자 토너먼트,2024-12-28,2025-10-05,96,5004477
16,낮은 환경 친화적 환경 토너먼트,2025-07-07,2025-11-02,101,7261254
4,조직화된 3세대 프레임 토너먼트,2025-04-29,2025-08-04,33,5175791
5,변경 가능한 멀티 태스킹 성공 토너먼트,2025-04-04,2025-11-27,72,3744398
21,최전방 결합된 구조체 토너먼트,2025-04-26,2025-12-26,73,4929002
18,강력한 요약 프레임 토너먼트,2025-04-29,2025-12-27,43,107099
