preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency
1,22,1985,15,2020,15
2,32,1995,14,2021,21
3,24,1989,10,2024,18
4,26,1997,15,2020,11
5,22,1985,10,2024,38
6,35,1990,2,2023,25
7,2,1987,2,2022,38
8,13,2003,11,2021,35
9,5,2004,6,2024,11
10,8,2003,10,2021,36
11,14,1999,11,2021,41
12,29,1998,4,2023,32
13,35,2004,8,2023,7
14,35,1987,11,2020,12
15,11,2002,12,2021,4
16,22,1995,7,2022,28
17,15,1991,10,2023,45
18,31,1980,15,2022,19
19,1,1996,11,2022,19
20,34,1992,9,2020,3
21,4,1996,11,2022,42
22,38,1995,5,2024,15
23,12,1987,13,2023,45
24,34,1997,6,2023,17
25,26,2000,11,2021,40
26,7,1999,14,2024,41
27,14,1982,5,2021,25
28,6,1996,12,2020,44
29,6,1996,2,2021,9
30,30,2001,11,2023,20
31,33,1991,9,2021,49
32,24,1989,12,2022,26
33,7,1993,15,2024,9
34,1,1999,3,2022,22
35,14,2003,5,2021,5
36,18,1993,4,2024,29
37,38,1993,1,2021,23
38,20,1991,8,2022,44
39,33,1997,8,2024,23
40,36,1984,5,2022,22
41,34,1990,15,2020,27
42,28,1994,14,2020,43
43,32,1983,6,2020,31
44,8,1989,15,2022,17
45,33,2001,10,2022,49
46,39,1994,5,2023,38
47,37,1999,1,2023,9
48,15,1994,14,2023,31
49,34,1990,13,2024,3
50,31,2003,5,2022,35
51,13,1996,8,2024,15
52,31,1981,14,2021,28
53,6,1996,8,2021,10
54,7,1985,7,2022,34
55,19,1996,7,2024,24
56,35,1987,8,2023,43
57,34,2001,15,2023,12
58,36,1982,5,2020,49
59,9,1994,10,2021,29
60,9,1988,3,2022,33
61,28,1981,7,2023,38
62,20,1987,15,2024,40
63,5,1999,15,2021,49
64,25,1987,11,2024,50
65,19,1997,7,2023,27
66,32,1985,10,2020,19
67,34,1997,1,2023,33
68,9,1980,11,2023,47
69,21,1988,13,2024,16
70,2,1995,1,2023,35
71,22,1983,15,2024,17
72,39,1998,7,2024,19
73,1,1993,10,2020,35
74,7,2001,3,2020,16
75,31,1983,9,2024,19
76,34,2003,1,2023,5
77,11,1996,4,2022,33
78,15,2001,5,2020,15
79,7,2004,1,2024,33
80,1,2005,10,2024,35
81,10,1998,14,2022,33
82,38,1986,3,2023,45
83,3,2002,11,2023,44
84,9,1995,3,2022,26
85,12,1997,10,2024,40
86,34,1988,2,2024,3
87,13,1986,6,2021,48
88,37,1994,6,2022,16
89,32,1980,4,2022,6
90,3,1982,14,2022,46
91,23,1988,5,2024,40
92,16,1982,7,2021,8
93,2,1983,14,2023,19
94,11,1980,10,2020,12
95,20,1988,1,2023,45
96,14,1991,8,2022,45
97,31,2004,15,2021,23
98,9,1995,6,2024,20
99,39,2001,13,2023,50
100,9,1980,4,2024,3
101,6,2000,10,2024,21
102,33,2000,14,2024,38
103,36,1998,14,2021,44
104,38,1991,1,2021,26
105,11,1981,12,2020,11
106,4,1984,9,2020,15
107,35,1996,10,2024,50
108,22,2001,9,2023,50
109,24,1987,3,2024,5
110,11,1990,4,2020,34
111,18,1995,6,2021,35
112,15,2002,14,2023,27
113,37,1987,10,2020,39
114,20,1984,13,2020,10
115,32,1980,12,2022,27
116,9,1981,8,2024,50
117,2,1985,15,2020,13
118,24,1990,2,2022,39
119,32,2001,6,2023,1
120,3,1981,13,2024,5
