preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency
94,11,1980,10,2020,12
42,28,1994,14,2020,43
59,9,1994,10,2021,29
49,34,1990,13,2024,3
102,33,2000,14,2024,38
58,36,1982,5,2020,49
76,34,2003,1,2023,5
33,7,1993,15,2024,9
113,37,1987,10,2020,39
60,9,1988,3,2022,33
64,25,1987,11,2024,50
106,4,1984,9,2020,15
38,20,1991,8,2022,44
30,30,2001,11,2023,20
116,9,1981,8,2024,50
2,32,1995,14,2021,21
53,6,1996,8,2021,10
22,38,1995,5,2024,15
3,24,1989,10,2024,18
24,34,1997,6,2023,17
104,38,1991,1,2021,26
100,9,1980,4,2024,3
88,37,1994,6,2022,16
109,24,1987,3,2024,5
75,31,1983,9,2024,19
87,13,1986,6,2021,48
83,3,2002,11,2023,44
120,3,1981,13,2024,5
21,4,1996,11,2022,42
61,28,1981,7,2023,38
72,39,1998,7,2024,19
107,35,1996,10,2024,50
15,11,2002,12,2021,4
93,2,1983,14,2023,19
52,31,1981,14,2021,28
103,36,1998,14,2021,44
