preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency
45,33,2001,10,2022,49
48,15,1994,14,2023,31
5,22,1985,10,2024,38
56,35,1987,8,2023,43
27,14,1982,5,2021,25
65,19,1997,7,2023,27
74,7,2001,3,2020,16
11,14,1999,11,2021,41
41,34,1990,15,2020,27
108,22,2001,9,2023,50
19,1,1996,11,2022,19
63,5,1999,15,2021,49
12,29,1998,4,2023,32
37,38,1993,1,2021,23
90,3,1982,14,2022,46
92,16,1982,7,2021,8
110,11,1990,4,2020,34
1,22,1985,15,2020,15
89,32,1980,4,2022,6
105,11,1981,12,2020,11
66,32,1985,10,2020,19
46,39,1994,5,2023,38
32,24,1989,12,2022,26
71,22,1983,15,2024,17
43,32,1983,6,2020,31
13,35,2004,8,2023,7
16,22,1995,7,2022,28
115,32,1980,12,2022,27
77,11,1996,4,2022,33
98,9,1995,6,2024,20
25,26,2000,11,2021,40
79,7,2004,1,2024,33
23,12,1987,13,2023,45
97,31,2004,15,2021,23
57,34,2001,15,2023,12
111,18,1995,6,2021,35
31,33,1991,9,2021,49
54,7,1985,7,2022,34
119,32,2001,6,2023,1
10,8,2003,10,2021,36
34,1,1999,3,2022,22
26,7,1999,14,2024,41
70,2,1995,1,2023,35
29,6,1996,2,2021,9
99,39,2001,13,2023,50
86,34,1988,2,2024,3
6,35,1990,2,2023,25
91,23,1988,5,2024,40
