interest_id,user_id,hobby_id,proficiency_level,interest_score
36,53,1,중급,4
81,45,8,중급,10
78,41,12,고급,8
35,50,8,전문가,5
8,25,8,중급,6
111,10,14,중급,5
92,33,10,중급,4
84,27,17,중급,9
159,13,17,고급,7
164,6,13,중급,4
90,9,3,전문가,8
9,60,12,고급,1
14,14,5,고급,5
60,44,9,고급,8
155,15,8,고급,6
132,23,5,고급,6
18,57,17,초보,2
73,48,7,중급,8
161,47,13,초보,10
135,13,7,고급,5
151,6,15,고급,10
166,51,6,중급,9
64,7,10,고급,1
55,1,9,전문가,5
108,50,16,초보,7
51,45,11,고급,2
178,37,18,전문가,1
59,8,16,초보,9
49,14,7,중급,8
89,23,17,초보,7
22,30,12,고급,6
58,13,16,초보,8
175,21,7,중급,4
130,26,18,중급,6
38,7,12,고급,10
158,3,8,초보,10
171,26,14,전문가,6
2,8,4,전문가,5
53,58,18,고급,10
150,41,18,전문가,2
131,6,12,고급,6
152,20,9,중급,6
104,34,18,중급,1
100,28,14,전문가,5
117,60,4,전문가,10
88,47,9,고급,10
75,13,18,초보,6
122,55,10,고급,5
180,43,15,고급,3
21,13,1,고급,8
72,44,14,중급,10
107,17,11,고급,5
15,20,4,초보,2
93,4,7,초보,5
103,43,15,전문가,1
