interest_id,user_id,hobby_id,proficiency_level,interest_score
20,19,9,전문가,7
43,37,13,고급,3
154,7,5,고급,5
79,21,15,고급,2
146,29,13,초보,2
16,56,18,중급,2
25,31,9,전문가,7
69,25,13,중급,1
114,40,17,초보,10
119,39,11,중급,4
94,32,1,고급,1
160,42,2,초보,2
70,16,15,전문가,10
143,48,12,초보,1
46,12,8,고급,6
17,13,3,중급,3
52,50,5,고급,4
126,41,14,전문가,9
97,2,4,중급,9
57,15,9,초보,7
98,37,18,초보,9
121,8,8,중급,5
144,58,6,전문가,2
31,25,10,고급,5
10,53,3,고급,7
173,37,15,중급,9
61,35,2,중급,8
19,11,16,초보,5
149,6,5,전문가,9
174,16,12,중급,6
110,25,1,중급,3
56,10,16,중급,9
141,57,7,고급,6
127,58,17,초보,8
67,17,11,고급,10
30,12,2,초보,10
118,24,17,초보,9
66,38,4,중급,1
68,29,14,중급,2
32,51,10,전문가,8
13,16,18,전문가,9
42,49,6,전문가,4
125,48,18,전문가,3
101,60,11,초보,6
162,22,5,전문가,6
133,24,8,전문가,2
91,10,2,초보,6
39,14,11,전문가,8
170,12,3,중급,3
116,51,14,고급,9
172,17,6,고급,3
157,38,14,전문가,3
3,21,16,고급,9
177,34,2,중급,6
47,5,7,고급,8
86,51,14,초보,8
153,35,1,전문가,6
83,24,2,중급,5
148,30,10,중급,3
27,27,7,중급,6
156,6,16,초보,1
99,20,18,전문가,4
112,41,8,전문가,4
77,40,15,초보,9
37,43,12,중급,1
165,52,4,초보,7
23,8,11,중급,3
105,17,13,중급,6
76,12,11,중급,2
147,47,15,고급,10
12,2,17,고급,1
7,30,2,고급,8
28,58,16,중급,3
113,25,2,전문가,3
5,11,9,중급,2
33,55,16,전문가,3
102,36,14,전문가,1
129,47,6,초보,4
96,20,6,전문가,2
11,58,4,중급,1
115,39,5,초보,4
134,25,17,초보,2
1,58,9,고급,5
137,17,17,고급,1
71,49,1,고급,2
65,51,2,전문가,9
45,52,9,초보,5
124,5,11,고급,7
29,2,10,초보,5
41,40,14,전문가,6
139,2,10,고급,5
140,19,5,고급,3
26,18,11,중급,8
24,5,12,고급,10
145,41,5,초보,2
82,18,17,고급,2
80,22,4,초보,9
85,9,18,초보,3
40,4,1,중급,5
109,3,16,중급,1
87,4,2,초보,1
128,13,14,전문가,3
176,26,7,고급,10
167,13,17,고급,6
48,6,14,고급,9
95,19,13,고급,1
138,38,2,중급,6
169,4,16,초보,6
62,38,17,고급,5
74,56,15,전문가,3
34,27,13,중급,6
44,17,15,고급,5
136,14,15,고급,9
142,32,8,고급,5
63,33,2,고급,7
179,19,14,고급,7
120,39,9,전문가,1
123,29,14,중급,7
106,53,15,중급,6
54,13,2,전문가,2
6,57,8,초보,4
163,8,3,초보,3
4,7,8,고급,3
168,7,11,중급,2
50,12,10,고급,1
