watchlist_id,user_id,stock_id,added_date,target_price
181,16,12,2025-05-20 16:27:33.152962,353774
179,31,5,2025-03-16 12:00:24.698883,300496
186,39,20,2025-02-28 23:36:58.314644,240486
50,49,15,2025-04-14 02:00:06.757632,122490
81,16,11,2025-04-04 16:17:58.264489,262111
35,2,5,2025-04-05 03:07:15.383786,207567
8,42,10,2025-04-08 11:33:31.309224,492512
111,44,15,2025-05-22 07:24:10.145422,236527
92,1,5,2025-03-31 20:10:55.531037,334665
84,11,7,2025-05-21 02:28:31.368840,324796
177,32,17,2025-03-06 07:09:03.941640,478963
182,14,7,2025-05-02 21:45:58.469459,340878
90,22,16,2025-05-11 07:28:07.895023,382832
9,19,5,2024-12-12 18:23:37.021597,395107
14,33,5,2025-03-11 21:29:22.231117,81099
60,39,12,2025-05-12 00:40:51.887989,35493
172,31,7,2025-02-11 12:40:39.357253,325830
132,24,19,2025-01-06 01:33:31.519110,430970
18,4,5,2025-01-20 14:29:36.421029,201078
73,9,2,2025-02-21 12:37:20.992081,178034
176,46,1,2024-12-30 20:59:19.829535,114795
135,12,19,2025-03-17 12:12:04.945920,283025
168,27,14,2025-03-18 00:52:18.118613,34656
184,35,11,2025-04-26 05:28:05.582668,72782
64,21,20,2025-02-22 15:29:58.177736,112817
55,47,14,2024-12-08 04:12:00.582155,344433
108,37,9,2025-03-07 13:02:06.904203,282208
51,27,5,2025-02-11 04:55:26.736136,263827
197,7,17,2025-04-05 14:41:31.416819,336937
59,20,17,2025-03-15 08:20:47.651479,134495
49,14,18,2025-01-25 15:56:36.915130,475438
89,22,14,2025-01-31 04:01:53.709228,162767
22,36,16,2025-05-10 14:42:03.217057,199687
58,27,6,2025-04-12 05:35:59.973690,306922
161,23,16,2024-12-15 14:09:45.605110,95323
193,35,3,2025-05-05 20:56:56.762522,180104
130,46,2,2025-03-29 08:49:23.044969,298256
38,43,1,2025-04-18 01:49:37.765021,15480
158,11,14,2024-12-19 12:37:48.208420,435952
194,33,1,2024-12-21 18:12:49.143511,377517
2,20,18,2024-12-19 14:54:41.854979,470525
53,16,18,2025-04-13 19:34:31.705626,166014
150,5,1,2024-12-10 10:37:23.127682,57399
131,21,17,2025-05-03 13:59:31.829234,402552
152,44,8,2024-12-11 17:50:09.669457,485411
104,50,17,2025-05-06 18:05:29.132885,440611
100,38,13,2024-12-17 08:22:12.095980,240946
117,42,3,2025-04-19 03:07:05.976695,354576
88,3,6,2025-05-30 12:08:40.558689,394318
75,16,7,2025-03-03 12:09:30.142699,392246
122,13,18,2025-04-13 21:03:27.807563,208146
200,49,4,2025-03-07 16:16:16.059994,314119
21,40,1,2025-03-18 16:57:49.946712,431132
189,40,7,2025-02-15 09:37:33.467165,276907
72,49,2,2024-12-04 05:57:42.787837,124188
107,12,19,2025-05-18 03:19:20.703111,487632
15,31,6,2024-12-13 07:32:55.834472,477142
93,44,16,2025-04-07 08:56:41.208762,437288
180,16,17,2025-02-26 23:32:04.906610,374321
103,46,3,2025-04-15 20:22:45.674545,226901
