watchlist_id,user_id,stock_id,added_date,target_price
2,20,18,2024-12-19 14:54:41.854979,470525
5,49,7,2025-02-21 17:27:57.156726,110188
6,28,6,2025-01-03 02:03:17.316696,364270
8,42,10,2025-04-08 11:33:31.309224,492512
11,32,13,2025-04-28 09:16:15.376902,52259
12,6,7,2025-04-08 22:19:57.161747,184383
14,33,5,2025-03-11 21:29:22.231117,81099
15,31,6,2024-12-13 07:32:55.834472,477142
16,5,15,2025-05-23 16:20:20.931400,45491
18,4,5,2025-01-20 14:29:36.421029,201078
20,46,11,2025-03-08 10:01:32.458467,69625
21,40,1,2025-03-18 16:57:49.946712,431132
25,45,5,2025-03-12 18:25:14.411006,192973
26,48,6,2025-05-13 07:31:36.549324,261245
28,32,15,2025-04-09 10:14:18.689155,165656
34,18,12,2025-04-01 11:06:02.204285,481943
40,34,20,2025-04-19 23:20:04.469827,414581
41,13,9,2025-02-14 14:12:57.201733,484103
42,35,12,2025-02-03 07:05:15.493281,150358
43,27,16,2025-01-26 15:14:40.568210,347339
44,9,13,2025-04-14 15:08:22.025622,54063
45,32,14,2024-12-06 15:44:08.704301,39092
47,20,17,2025-03-08 17:42:06.598923,187602
49,14,18,2025-01-25 15:56:36.915130,475438
50,49,15,2025-04-14 02:00:06.757632,122490
51,27,5,2025-02-11 04:55:26.736136,263827
52,28,4,2025-02-04 19:49:46.363838,191051
53,16,18,2025-04-13 19:34:31.705626,166014
54,6,10,2025-01-03 11:06:41.882949,62193
55,47,14,2024-12-08 04:12:00.582155,344433
56,32,17,2025-03-25 22:58:33.291594,274036
58,27,6,2025-04-12 05:35:59.973690,306922
59,20,17,2025-03-15 08:20:47.651479,134495
62,35,5,2025-01-04 04:20:48.853309,222370
66,42,1,2025-04-22 11:31:38.692939,76433
69,47,14,2025-05-28 21:46:05.016163,82326
70,28,11,2025-05-07 06:05:22.080075,373595
71,4,14,2025-01-17 00:25:51.452856,449704
72,49,2,2024-12-04 05:57:42.787837,124188
73,9,2,2025-02-21 12:37:20.992081,178034
74,32,20,2025-02-03 12:43:12.150105,149007
75,16,7,2025-03-03 12:09:30.142699,392246
77,31,10,2025-02-07 00:49:30.292279,400016
78,18,18,2025-01-22 02:08:26.688939,355510
79,7,16,2025-02-24 20:54:10.294784,39885
81,16,11,2025-04-04 16:17:58.264489,262111
82,45,2,2025-02-20 10:58:51.419941,15751
83,47,11,2025-05-22 07:04:11.977124,270006
85,16,8,2024-12-09 08:02:24.293763,134599
91,49,4,2025-01-03 16:21:38.667018,319800
92,1,5,2025-03-31 20:10:55.531037,334665
94,48,9,2025-04-03 17:49:45.964882,210581
95,7,15,2025-05-10 14:04:02.683993,406613
97,16,14,2025-03-11 14:58:06.303182,472634
98,40,18,2025-05-25 07:34:12.804974,189570
99,46,1,2025-03-17 19:58:03.649366,438411
100,38,13,2024-12-17 08:22:12.095980,240946
102,25,3,2025-05-22 06:13:06.029745,393756
103,46,3,2025-04-15 20:22:45.674545,226901
105,28,12,2025-03-21 21:46:57.755714,83900
106,49,2,2025-05-30 21:20:51.838142,50314
109,45,7,2025-04-28 15:45:44.254577,74141
110,1,5,2024-12-08 00:25:30.709163,482689
112,14,9,2025-03-14 08:45:39.418263,190908
114,40,19,2025-04-07 20:26:45.032900,336025
115,42,9,2025-01-05 03:01:15.827553,243146
117,42,3,2025-04-19 03:07:05.976695,354576
119,28,15,2025-02-26 01:07:46.318831,464419
121,33,20,2025-04-28 18:27:33.907643,249616
122,13,18,2025-04-13 21:03:27.807563,208146
123,49,7,2025-05-17 01:43:00.582007,195060
125,7,16,2025-03-01 23:11:21.407833,349481
126,17,5,2025-03-28 19:45:29.064638,352022
130,46,2,2025-03-29 08:49:23.044969,298256
134,9,16,2025-04-19 18:24:09.463625,148586
137,42,17,2024-12-13 22:44:54.755199,364066
138,40,13,2025-01-10 15:46:44.975984,338161
145,18,1,2025-03-09 14:24:17.402779,466362
147,32,10,2025-01-08 17:58:48.973591,46984
148,42,2,2024-12-26 08:40:59.401755,62256
149,46,6,2025-04-30 15:10:07.274212,133967
