watchlist_id,user_id,stock_id,added_date,target_price
96,30,17,2025-01-08 09:22:51.324914,196029
16,5,15,2025-05-23 16:20:20.931400,45491
31,36,15,2025-05-29 20:29:04.755801,341495
159,45,18,2025-03-11 02:13:51.383204,462910
129,8,13,2024-12-27 15:20:00.074713,405874
116,43,13,2025-03-27 05:59:23.627141,125786
70,28,11,2025-05-07 06:05:22.080075,373595
171,43,10,2024-12-16 05:10:04.251610,372643
175,47,3,2024-12-28 18:05:50.865175,311872
46,44,17,2025-05-25 10:53:55.416672,470323
67,8,17,2024-12-16 22:47:17.440128,237457
183,8,18,2024-12-03 08:26:03.529504,243090
166,40,14,2025-01-06 13:54:02.241380,475916
79,7,16,2025-02-24 20:54:10.294784,39885
187,27,6,2025-04-01 19:44:05.991411,115431
178,48,18,2025-01-03 16:06:19.105944,67339
57,41,5,2025-05-17 15:29:40.509085,364952
153,35,9,2025-05-07 13:42:00.882746,180131
83,47,11,2025-05-22 07:04:11.977124,270006
69,47,14,2025-05-28 21:46:05.016163,82326
125,7,16,2025-03-01 23:11:21.407833,349481
17,50,16,2025-04-27 23:40:07.398158,80147
149,46,6,2025-04-30 15:10:07.274212,133967
94,48,9,2025-04-03 17:49:45.964882,210581
66,42,1,2025-04-22 11:31:38.692939,76433
61,30,10,2024-12-25 17:50:52.977116,28630
85,16,8,2024-12-09 08:02:24.293763,134599
68,43,3,2025-03-09 00:17:17.493408,79266
126,17,5,2025-03-28 19:45:29.064638,352022
133,19,16,2025-03-30 09:17:10.955558,177959
10,39,13,2025-01-23 15:48:40.367634,197208
19,29,10,2024-12-10 16:23:38.060977,186025
56,32,17,2025-03-25 22:58:33.291594,274036
76,37,20,2025-01-19 06:16:01.075347,455536
151,50,7,2025-01-29 21:57:19.287517,214512
105,28,12,2025-03-21 21:46:57.755714,83900
136,22,3,2025-05-16 12:59:00.434132,209049
138,40,13,2025-01-10 15:46:44.975984,338161
165,31,8,2025-01-25 15:49:04.862196,228381
77,31,10,2025-02-07 00:49:30.292279,400016
80,19,19,2024-12-03 19:15:33.204409,254775
198,20,12,2025-01-08 09:28:33.389572,436019
39,37,11,2025-05-10 22:59:43.353010,414242
25,45,5,2025-03-12 18:25:14.411006,192973
123,49,7,2025-05-17 01:43:00.582007,195060
196,11,2,2025-02-27 10:24:53.043837,96007
30,30,8,2025-02-01 00:49:10.790502,462561
20,46,11,2025-03-08 10:01:32.458467,69625
144,37,16,2024-12-28 20:20:09.782090,436073
87,44,13,2025-05-29 05:25:37.186156,239089
115,42,9,2025-01-05 03:01:15.827553,243146
174,42,11,2025-04-21 17:28:27.040270,25195
6,28,6,2025-01-03 02:03:17.316696,364270
127,19,20,2025-01-26 01:17:56.377564,153592
118,2,17,2024-12-08 18:55:56.237002,292530
74,32,20,2025-02-03 12:43:12.150105,149007
141,12,1,2025-02-25 05:52:24.836956,108074
99,46,1,2025-03-17 19:58:03.649366,438411
173,34,10,2025-02-12 03:41:49.629441,136685
97,16,14,2025-03-11 14:58:06.303182,472634
170,38,7,2024-12-16 02:42:43.434013,379191
98,40,18,2025-05-25 07:34:12.804974,189570
32,39,12,2025-01-30 03:12:37.349761,256954
13,44,5,2024-12-04 20:47:19.032989,482366
36,2,18,2025-05-16 09:43:32.785635,256738
120,44,16,2025-01-24 04:44:44.062885,356557
43,27,16,2025-01-26 15:14:40.568210,347339
190,22,9,2024-12-18 12:03:17.891565,110064
91,49,4,2025-01-03 16:21:38.667018,319800
137,42,17,2024-12-13 22:44:54.755199,364066
52,28,4,2025-02-04 19:49:46.363838,191051
128,23,14,2024-12-28 16:11:33.447051,246974
163,34,9,2024-12-03 12:29:38.233588,407809
42,35,12,2025-02-03 07:05:15.493281,150358
119,28,15,2025-02-26 01:07:46.318831,464419
114,40,19,2025-04-07 20:26:45.032900,336025
27,19,5,2025-06-01 08:48:40.984022,274063
140,21,9,2025-03-29 20:53:30.213846,216707
101,15,18,2024-12-26 01:50:12.993359,366440
112,14,9,2025-03-14 08:45:39.418263,190908
